Plat Number,Plat Name,Section/Township/Range,Volume,First Page,Last Page,Plat Type
168365,COLLEGE INN CONDO,1172504,069,099,106,C
643410,OTHELLO STATION NORTH PH 03 CONDO,2272404,219,049,056,C
321320,HEBBS AVION CITY ADD,0112504,033,023,000,
815860,SWEENEYS H B ADD,0332304,054,061,000,
507540,MANNEYS ADD,0012503,020,015,000,
351000,HUGHES H T ADD,0172105,072,021,000,
038700,BALCH & SETZERS SOUTHVIEW ADD,0122303,051,004,005,
602740,NELSONS A J PLAT,0042604,044,043,000,
414165,LAKERIDGE ESTATES,0302506,106,005,006,
365500,JACQUELYN ESTATES,0042104,086,021,000,
