Levy Year,County,County Code,Number of Basic Exemptions,Amount of Basic Reimbursement,Number of Enhanced Exemptions,Amount of  Enhanced Reimbursement,Total Amount of Reimbursement ,Data Preparation Date
2015,Seneca,45,6055,3749584,2362,2991659,6741243,03/11/2020
2015,Steuben,46,18464,10669985,7046,7821643,18491628,03/11/2020
2015,Suffolk,47,268806,286191443,61347,131996786,418188229,03/11/2020
2015,Sullivan,48,10772,5476489,4352,4407527,9884016,03/11/2020
2015,Tioga,49,9847,5201373,3692,3947509,9148882,03/11/2020
2015,Tompkins,50,14876,8513869,3918,4381167,12895036,03/11/2020
2015,Ulster,51,30212,19295377,10409,13332021,32627398,03/11/2020
2015,Warren,52,12077,4590790,4825,3696106,8286896,03/11/2020
2015,Washington,53,11265,4776789,4600,4047972,8824761,03/11/2020
2015,Wayne,54,18562,12364484,6303,8360303,20724787,03/11/2020
2015,Westchester,55,123372,225169463,25332,90453030,315622493,03/11/2020
2015,Wyoming,56,7913,4071570,2672,2808636,6880206,03/11/2020
2015,Yates,57,4560,1546762,1855,1296236,2842998,03/11/2020
2015,New York City,65,457744,136296637,114003,68721509,205018146,03/11/2020
2014,Albany,01,50670,27870948,13684,15551666,43422614,03/14/2019
2014,Allegany,02,8553,4876662,3704,3741865,8618527,03/14/2019
2014,Broome,03,32735,21404603,13111,17353176,38757779,03/14/2019
2014,Cattaraugus,04,14105,7213540,5769,5310043,12523583,03/14/2019
2014,Cayuga,05,14127,7395634,5145,5414823,12810457,03/14/2019
2014,Chautauqua,06,23148,13062818,9935,10547809,23610627,03/14/2019
2014,Chemung,07,15289,8849635,6106,7055087,15904722,03/14/2019
2014,Chenango,08,8938,4467078,3844,3744944,8212022,03/14/2019
2014,Clinton,09,14016,7581933,4847,5120498,12702431,03/14/2019
2014,Columbia,10,10214,4551844,3914,3567365,8119209,03/14/2019
2014,Cortland,11,7840,4174132,2851,3071408,7245540,03/14/2019
2014,Delaware,12,7641,2954453,4249,3327015,6281468,03/14/2019
2014,Dutchess,13,49757,39158211,12816,20413321,59571532,03/14/2019
2014,Erie,14,163389,82522977,55953,57087477,139610454,03/14/2019
2014,Essex,15,6588,2275357,3174,2153329,4428686,03/14/2019
2014,Franklin,16,7852,3174845,3158,2473452,5648297,03/14/2019
2014,Fulton,17,9634,4865638,4234,4039383,8905021,03/14/2019
2014,Genesee,18,11163,7477246,4070,5483705,12960951,03/14/2019
2014,Greene,19,7839,3326546,3451,2913826,6240372,03/14/2019
2014,Hamilton,20,1034,202864,672,267838,470702,03/14/2019
2014,Herkimer,21,11244,6098561,4877,5170525,11269086,03/14/2019
2014,Jefferson,22,16031,4431012,5636,3189637,7620649,03/14/2019
2014,Lewis,23,5399,1756822,2005,1315043,3071865,03/14/2019
2014,Livingston,24,11607,7039895,3878,4593956,11633851,03/14/2019
2014,Madison,25,12998,7592042,4554,5364314,12956356,03/14/2019
2014,Monroe,26,135378,88912753,39682,54237860,143150613,03/14/2019
2014,Montgomery,27,8298,4515993,3644,4001353,8517346,03/14/2019
2014,Nassau,28,246224,295011372,50071,126164209,421175581,03/14/2019
2014,Niagara,29,39869,25210793,15290,18728617,43939410,03/14/2019
2014,Oneida,30,38770,23083216,15418,18111427,41194643,03/14/2019
2014,Onondaga,31,84881,55689595,26358,34669587,90359182,03/14/2019
2014,Ontario,32,20803,12216349,6579,7940610,20156959,03/14/2019
2014,Orange,33,60549,53484688,13930,25194774,78679462,03/14/2019
2014,Orleans,34,7310,4432937,3010,3586495,8019432,03/14/2019
2014,Oswego,35,21797,13641845,7681,9241700,22883545,03/14/2019
2014,Otsego,36,10167,4499100,4646,4138083,8637183,03/14/2019
2014,Putnam,37,20993,25728824,4142,10481473,36210297,03/14/2019
2014,Rensselaer,38,28055,14487436,8290,8716679,23204115,03/14/2019
2014,Rockland,39,47256,60372939,10694,28308947,88681886,03/14/2019
2014,St. Lawrence,40,19393,10625159,7776,7911917,18537076,03/14/2019
2014,Saratoga,41,45302,28330472,11016,13746035,42076507,03/14/2019
2014,Schenectady,42,28016,15603825,8616,9856294,25460119,03/14/2019
2014,Schoharie,43,5744,3147545,2538,2665824,5813369,03/14/2019
2014,Schuyler,44,3668,1568880,1516,1284336,2853216,03/14/2019
2014,Seneca,45,6046,3763615,2405,2953898,6717513,03/14/2019
2014,Steuben,46,18290,10755990,7113,7861581,18617571,03/14/2019
2014,Suffolk,47,265308,278165928,62451,130246612,408412540,03/14/2019
2014,Sullivan,48,10707,5367977,4438,4397847,9765824,03/14/2019
2014,Tioga,49,9807,5120517,3691,3833930,8954447,03/14/2019
2014,Tompkins,50,14915,8463532,3854,4173619,12637151,03/14/2019
2014,Ulster,51,29984,18997665,10505,13164887,32162552,03/14/2019
2014,Warren,52,12012,4506399,4845,3609521,8115920,03/14/2019
2014,Washington,53,11268,4721031,4661,3985199,8706230,03/14/2019
2014,Wayne,54,18554,12265361,6309,8196486,20461847,03/14/2019
2014,Westchester,55,121576,216323661,25288,88733741,305057402,03/14/2019
2014,Wyoming,56,7883,4026079,2684,2798058,6824137,03/14/2019
2014,Yates,57,4578,1550890,1854,1277419,2828309,03/14/2019
2014,New York City,65,458642,133226852,116914,67772522,200999374,03/14/2019
2013,Albany,01,53046,28842125,13064,14484953,43327078,03/14/2019
2013,Allegany,02,9080,5146696,3540,3517026,8663722,03/14/2019
2013,Broome,03,35126,22636042,13068,16826765,39462807,03/14/2019
2013,Cattaraugus,04,15168,7843780,5524,5093980,12937760,03/14/2019
2013,Cayuga,05,15044,7895847,4956,5113123,13008970,03/14/2019
2013,Chautauqua,06,24644,13860419,9691,10141457,24001876,03/14/2019
2013,Chemung,07,16238,9480422,5910,6729320,16209742,03/14/2019
2013,Chenango,08,9757,4818130,3721,3547086,8365216,03/14/2019
2013,Clinton,09,15064,8042183,4605,4727407,12769590,03/14/2019
2013,Columbia,10,10920,4855132,3739,3292926,8148058,03/14/2019
2013,Cortland,11,8484,4465692,2779,2953063,7418755,03/14/2019
2013,Delaware,12,8528,3258024,4042,3108951,6366975,03/14/2019
2013,Dutchess,13,53497,41829928,12158,18961478,60791406,03/14/2019
2013,Erie,14,172838,86202465,53997,53840285,140042750,03/14/2019
2013,Essex,15,7345,2492516,3125,2080630,4573146,03/14/2019
2013,Franklin,16,8623,3433046,3073,2343138,5776184,03/14/2019
2013,Fulton,17,10451,5212922,4049,3782639,8995561,03/14/2019
2013,Genesee,18,11733,7809972,3993,5269080,13079052,03/14/2019
2013,Greene,19,8634,3612900,3301,2711306,6324206,03/14/2019
2013,Hamilton,20,1139,222885,637,250245,473130,03/14/2019
2013,Herkimer,21,12016,6445801,4793,4994422,11440223,03/14/2019
2013,Jefferson,22,17658,4910507,5259,2961672,7872179,03/14/2019
2013,Lewis,23,5724,1859885,1935,1249047,3108932,03/14/2019
2013,Livingston,24,12260,7322094,3661,4255094,11577188,03/14/2019
2013,Madison,25,13807,7958394,4417,5062230,13020624,03/14/2019
2013,Monroe,26,145044,93799723,37517,50123206,143922929,03/14/2019
2013,Montgomery,27,8981,4873652,3590,3887388,8761040,03/14/2019
2013,Nassau,28,270897,324068874,48479,115557682,439626556,03/14/2019
2013,Niagara,29,42080,26332475,14457,17286793,43619268,03/14/2019
2013,Oneida,30,41394,24369034,15066,17345219,41714253,03/14/2019
2013,Onondaga,31,90517,58612083,25182,32339837,90951920,03/14/2019
2013,Ontario,32,21408,12476461,6112,7221231,19697692,03/14/2019
2013,Orange,33,65625,57171779,13277,23560602,80732381,03/14/2019
2013,Orleans,34,7748,4866465,2858,3484272,8350737,03/14/2019
2013,Oswego,35,23719,14782310,7343,8652807,23435117,03/14/2019
2013,Otsego,36,11070,4850151,4479,3907647,8757798,03/14/2019
2013,Putnam,37,22387,27151710,3928,9770067,36921777,03/14/2019
