InspectionID,CSNumber,CS Overall Condition,CS Litter,CS Graffiti,CS Amenities,CS Structural
121304,1,A,A,A,U,A
96860,1,A,A,A,A,A
90403,1,A,A,A,U,A
71781,1,U,N,N,N,N
83209,1,A,A,A,A,A
72139,1,A,A,A,A,A
108420,1,N,N,N,N,N
48673,1,A,A,A,A,A
50295,1,U,A,A,U/S,A
113981,1,N,N,N,N,N
65975,1,A,A,A,U,A
57039,1,A,A,A,A,A
95148,1,A,A,A,A,A
76731,1,U,N,N,N,N
55312,1,A,A,A,A,A
33424,1,U,U,A,U,A
102562,1,N,N,N,N,N
116026,1,A,A,A,A,A
61462,1,A,A,A,A,A
99887,1,A,A,A,A,A
101795,1,N,N,N,N,N
52108,1,U,A,A,U,A
53384,1,A,A,A,A,A
86586,1,A,A,A,A,A
90150,1,A,A,A,A,A
100208,1,A,A,A,A,U
95300,1,N,N,N,N,N
96151,1,A,A,A,A,A
107354,1,A,A,A,U,A
105684,1,A,A,A,A,A
70826,1,A,A,A,A,A
106162,1,N,N,N,N,N
67372,1,A,A,A,U,A
79027,1,A,A,A,A,A
106458,1,U,A,A,U,A
108917,1,N,N,N,N,N
58835,1,A,A,A,U,A
99696,1,A,A,A,A,A
71747,1,A,A,A,A,A
63914,1,A,A,A,U,A
83076,1,N,N,N,N,N
33413,1,A,A,A,A,A
77466,1,A,A,A,A,A
115077,1,A,A,A,A,A
104573,1,A,A,A,A,U
77531,1,U,N,N,N,N
120188,1,A,A,A,A,A
121771,1,A,A,A,A,A
46248,1,A,A,A,U,A
113794,1,N,N,N,N,N
71585,1,U,N,N,N,N
88104,1,A,A,A,A,A
97764,1,A,A,A,A,A
39540,1,A,A,A,A,A
95292,1,A,A,A,A,A
35094,1,A,A,A,A,A
116218,1,N,A,N,A,N
76763,1,N,N,N,N,N
79580,1,N,N,N,N,N
88087,1,A,A,A,A,A
36179,1,A,A,A,A,A
44489,1,A,A,A,A,A
82707,1,A,A,A,A,A
93305,1,A,A,A,A,A
51673,1,U,N,N,N,N
33894,1,U,N,N,N,N
39668,1,U,A,A,U/S,A
116457,1,A,A,A,U,A
54589,1,A,A,A,A,A
77004,1,U,A,A,U,A
82685,1,A,A,A,A,A
81845,1,A,A,A,U,A
41864,1,U,N,N,N,N
88881,1,U,N,N,N,N
97263,1,A,A,A,A,A
83603,1,A,A,A,A,A
110481,1,A,A,A,A,A
54892,1,A,A,A,A,A
112609,1,N,N,N,N,N
58682,1,A,A,A,A,A
80235,1,A,A,A,A,A
117801,1,N,N,N,N,N
105546,1,N,N,N,N,N
80668,1,N,N,N,N,N
87339,1,A,A,A,A,A
116466,1,A,A,A,A,A
72521,1,A,A,A,A,A
59459,1,A,A,A,A,A
100130,1,A,A,A,A,A
120865,1,N,N,N,N,N
80131,1,U,U/S,A,U/S,A
44263,1,A,A,A,A,A
36919,1,U,N,N,N,N
97818,1,A,A,A,A,A
58690,1,A,A,A,A,A
58048,1,A,A,A,U,A
35425,1,A,A,A,U,A
50907,1,A,A,A,U,A
41434,1,U,N,N,U,N
105125,1,A,A,A,A,A
111290,1,N,A,A,U,N
82811,1,N,N,N,N,N
90441,1,A,A,A,A,A
112230,1,A,A,A,A,A
99553,1,U,N,N,N,N
75646,1,A,A,A,U,A
106019,1,A,A,A,A,A
70153,1,A,A,A,U,A
56765,1,A,A,A,A,A
109394,1,A,A,A,A,A
88361,1,U,U,A,U,A
86581,1,A,A,A,U,A
96454,1,A,A,A,A,A
81557,1,A,A,A,A,A
59465,1,A,A,A,A,A
51858,1,A,U,A,A,A
84344,1,A,A,A,U,A
61246,1,A,A,A,A,A
120963,1,A,A,A,A,A
58492,1,A,A,A,U,U/S
60440,1,A,A,A,A,A
58129,1,A,A,A,U,A
120823,1,N,N,N,N,N
47246,1,A,A,A,A,A
99791,1,A,A,A,A,A
51406,1,U,A,A,U/S,A
57505,1,N,N,N,N,N
97186,1,N,N,N,N,N
81886,1,A,A,A,A,A
32484,1,U,N,N,N,N
91317,1,A,A,A,A,U
103288,1,A,A,A,U,A
113830,1,A,A,A,A,A
98540,1,A,A,A,A,A
113935,1,A,A,A,A,A
99932,1,N,N,N,N,N
114775,1,A,A,A,A,A
53721,1,N,N,N,N,N
114741,1,A,A,A,A,A
118234,1,A,A,A,A,A
66173,1,U,A,A,U,A
100880,1,N,N,N,N,N
90356,1,A,A,A,U,A
120674,1,A,A,A,A,A
100735,1,A,A,A,A,A
65768,1,A,A,A,A,A
80905,1,A,A,A,A,A
109337,1,N,N,N,N,N
99752,1,A,A,A,A,A
59715,1,A,A,A,A,A
117804,1,A,A,A,A,A
39852,1,U,A,A,U/S,A
56672,1,A,A,A,A,A
56656,1,A,A,A,A,U
110381,1,U,N,N,N,N
46438,1,U,U,A,U,U/S
55434,1,U,U/S,A,U,A
59094,1,U,N,N,N,N
110887,1,A,A,A,A,A
95956,1,U,A,A,U,U/S
50107,1,A,A,A,A,A
97212,1,A,A,A,U,A
35415,1,A,A,A,A,A
107331,1,A,A,A,A,A
51333,1,U,A,A,A,U/S
45367,1,U,U/S,A,U,A
63664,1,N,N,N,N,N
73859,1,A,A,A,A,A
51983,1,N,N,N,N,N
64199,1,U,A,A,U/S,A
109825,1,A,A,A,A,A
69752,1,A,A,A,A,A
59615,1,U,A,A,U,U
91857,2,A,A,A,A,A
98494,1,A,A,A,U,A
67243,1,A,A,A,A,A
103219,1,A,A,A,A,A
53947,1,A,A,A,A,A
34354,1,U,N,N,N,N
118963,1,N,N,N,N,N
43548,1,U,A,A,U,U
82233,1,U,A,A,A,U/S
102771,1,U,U/S,A,U,A
101626,1,N,N,N,N,N
38664,1,U,A,A,U/S,U
83331,1,A,A,A,A,A
