BusinessName,Address,Suite,City,State,Zip,BusinessType,OwnerName,X,Y,Location
EXTRA HOLIDAYS,2111 ST. CHARLES AVE,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"EXTRA HOLIDAYS, LLC",,,
NEW ORLEANS JAZZ QUARTERS,1129 ST. PHILLIP ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW ORLEANS JAZZ QUARTERS,,,
FEDERAL CITY INN & SUITES,740 HEBERT DR,,NEW ORLEANS,LA,70114,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"FEDERAL CITY INN & SUITES, LLC",,,
THE CORSAIR HOTEL,4125 ST. CHARLES AVE,,NEW ORLEANS,LA,70115,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"CORSAIR NEW ORLEANS, LLC.",,,
HOLIDAY INN EXPRESS,334 O KEEFE AVE,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOLIDAY INN EXPRESS,,,
"LA FEMME FRANCAISE NATASHA, LLC",2028-2030 ST. CLAUDE AVE,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"LA FEMME FRANCAISE NATASHA, LLC",,,
HILTON NEW ORLEANS/ ST CHARLES AVENUE,200 SPECTRUM CENTER DR,21ST FL,IRVINE,CA,92618,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"SUNSTONE ST. CHARLES LESSEE, INC",,,
DAYS INN & SUITES NEW ORLEANS EAST,10020 I-10 SERVICE RD,,NEW ORLEANS,LA,70127,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"SHREE JALARAMBAPA,LLC",,,
INN AT THE OLD JAIL,2552 ST PHILIP ST,,NEW ORLEANS,LA,70119,4703 - BED & BREAKFAST INNS,DOWN BY LAW B & B LLC,3677856.91298,537442.043656,"(29.9718894038335, -90.0793692398078)"
LA MAISON MARIGNY B & B,1421 BOURBON ST,,NEW ORLEANS,LA,70116-2008,4703 - BED & BREAKFAST INNS,"DONIHOO, DEWEY          RAMSEY, JOHN",3683910.18069,534784.993094,"(29.9643998956067, -90.0603453121169)"
KERLEREC GUEST HOUSE,928 KERLEREC ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,SCOTT WELLS,3683489.119,535257.292806,"(29.9657114128875, -90.061658437441)"
DONUTS & DUVETS,1661 INDUSTRY ST,,NEW ORLEANS,LA,70119,4703 - BED & BREAKFAST INNS,DONUTS & DUVETS LLC,3680466.4909,542713.511501,"(29.986305325278, -90.0709443670285)"
LE RICHELIEU,1234 CHARTRES ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"J HOSPITALITY & DEVELOPMENT, LLC",3684118.27682,533877.608325,"(29.961898541343, -90.0597200115729)"
BLUE60 GUEST HOUSE,1008 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"BLUE60 GUEST HOUSE,LLC",3684941.0685,536005.423239,"(29.9677241246168, -90.0570469271323)"
THE TOWNHOUSE,1332 MAGAZINE ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,"MACIOR MANAGEMENT, LLC",3680515.01647,524954.705533,"(29.9374731911349, -90.0714088532692)"
HOTEL ROYAL,1006 ROYAL ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,FRENCH QUARTER HOTEL COLLECTION LLC,3683285.8404,533377.97242,"(29.9605501291591, -90.0623662120733)"
ROYAL SONESTA HOTEL,300 BOURBON ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,SONESTA INTERNATIONAL HOTELS CORPORATION,3681523.24488,531576.031683,"(29.9556490451257, -90.0679949678944)"
CKW INC,2624 URSULINES AVE,,NEW ORLEANS,LA,70119-3436,4702 - ROOMING & BOARDING HOUSES,CKW INC,3677844.68245,537881.083721,"(29.9730969815914, -90.079392692096)"
DEGAS HOUSE,2306 ESPLANADE AVE,,NEW ORLEANS,LA,70119,4703 - BED & BREAKFAST INNS,"THE DEGAS HOUSE, LLC",3679158.27259,538070.858377,"(29.9735792044608, -90.0752375350751)"
MAISON LAFAYETTE,1221 HARMONY ST,,NEW ORLEANS,LA,70115,4703 - BED & BREAKFAST INNS,JOHN E WHARTON,3675594.77537,520511.667768,"(29.9254043618078, -90.0870949749972)"
JELLY ROLL SUITES,320 ANDREW HIGGINS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"VENTURE CCR OF N O,LLC",,,
HYATT PLACE NEW ORLEANS CONVENTION CENTER,881 CONVENTION CENTER BLVD,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"ISLAND HOSPITALITY MANAGEMENT II,LLC",3682594.03631,526801.392702,"(29.942487842452, -90.0647807045459)"
PIERRE COULON GUEST HOUSE,712-14 SPAIN ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,CULTURAL EXCHANGE SVCS  LLC,,,
CASA LA LICIOUS,1367 SAINT ANTHONY AVE,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,CASA LA LICIOUS,,,
ALDER HOTEL UPTOWN,4545 MAGNOLIA ST,,NEW ORLEANS,LA,70115,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"ALDER HOTEL PARTNERS, LLC",3669788.35086,524763.249148,"(29.9372672181868, -90.1052802587339)"
COMFORT SUITES,7051 BULLARD AVE,,NEW ORLEANS,LA,70128-2307,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"TULSI HOSPITALITY, LLC",3714519.34565,565770.890339,"(30.048628534129, -89.9625144153123)"
HOSTEEVA CALIFORNIA BUILDING BY HOSTEEVA,1111 TULANE AVE,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"HOSTEEVA, LLC",3679544.32066,531140.798274,"(29.9545122401432, -90.0742588081914)"
