Week Ending Date,State,Observed Number,Threshold,Exceeds Threshold,Excess,Year,Total Excess in 2020,Percent Excess,Type,Outcome,Suppress
03/09/2019,Alaska,94,102,false,0,2019,0,0.0,Predicted (weighted),All causes,
03/10/2018,Alaska,90,96,false,0,2018,0,0.0,Predicted (weighted),All causes,
03/11/2017,Alaska,74,103,false,0,2017,0,0.0,Predicted (weighted),All causes,
03/14/2020,Alaska,90,108,false,0,2020,0,0.0,Predicted (weighted),All causes,
03/16/2019,Alaska,100,104,false,0,2019,0,0.0,Predicted (weighted),All causes,
03/17/2018,Alaska,69,100,false,0,2018,0,0.0,Predicted (weighted),All causes,
03/18/2017,Alaska,84,103,false,0,2017,0,0.0,Predicted (weighted),All causes,
03/21/2020,Alaska,68,109,false,0,2020,0,0.0,Predicted (weighted),All causes,
03/23/2019,Alaska,71,104,false,0,2019,0,0.0,Predicted (weighted),All causes,
03/24/2018,Alaska,76,100,false,0,2018,0,0.0,Predicted (weighted),All causes,
03/25/2017,Alaska,92,103,false,0,2017,0,0.0,Predicted (weighted),All causes,
03/28/2020,Alaska,84,109,false,0,2020,0,0.0,Predicted (weighted),All causes,
03/30/2019,Alaska,90,104,false,0,2019,0,0.0,Predicted (weighted),All causes,
03/31/2018,Alaska,78,100,false,0,2018,0,0.0,Predicted (weighted),All causes,
04/01/2017,Alaska,89,104,false,0,2017,0,0.0,Predicted (weighted),All causes,
04/04/2020,Alaska,100,110,false,0,2020,0,0.0,Predicted (weighted),All causes,
04/06/2019,Alaska,90,105,false,0,2019,0,0.0,Predicted (weighted),All causes,
04/07/2018,Alaska,92,99,false,0,2018,0,0.0,Predicted (weighted),All causes,
04/08/2017,Alaska,78,104,false,0,2017,0,0.0,Predicted (weighted),All causes,
04/11/2020,Alaska,80,110,false,0,2020,0,0.0,Predicted (weighted),All causes,
04/13/2019,Alaska,81,105,false,0,2019,0,0.0,Predicted (weighted),All causes,
04/14/2018,Alaska,90,98,false,0,2018,0,0.0,Predicted (weighted),All causes,
04/15/2017,Alaska,88,101,false,0,2017,0,0.0,Predicted (weighted),All causes,
04/18/2020,Alaska,88,111,false,0,2020,0,0.0,Predicted (weighted),All causes,
04/20/2019,Alaska,78,105,false,0,2019,0,0.0,Predicted (weighted),All causes,
04/21/2018,Alaska,98,96,true,,2018,0,0.0,Predicted (weighted),All causes,
04/22/2017,Alaska,58,98,false,0,2017,0,0.0,Predicted (weighted),All causes,
04/25/2020,Alaska,24,108,false,0,2020,0,0.0,Predicted (weighted),All causes,
04/27/2019,Alaska,79,104,false,0,2019,0,0.0,Predicted (weighted),All causes,
04/28/2018,Alaska,77,97,false,0,2018,0,0.0,Predicted (weighted),All causes,
04/29/2017,Alaska,80,99,false,0,2017,0,0.0,Predicted (weighted),All causes,
05/04/2019,Alaska,100,102,false,0,2019,0,0.0,Predicted (weighted),All causes,
05/05/2018,Alaska,93,97,false,0,2018,0,0.0,Predicted (weighted),All causes,
05/06/2017,Alaska,73,100,false,0,2017,0,0.0,Predicted (weighted),All causes,
05/11/2019,Alaska,86,101,false,0,2019,0,0.0,Predicted (weighted),All causes,
05/12/2018,Alaska,71,97,false,0,2018,0,0.0,Predicted (weighted),All causes,
05/13/2017,Alaska,77,100,false,0,2017,0,0.0,Predicted (weighted),All causes,
05/18/2019,Alaska,91,102,false,0,2019,0,0.0,Predicted (weighted),All causes,
05/19/2018,Alaska,72,99,false,0,2018,0,0.0,Predicted (weighted),All causes,
05/20/2017,Alaska,68,103,false,0,2017,0,0.0,Predicted (weighted),All causes,
05/25/2019,Alaska,82,103,false,0,2019,0,0.0,Predicted (weighted),All causes,
05/26/2018,Alaska,73,100,false,0,2018,0,0.0,Predicted (weighted),All causes,
05/27/2017,Alaska,76,104,false,0,2017,0,0.0,Predicted (weighted),All causes,
06/01/2019,Alaska,77,104,false,0,2019,0,0.0,Predicted (weighted),All causes,
06/02/2018,Alaska,63,100,false,0,2018,0,0.0,Predicted (weighted),All causes,
06/03/2017,Alaska,77,104,false,0,2017,0,0.0,Predicted (weighted),All causes,
06/08/2019,Alaska,93,102,false,0,2019,0,0.0,Predicted (weighted),All causes,
06/09/2018,Alaska,78,97,false,0,2018,0,0.0,Predicted (weighted),All causes,
06/10/2017,Alaska,84,103,false,0,2017,0,0.0,Predicted (weighted),All causes,
06/15/2019,Alaska,75,105,false,0,2019,0,0.0,Predicted (weighted),All causes,
06/16/2018,Alaska,82,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
06/17/2017,Alaska,90,107,false,0,2017,0,0.0,Predicted (weighted),All causes,
06/22/2019,Alaska,97,106,false,0,2019,0,0.0,Predicted (weighted),All causes,
06/23/2018,Alaska,78,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
06/24/2017,Alaska,81,106,false,0,2017,0,0.0,Predicted (weighted),All causes,
06/29/2019,Alaska,87,107,false,0,2019,0,0.0,Predicted (weighted),All causes,
06/30/2018,Alaska,66,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
07/01/2017,Alaska,79,107,false,0,2017,0,0.0,Predicted (weighted),All causes,
07/06/2019,Alaska,81,106,false,0,2019,0,0.0,Predicted (weighted),All causes,
07/07/2018,Alaska,88,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
07/08/2017,Alaska,82,109,false,0,2017,0,0.0,Predicted (weighted),All causes,
07/13/2019,Alaska,91,108,false,0,2019,0,0.0,Predicted (weighted),All causes,
07/14/2018,Alaska,104,105,false,0,2018,0,0.0,Predicted (weighted),All causes,
07/15/2017,Alaska,70,110,false,0,2017,0,0.0,Predicted (weighted),All causes,
07/20/2019,Alaska,74,108,false,0,2019,0,0.0,Predicted (weighted),All causes,
07/21/2018,Alaska,71,102,false,0,2018,0,0.0,Predicted (weighted),All causes,
07/22/2017,Alaska,81,107,false,0,2017,0,0.0,Predicted (weighted),All causes,
07/27/2019,Alaska,59,106,false,0,2019,0,0.0,Predicted (weighted),All causes,
07/28/2018,Alaska,77,100,false,0,2018,0,0.0,Predicted (weighted),All causes,
07/29/2017,Alaska,79,105,false,0,2017,0,0.0,Predicted (weighted),All causes,
08/03/2019,Alaska,73,103,false,0,2019,0,0.0,Predicted (weighted),All causes,
08/04/2018,Alaska,89,97,false,0,2018,0,0.0,Predicted (weighted),All causes,
08/05/2017,Alaska,64,103,false,0,2017,0,0.0,Predicted (weighted),All causes,
08/10/2019,Alaska,86,104,false,0,2019,0,0.0,Predicted (weighted),All causes,
08/11/2018,Alaska,82,97,false,0,2018,0,0.0,Predicted (weighted),All causes,
08/12/2017,Alaska,68,101,false,0,2017,0,0.0,Predicted (weighted),All causes,
08/17/2019,Alaska,94,104,false,0,2019,0,0.0,Predicted (weighted),All causes,
08/18/2018,Alaska,89,96,false,0,2018,0,0.0,Predicted (weighted),All causes,
08/19/2017,Alaska,89,101,false,0,2017,0,0.0,Predicted (weighted),All causes,
08/24/2019,Alaska,73,105,false,0,2019,0,0.0,Predicted (weighted),All causes,
08/25/2018,Alaska,92,97,false,0,2018,0,0.0,Predicted (weighted),All causes,
08/26/2017,Alaska,89,102,false,0,2017,0,0.0,Predicted (weighted),All causes,
08/31/2019,Alaska,82,108,false,0,2019,0,0.0,Predicted (weighted),All causes,
09/01/2018,Alaska,80,102,false,0,2018,0,0.0,Predicted (weighted),All causes,
09/02/2017,Alaska,77,105,false,0,2017,0,0.0,Predicted (weighted),All causes,
09/07/2019,Alaska,71,108,false,0,2019,0,0.0,Predicted (weighted),All causes,
09/08/2018,Alaska,86,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
09/09/2017,Alaska,86,104,false,0,2017,0,0.0,Predicted (weighted),All causes,
09/14/2019,Alaska,91,107,false,0,2019,0,0.0,Predicted (weighted),All causes,
09/15/2018,Alaska,65,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
