BatchNo,WO#,CreatedDate,AssignedDate,CompletedDate,Status,NodeID,Boro,Support,SupportAction,StreetSignName,SignAction,Size,NewSign
B-1004,62,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59783,Queens,Wood Pole,NoAction,50 Av,Remove & Install,24,Yes
B-1004,63,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59784,Queens,Wood Pole,NoAction,208 St,Remove & Install,24,Yes
B-1004,63,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59784,Queens,Wood Pole,NoAction,50 Av,Remove & Install,24,Yes
B-1004,64,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59784,Queens,Pipe,NoAction,208 St,NoAction,24,No
B-1004,64,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59784,Queens,Pipe,NoAction,50 Av,NoAction,24,No
B-1004,65,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59784,Queens,Pipe,NoAction,208 St,NoAction,24,No
B-1004,65,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59784,Queens,Pipe,NoAction,50 Av,NoAction,24,No
B-1004,66,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59784,Queens,Pipe,NoAction,208 St,Remove & Install,24,Yes
Un assigned,573,09/27/2018,,,WO CREATED,30159,Queens,Pipe,Install,Myrtle Av,Install,30,Yes
B-1004,66,06/13/2018,07/11/2018,01/16/2019,COMPLETED APPROVED,59784,Queens,Pipe,NoAction,50 Av,Remove & Install,24,Yes
B-1004,67,06/13/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,59794,Queens,Pipe,NoAction,210 St,Remove & Install,24,Yes
B-1004,67,06/13/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,59794,Queens,Pipe,NoAction,48 Av,Remove & Install,24,Yes
B-1004,68,06/13/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,59795,Queens,Wood Pole,NoAction,210 St,Remove & Install,24,Yes
B-1004,68,06/13/2018,07/11/2018,01/17/2019,COMPLETED APPROVED,59795,Queens,Wood Pole,NoAction,48 Av,Remove & Install,24,Yes
