Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2014,"David D. Freishtat, Esquire","Lindsay Management, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, PA","Larry. A. Gordon, Esquire",Zoning and Land Use.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=207,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=207
2013,Ellen Coren Bogage,RISE - Responsible Industry for a Sound Environmen,Chesapeake Public Strategies,,Issues related to pesticide use,0.00,1800.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=133,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=133
2013,Matthew Stavish,Novartis Vaccines and Diagnostics,Novartis Vaccines and Diagnostics,,Matters concerning the development of preventative treatments.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=24,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=24
2013,Yum Yu Cheng,Kunzang Odsal Palyul Changchub Choling,Linowes and Blocher,Samantha Mazo,Zoning ordinance rewrite.,0.00,24762.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=105,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=105
2020,Tami Watkins,"Pepco Holdings, Inc.",Pepco Holdings,,All matters affecting the energy and utilities industries.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2310,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2310
2017,Robert R. Harris,Brookfield Office Properties,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=786,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=786
2013,Meredith R Weisel,Greater Washington Commercial Association of REALT,"Weisel Government Relations, LLC",,"1. Commercial Real Estate Issues
2. Land Use Matters
3. Development and Growth Issues
4. Taxes
5. Transportation Issues",17550.00,17550.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=27,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=27
2016,Thomas J. Maloney,"Marriott International, Inc.",Lobbyist,Erin Neill,"Headquarters relocation,Sharing economy (ZTA 16-03; Bill No. 2-16)",0.00,11202.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=892,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=892
2016,Moira Moynihan,"Wawa, Inc.","Alexander & Cleaver, P.A.",,"Any and all matters including human resource related issues, gasoline pricing, taxation and retail sales restrictions.",875.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=621,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=621
2015,Ronald W. Wineholt,Apartment & Office Building Association,Apartment & Office Building Association,,Real Estate and Utility Issues,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=358,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=358
2018,Steven A. Silverman,U.S. Home Corporation,"SSGovRelations, LLC",,Tax credit proposal,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1022,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1022
2018,Steven A. Silverman,"Buchanan Partners, LLC","SSGovRelations, LLC",,Real estate,16248.00,16218.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1031,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1031
2019,Eliza Cava,Audubon Naturalist Society,Audubon Naturalist Society,,"Environmental legislation and County administration of environmental laws, codes and policies. Clean Water Act implementation, stormwater permits, water quality protection fund, forest and tree protections, and watershed restoration. County budget (CIP and/or operating). Citizen stewardship activities and partnerships.",1774.00,1288.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2248,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2248
2020,Nick Zabriskie,"Uber Technologies, Inc. and Affiliates","Uber Technologies, Inc. and Affiliates",,Transportation policy and related matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2299,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2299
2015,Steven A. Robins,Old Georgetown Office Park Condominium,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=496,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=496
2013,"Robert G. Brewer, Jr.",Howard Hughes Medical Institute,"Lerch, Early & Brewer, Chartered",Patrick L. O'Neill,General Land Use Matters and Chevy Chase Lake Sector Plan/Sectional Map Amendment,7139.00,462.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=76,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=76
2014,John Marshall,"Barwood, Inc","Mulhern, Patterson & Marshall, LLP",,taxi and ground transportation matters,0.00,3400.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=314,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=314
2018,Steven A. Silverman,"CCACC, INC.","SSGovRelations, LLC",,County funding,6000.00,4000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1030,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1030
2018,Steven Silverman,"AT&T,Inc.","SSGOVRELATIONS,LLC",,"ZTA 18-02, state legislation relating to telecommunications",9000.00,12000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2096,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2096
2014,Anne M. Mead,Home Properties,Linowes and Blocher LLP,"C. Robert Dalrymple, Heather Dlhopolsky",PLD issues.,0.00,6672.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=300,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=300
2013,Patricia A. Harris,Washington Real Estate Investment Trust,"Lerch, Early & Brewer, Chartered",,Sector Plan & Rezoning of Long Branch property,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=62,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=62
2017,Patricia A. Harris,"Westfield, LLC","Lerch, Early & Brewer, Chtd.",,"Wheaton Plaza Regional Shopping Center: Zoning, master plans, and general land use matters,Montgomery Mall: Zoning, master plans, and general land use matters",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=848,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=848
2015,Steven Silverman,WILLCO,"SSGOVRELATIONS,LLC",,General real estate matters,24996.00,10415.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=454,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=454
2018,Patricia A. Harris,"JBG/Woodmont II, LLC","Lerch, Early & Brewer, Chtd.",,The abandonment of former Reed Street right of way.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2102,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2102
2017,Steven A. Silverman,"The Donohoe Companies, Inc.","SSGOVRELATIONS, LLC",,General matters relating to real estate,12500.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=867,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=867
2018,Steven A. Silverman,GUARDIAN REALTY,"SSGovRelations, LLC",,Real estate,17500.00,17500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1028,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1028
2018,Steven A. Robins,"Pickford Enterprises, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters and the White Flint 2 Sector Plan.",3745.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1049,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1049
2016,Stephen J. Orens,"Carter, Inc.","McMillan Metro, PC",,Proposed amendment to County Subdivision Regulations.,843.00,125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=725,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=725
2016,"Robert G. Brewer, Jr.",Carr Properties,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=549,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=549
2019,Steven Silverman,"A Wider Circle,Inc.",SSGOVRELATIONS,,County funding,20400.00,20400.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2231,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2231
2016,Heather Dlhopolsky,Fairmont Building LLC,Linowes and Blocher LLP,,Downtown Bethesda Sector Plan,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=643,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=643
2017,Ashlie Bagwell,"Discovery Communications, Inc.",Harris Jones & Malone,,"Film Entertainment, Economic Development, Tax Matters, Communication",1500.00,1500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=837,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=837
2016,Robert J. Garagiola,Dart Container Corporation,"Alexander & Cleaver, P.A.",,Regulation and laws regarding food and drink containers.,0.00,375.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=606,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=606
2017,Mike Whatley,National Restaurant Association,National Restaurant Association,,Minimum wage legislation.,0.00,1415.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=993,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=993
2020,John Paukstis,"Habitat for Humanity Metro Maryland, Inc.",Habitat for Humanity Metro Maryland,Sarah Reddinger,We will advocate for policies and funding that help to preserve and develop affordable housing.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2303,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2303
2016,Steven Silverman,"Simon/Clarksburg Dev,LLC","SSGOVRELATIONS,LLC",,Real estate matters,25000.00,37500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=651,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=651
2013,Todd D. Brown,"Grady Management, Inc.",Linowes and Blocher LLP,,Glenmont Sector Plan Amendment,10873.00,11628.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=68,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=68
2017,Stephen Z. Kaufman,Symmetry LLC Development,Linowes and Blocher LLP,,"11181.0003; Symmetry, LLC; Cloverleaf Zoning Approvals",4146.00,11332.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=962,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=962
2016,Moira Moynihan,Motorola Solutions,"Alexander & Cleaver, P.A.",,"Statewide emergency communications network including legislation and procurement, and procurement for all products and services related thereto and homeland security and emergency services issues.",125.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=624,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=624
