Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2016,Steven Silverman,WILLCO,"SSGOVRELATIONS,LLC",,Real estate,25000.00,20833.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=655,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=655
2016,Robert J. Garagiola,"Fraternal Order of Police Lodge 35, Montgomey Coun","Alexander & Cleaver, P.A.",,Lobby General Assembly; Collective bargaining.,0.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=716,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=716
2019,Timothy Dugan,Bullis Tract LLC,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,Veirs Mill Corridor Master Plan,38308.00,2216.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2260,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2260
2017,Patrick L. O'Neil,Davis Family,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans and general land use matters including the Rock Spring Master Plan.",255.00,850.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=943,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=943
2013,David Freishtat,Aldon Management Corp.,"Shulman, Rogers, Gandal, Pordy & Ecker, PA",,"Battery Lane District, Sectional Map Amendments, Woodmont Triangle Sector Plan, Zoning Text Amendments, MPDU Legislation, Battery Lane Rezoning",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=154,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=154
2016,Steven A. Robins,Federal Realty Investment Trust,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans and general land use matters.",0.00,9890.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=728,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=728
2016,"Kerry R. Watson, Jr.","Fraternal Order of Police Lodge 35, Montgomey Coun","Alexander & Cleaver, P.A.",,Lobby General Assembly; Collective bargaining.,0.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=717,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=717
2017,Leah Marcus,Michael R. Bloomberg,Consulting,,Soda tax,0.00,202.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=984,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=984
2016,Patricia A. Harris,Toll Brothers,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,5145.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=754,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=754
2020,Brian McLaughlin,Tanium,Imperium Global Advisors,,"Economic Development
Cybersecurity policy",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2352,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2352
