Permit_number,Schedule_Date,Schedule_time,Base_Number,Last_Updated_Date,Last_Updated_Time
AC294,05/19/2020,10:00AM,B02937,05/10/2020,18:05:03.586
AF646,06/22/2020,10:15AM,B01848,05/10/2020,18:05:03.586
AA789,06/10/2020,9:00AM,,05/10/2020,18:05:03.586
AF522,06/30/2020,9:45AM,B90675,05/10/2020,18:05:03.586
AE721,07/02/2020,10:15AM,B02932,05/10/2020,18:05:03.586
AB836,11/10/2020,9:30AM,B02288,05/10/2020,18:05:03.586
AE127,08/13/2020,9:00AM,,05/10/2020,18:05:03.586
AC201,10/26/2020,9:45AM,B01848,05/10/2020,18:05:03.586
BA146,05/12/2020,10:30AM,B02772,05/10/2020,18:05:03.586
AD094,05/22/2020,10:15AM,B01593,05/10/2020,18:05:03.586
BA481,06/04/2020,9:45AM,B01593,05/10/2020,18:05:03.586
BC160,08/28/2020,9:00AM,B02932,05/10/2020,18:05:03.586
BC190,09/04/2020,10:30AM,B02932,05/10/2020,18:05:03.586
AB953,06/02/2020,9:30AM,,05/10/2020,18:05:03.586
BB394,08/11/2020,10:15AM,B02847,05/10/2020,18:05:03.586
BA949,08/11/2020,10:15AM,B03027,05/10/2020,18:05:03.586
BB897,06/09/2020,10:45AM,B02657,05/10/2020,18:05:03.586
AF572,05/15/2020,9:45AM,B02183,05/10/2020,18:05:03.586
AF162,06/12/2020,10:15AM,B02660,05/10/2020,18:05:03.586
BA136,08/20/2020,10:00AM,,05/10/2020,18:05:03.586
BA872,08/18/2020,9:30AM,B02219,05/10/2020,18:05:03.586
AB771,07/20/2020,9:00AM,B90675,05/10/2020,18:05:03.586
AD099,10/27/2020,10:30AM,B01455,05/10/2020,18:05:03.586
BA810,07/14/2020,10:15AM,B02638,05/10/2020,18:05:03.586
AC126,05/19/2020,9:45AM,,05/10/2020,18:05:03.586
AF013,07/23/2020,10:00AM,B01593,05/10/2020,18:05:03.586
