the_geom,OBJECTID,Direction,Location,InstallDate,Function,MonitoredSchool,SZSpeedLimit,SZTriggerSpeed,RegSpeedLimit,TriggerSpeed,Latitude,Longitude,SZEnforcement,Site_ID,RLCEnforcement,SpeedEnforcement,SZ_ID,Operational
POINT (-90.080271616836 29.987789421537),87,EB,3424 Trafalgar St,07/11/2017 12:00:00 AM +0000,TFS,Langston Hughes Elementary School,20,26,25,35,29.987784000000001,-90.080265999999995,x,NO146 / A_B,,x,A,Y
POINT (-90.101795619174 29.92194240588),70,SB,1002 Napoleon Ave,09/07/2017 12:00:00 AM +0000,TFS,St Stephen School,20,26,35,45,29.921937,-90.101789999999994,x,NO123 / A_B,,x,A,Y
POINT (-90.106210621285 29.9349894087),61,WB,Freret St @ Audubon Primary Academy,03/12/2012 12:00:00 AM +0000,TFS,Audubon Primary Academy,20,26,25,35,29.934984,-90.106205000000003,x,NO109,,x,NO110,Y
POINT (-90.075842613252 29.950908413214),9,EB,Poydras St @ Loyola Ave,01/25/2008 12:00:00 AM +0000,RLC,,,,35,45,29.950903,-90.075837000000007,,NO09,x,x,,Y
POINT (-90.04985160593 29.948737413191),52,WB,Opelousas Ave @ Holy Name of Mary,03/12/2012 12:00:00 AM +0000,TFS,Holy Name of Mary,20,26,35,45,29.948732,-90.049846000000002,x,NO87,,x,NO88,Y
POINT (-90.069741612732 29.9820734201),97,EB,1842 N Dorgenois St,06/20/2017 12:00:00 AM +0000,TFS,Life of Christian Academy,20,26,25,35,29.982068000000002,-90.069736000000006,x,NO158 / A_B,,x,A,Y
POINT (-90.109865623041 29.965980415574),4,SB,S Carrollton Ave @ Palmetto St,01/25/2008 12:00:00 AM +0000,RLC,,,,35,45,29.965975,-90.109859999999998,,NO04,x,x,,Y
POINT (-90.108249624719 30.002845423041),23,NB,Canal Blvd @ French St 6200 vlk Canal,10/16/2009 12:00:00 AM +0000,TFS,St. Pauls Episcopal School,20,26,35,45,30.002839999999999,-90.108243999999999,x,NO31,,x,NO47,Y
POINT (-90.0983046197 29.94614441138),21,SB,Toledano St SB @ Galvez St,03/20/2009 12:00:00 AM +0000,FS,,,,35,45,29.946138999999999,-90.098298999999997,,NO23,,x,,N
POINT (-90.104425619854 29.926376406758),25,EB,St Charles Ave @ Jena St 4500 Blk St Charles,10/16/2009 12:00:00 AM +0000,TFS,Academy of the Sacred Heart,20,26,35,45,29.926371,-90.104420000000005,x,NO33,,x,NO49,Y
POINT (-89.984425587239 29.917523408976),90,WB,6551 Berkley Dr,07/25/2017 12:00:00 AM +0000,FS,Algiers Technology Academy,20,26,25,35,29.917518000000001,-89.98442,,NO150 / A_B,,x,A,P
POINT (-90.09875162122 29.973517417347),75,NB,3910 Canal St,08/02/2017 12:00:00 AM +0000,TFS,St John Lutheran School,20,26,35,45,29.973511999999999,-90.098746000000006,x,NO129 / A_B,,x,A,Y
POINT (-90.098904622225 30.003985423708),45,WB,Harrison Ave @ Marconi Dr,07/07/2010 12:00:00 AM +0000,RLC,,,,25,35,30.003979999999999,-90.098899000000003,,NO71,x,x,,Y
POINT (-90.041181604497 29.961461416482),38,WB,Chartres St @ Gallier St,06/04/2010 12:00:00 AM +0000,FS,,,,25,35,29.961455999999998,-90.041175999999993,,NO62,,x,,Y
POINT (-90.090557617919 29.967963416145),102,WB,5663 Freret St,09/05/2017 12:00:00 AM +0000,TFS,Lusher Middle & High School,20,26,35,45,29.967957999999999,-90.090552000000002,x,NO166 / A_B,,x,A,Y
POINT (-90.071854612143 29.9499424133),17,WB,Poydras St @ Carondelet St,06/27/2008 12:00:00 AM +0000,RLC,,,,35,45,29.949936999999998,-90.071849,,NO19,x,x,,Y
POINT (-90.081415614543 29.931846408518),56,WB,Prytania St @ McGehee School,03/12/2012 12:00:00 AM +0000,TFS,McGhee Middle School,20,26,,,29.931840999999999,-90.081410000000005,x,NO99,,x,NO100,Y
POINT (-90.108249624719 30.002845423041),24,SB,Canal Blvd @ French St 6200 vlk Canal,10/16/2009 12:00:00 AM +0000,TFS,St. Pauls Episcopal School,20,26,35,45,30.002839999999999,-90.108243999999999,x,NO32,,x,NO48,Y
POINT (-90.07812461359 29.931291408894),29,NB,Jackson Ave @ Chestnut St (1),10/16/2009 12:00:00 AM +0000,TFS,Need School,20,26,25,35,29.931286,-90.078119000000001,x,NO37,,x,NO53,Y
POINT (-90.085293616247 29.945885411667),95,NB,1321 Magnolia St,07/25/2017 12:00:00 AM +0000,TFS,KIPP Central City Primary,20,26,25,35,29.945879999999999,-90.085288000000006,x,NO155 / A_B,,x,A,Y
POINT (-90.074814611923 29.927462407824),65,SB,Jackson Ave @ Laurel Elementary,03/12/2012 12:00:00 AM +0000,TFS,Laurel Elementry,20,26,25,35,29.927457,-90.074809000000002,x,NO117,,x,NO118,Y
POINT (-90.073090612042 29.936458410115),57,EB,Camp St @ International School,03/12/2012 12:00:00 AM +0000,TFS,Internations School,20,26,30,40,29.936453,-90.073085000000006,x,NO101,,x,NO102,Y
POINT (-90.087028618431 29.982201420055),111,SB,3413 Esplanade Ave,06/22/2017 12:00:00 AM +0000,TFS,Bricolage Academy,20,26,35,45,29.982195999999998,-90.087023000000002,x,NO175 / A_B,,x,A,Y
POINT (-90.109878623734 29.965536415243),3,NB,S Carrollton Ave @ Palmetto St,01/25/2008 12:00:00 AM +0000,RLC,,,,35,45,29.965530999999999,-90.109872999999993,,NO03,x,x,,Y
POINT (-90.002473596576 30.021734431471),58,EB,Dwyer Rd @ Miller McCoy Academy,03/12/2012 12:00:00 AM +0000,TFS,Miller McCoy Academy,20,26,30,40,30.021729000000001,-90.002467999999993,x,NO103,,x,NO104,Y
POINT (-90.072831614252 29.987629420946),93,NB,2914 Paris Ave,07/11/2017 12:00:00 AM +0000,TFS,St Leo the Great School,20,26,35,45,29.987624,-90.072826000000006,x,NO153 / A_B,,x,A,Y
