HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
The Cham Presbyterian Church of New York,199-03 32nd Ave,Bayside,NY,11358,11/15/2019,2019-5927,11/20/2019,11/30/2020,Active,New,4,40.7695,-73.790044,11,19,1085,4134013,4060220022,Bayside-Bayside Hills,POINT (-73.790044 40.7695)
Congregation Bais Medrash Avreichim,1114 Avenue O,Brooklyn,NY,11230,05/05/2008,2019-5534,05/03/2019,05/31/2020,Active,Renew,3,40.612569,-73.962607,14,48,542,3000000,3067580006,Midwood,POINT (-73.962607 40.612569)
Congregation Bnai Yosef,1616 Ocean Parkway,Brooklyn,NY,11223,06/05/2017,2019-5593,06/10/2019,06/30/2020,Active,Renew,3,40.609151,-73.967647,15,44,422,3176091,3066370012,Homecrest,POINT (-73.967647 40.609151)
United American Muslim Association Inc,5911 8th Avenue,Brooklyn,NY,11220,11/04/2013,2019-5911,11/06/2019,11/30/2020,Active,Renew,3,40.635941,-74.00908,12,38,104,3140841,3057070001,Sunset Park East,POINT (-74.00908 40.635941)
St. Marks Holy Tabernacle,901 East Tremont Avenue,Bronx,NY,10460,08/24/2015,2019-5846,10/08/2019,06/30/2020,Active,Renew,2,40.84221,-73.884611,6,17,363,2113796,2031210033,East Tremont,POINT (-73.884611 40.84221)
Elmhurst Christian Gospel Church,90-41 Corona Avenue,Elmhurst,NY,11373,04/29/2008,2019-5537,05/03/2019,05/31/2020,Active,Renew,4,40.742109,-73.874189,4,25,471,4039583,4015860037,Elmhurst,POINT (-73.874189 40.742109)
St. Stephen Church Inc,199 Edgecombe Avenue,New York,NY,10030,05/29/2008,2019-5558,05/06/2019,05/31/2020,Active,Renew,1,40.822681,-73.944315,9,9,227,1061069,1020510074,Hamilton Heights,POINT (-73.944315 40.822681)
Zion Gospel Tabernacle Inc.,457 Saratoga Avenue,Brooklyn,NY,11233,04/07/2015,2019-5561,05/06/2019,05/31/2020,Active,Renew,3,40.670191,-73.917063,16,41,361,3039478,3014720006,Ocean Hill,POINT (-73.917063 40.670191)
Society for the Advancement of Judaism,15 West 86th Street,New York,NY,10024,05/22/2008,2019-5741,08/27/2019,08/31/2020,Active,Renew,1,40.785662,-73.97019,7,6,173,1031406,1012000023,Upper West Side,POINT (-73.97019 40.785662)
New Haven Ministries,130-05 101st Avenue,South Richmond,NY,11419,05/04/2016,2019-5576,05/17/2019,05/31/2020,Active,Renew,4,40.692539,-73.816921,9,28,154,4200225,4094760029,Richmond Hill,POINT (-73.816921 40.692539)
Church of The Holy Family,315 East 47th Street,New York,NY,10017,05/02/2008,2019-5533,05/03/2019,05/31/2020,Active,Renew,1,40.752766,-73.969335,6,4,90,1038907,1013400013,Turtle Bay-East Midtown,POINT (-73.969335 40.752766)
Congregation Bnai Israel - Sons Of Israel,33-21 Crescent Street,Long Island Cit,NY,11106,05/05/2008,2019-5644,07/09/2019,07/31/2020,Active,Renew,4,40.762248,-73.929551,1,22,53,4007192,4005810046,Astoria,POINT (-73.929551 40.762248)
Agudath Israel of Long Island,1121 Sage Street,Far Rockaway,NY,11691,06/07/2010,2019-5822,09/23/2019,09/30/2020,Active,Renew,4,40.606509,-73.745013,14,31,103202,4298146,4155510158,Far Rockaway-Bayswater,POINT (-73.745013 40.606509)
Upper Room Baptist Church Inc,1373 College Avenue,Bronx,NY,10456,04/30/2008,2019-5609,06/10/2019,06/30/2020,Active,Renew,2,40.836711,-73.911074,4,16,17702,2007279,2027850046,East Concourse-Concourse Village,POINT (-73.911074 40.836711)
Faith Bible Church,133-20 41st Avenue,Flushing,NY,11355,05/07/2008,2019-5587,06/06/2019,05/31/2020,Active,Renew,4,40.757811,-73.830303,7,20,849,4114229,4050410008,Flushing,POINT (-73.830303 40.757811)
Power of God Cathedral,171-38 107th Avenue,Jamaica,NY,11433,04/15/2014,2019-5584,05/31/2019,05/31/2020,Active,Renew,4,40.70044,-73.784524,12,27,414,4218371,4102470052,South Jamaica,POINT (-73.784524 40.70044)
Brooklyn Christian Temple Inc,393 Atlantic Avenue,Brooklyn,NY,11217,07/02/2013,2019-5699,08/01/2019,08/31/2020,Active,Renew,3,40.687131,-73.985325,2,33,41,3000676,3001770036,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.985325 40.687131)
Bethel Tabernacle AME Church,90 Schenectady Ave.,Brooklyn,NY,11213,09/20/2018,2019-5827,09/26/2019,09/30/2020,Active,Renew,3,40.676221,-73.933214,8,36,309,3035672,3013410044,Crown Heights North,POINT (-73.933214 40.676221)
Calvary Community Church Inc.,1496 St. Johns Place,Brooklyn,NY,11233,08/22/2011,2019-5700,08/01/2019,08/31/2020,Active,Renew,3,40.670455,-73.928764,8,41,349,3037117,3013850035,Crown Heights North,POINT (-73.928764 40.670455)
Second St. John Baptist Church,141 West 118th Street,New York,NY,10026,05/22/2008,2019-5555,05/06/2019,05/31/2020,Active,Renew,1,40.803858,-73.949962,10,9,220,1057476,1019030011,Central Harlem South,POINT (-73.949962 40.803858)
Charity Baptist Church of Christ,142 Watkins Street,Brooklyn,NY,11212,09/18/2019,2019-5851,10/11/2019,10/31/2020,Active,Renew,3,40.669443,-73.907811,16,41,906,3081108,3035240023,Brownsville,POINT (-73.907811 40.669443)
Forest Hills Jewish Center,106-06 Queens Boulevard,Forest Hills,NY,11375,05/08/2008,2019-5482,04/03/2019,04/30/2020,Active,Renew,4,40.72212,-73.847335,6,29,711,4077479,4032370040,Forest Hills,POINT (-73.847335 40.72212)
Butler Memorial United Methodist Church,3920 Paulding Ave,Bronx,NY,10469,10/03/2016,2019-5641,07/09/2019,07/31/2020,Active,Renew,2,40.883616,-73.852852,12,12,398,2064836,2048690031,Williamsbridge-Olinville,POINT (-73.852852 40.883616)
Beth Hamedrosh Anshei Hrubishov,691 Crown Street,Brooklyn,NY,11213,02/27/2014,2019-5684,07/19/2019,07/31/2020,Active,Renew,3,40.665438,-73.93515,9,35,353,3038079,3014130055,Crown Heights North,POINT (-73.93515 40.665438)
St. David's Episcopal Church,384 East 160th Street,Bronx,NY,10451,04/13/2016,2019-5492,04/04/2019,04/30/2020,Active,Renew,2,40.823731,-73.91469,3,17,141,2001778,2024060016,Morrisania-Melrose,POINT (-73.91469 40.823731)
Manhattan Bible Church,401 West 205 Street,New York,NY,10034,11/12/2010,2019-5635,07/08/2019,05/31/2020,Active,Renew,1,40.862519,-73.918288,12,10,299,1064504,1022020025,Marble Hill-Inwood,POINT (-73.918288 40.862519)
Iglesia Cristiana Evangelistica El Divino Salvador,72-02 Myrtle Avenue,Glendale,NY,11385,10/24/2014,2019-5572,05/14/2019,05/31/2020,Active,Renew,4,40.702155,-73.878062,5,30,629,4090557,4037110010,Glendale,POINT (-73.878062 40.702155)
Bayanihan Seventh-Day Adventist Church,39 49 29th Street,Long Island Cit,NY,11101,07/18/2013,2019-5640,07/09/2019,07/31/2020,Active,Renew,4,40.752908,-73.935025,1,26,31,4004841,4003990001,Queensbridge-Ravenswood-Long Island City,POINT (-73.935025 40.752908)
St. Helen Roman Catholic Church,157-10 83rd Street,Howard Beach,NY,11414,05/27/2008,2019-5713,08/01/2019,08/31/2020,Active,Renew,4,40.660805,-73.849973,10,32,892,4438970,4139620060,Lindenwood-Howard Beach,POINT (-73.849973 40.660805)
Metropolitan Baptist Church,1624 84th Street,Brooklyn,NY,11214,09/04/2014,2019-5770,09/03/2019,09/30/2020,Active,Renew,3,40.610884,-74.00519,11,43,180,3329059,3063250017,Bath Beach,POINT (-74.00519 40.610884)
Freewill Church Of God In Christ,862 Jefferson Avenue,Brooklyn,NY,11221,04/30/2013,2019-5543,05/03/2019,05/31/2020,Active,Renew,3,40.686409,-73.922773,3,41,375,3039845,3014870011,Stuyvesant Heights,POINT (-73.922773 40.686409)
Van Nest Assembly Of God,755 Rhinelander Ave,Bronx,NY,10462,08/15/2012,2019-5821,09/23/2019,10/31/2020,Active,Renew,2,40.847859,-73.86488,11,15,230,2047937,2042600001,Van Nest-Morris Park-Westchester Square,POINT (-73.86488 40.847859)
