HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
Prospect Park Jewish Center,1609 Ave R,Brooklyn,NY,11229,05/21/2008,2020-6156,03/06/2020,03/31/2021,Active,Renew,3,40.605933,-73.956596,15,48,552,3256839,3067990046,Madison,POINT (-73.956596 40.605933)
Antioch Baptist Church,107-14 Pinegrove Street,Jamaica,NY,11435,03/03/2011,2020-6117,03/04/2020,03/31/2021,Active,Renew,4,40.690143,-73.805374,12,28,198,4448845,4100720010,South Jamaica,POINT (-73.805374 40.690143)
Bible Faith Tabernacle Church,1368 St. Johns Place,Brooklyn,NY,11213,05/02/2008,2020-6149,03/05/2020,03/31/2021,Active,Renew,3,40.670677,-73.932838,8,35,351,3037059,3013840016,Crown Heights North,POINT (-73.932838 40.670677)
Mt Hebron Baptist Church,"732 East 233rd St., PO BOX 859",Bronx,NY,10466,02/20/2011,2020-6167,03/18/2020,03/31/2021,Active,Renew,2,40.893023,-73.856205,12,12,422,2063714,2048460059,Williamsbridge-Olinville,POINT (-73.856205 40.893023)
Pilgrim Congregational Church,102 -35 89th Avenue,Richmond Hill,NY,11418,03/06/2014,2020-6138,03/04/2020,03/31/2021,Active,Renew,,,,,,,,,,
New Life Apostolic Church,97 - 45 - 92nd Street,Ozone Park,NY,11416,02/22/2013,2020-6134,03/04/2020,03/31/2021,Active,Renew,4,40.684961,-73.849227,9,32,38,4188551,4090660040,Woodhaven,POINT (-73.849227 40.684961)
United Methodist City Society- St. Paul NYC,14 -50 31st Road,Astoria,NY,11106,10/06/2017,2019-5872,10/29/2019,10/31/2020,Active,Renew,,,,,,,,,,
Congregation Sons Of Israel Of The Bronx,2521 Croger Ave.,Bronx,NY,10467,10/26/2011,2019-5930,11/27/2019,10/30/2020,Active,Renew,,,,,,,,,,
Bethany Baptist Church,460 Marcus Garvey Blvd.,Brooklyn,NY,11216,09/25/2018,2019-5733,08/07/2019,08/31/2020,Active,New,3,40.681137,-73.937687,3,36,273,3053589,3018560041,Stuyvesant Heights,POINT (-73.937687 40.681137)
First Church of Christ Holiness,1935 Madison Ave.,New york,NY,10035,04/03/2012,2019-5705,08/01/2019,08/31/2020,Active,Renew,1,40.805256,-73.941006,11,9,198,1054007,1017490022,East Harlem North,POINT (-73.941006 40.805256)
Chinese Promise Baptist Church,842 41st Street,Brooklyn,NY,11232,07/10/2014,2019-5646,07/09/2019,07/31/2020,Active,Renew,3,40.645554,-73.997481,12,38,92,3018229,3009230024,Sunset Park East,POINT (-73.997481 40.645554)
Good Neighbor Presbyterian Church,115 East 106th Street,New York,NY,10029,05/09/2008,2019-5897,11/06/2019,11/30/2020,Active,Renew,1,40.792631,-73.947168,11,8,172,1081389,1016340009,East Harlem South,POINT (-73.947168 40.792631)
First Baptist Church Of Crown Heights Inc.,450 Eastern Parkway,Brooklyn,NY,11225,06/29/2011,2019-5873,11/01/2019,07/31/2020,Active,Renew,3,40.670028,-73.953728,9,35,323,3032891,3012670027,Crown Heights South,POINT (-73.953728 40.670028)
Wakefield Grace United Methodist Church,4750 White Plains Road,Bronx,NY,10470,01/25/2010,2019-5919,11/13/2019,11/30/2020,Active,Renew,2,40.904834,-73.849625,12,11,442,2071870,2051130031,Woodlawn-Wakefield,POINT (-73.849625 40.904834)
Rock Of Holiness Deliverance Faith Ministry Inc,2096 Nostrand Avenue,Brooklyn,NY,11210,05/27/2008,2019-5904,11/06/2019,11/30/2020,Active,Renew,3,40.634585,-73.947848,14,45,786,3121744,3052520070,Flatbush,POINT (-73.947848 40.634585)
Garden Of Prayer International Inc.,3911 Fort Hamilton Parkway,Brooklyn,NY,11218,07/15/2013,2019-5690,07/26/2019,07/31/2020,Active,Renew,3,40.643053,-73.990649,12,39,224,3135280,3055850006,Borough Park,POINT (-73.990649 40.643053)
Hillcrest Jewish Center,183-02 Union Turnpike,Fresh Meadows,NY,11366,02/22/2016,2019-5596,06/10/2019,06/30/2020,Active,Renew,4,40.727782,-73.7855,8,24,1277,4155927,4072480015,Jamaica Estates-Holliswood,POINT (-73.7855 40.727782)
Primera Iglesia Getsemani,193 Graham Avenue,Brooklyn,NY,11206,08/12/2015,2019-5712,08/01/2019,08/31/2020,Active,Renew,3,40.708675,-73.943433,1,34,505,3070976,3030430019,East Williamsburg,POINT (-73.943433 40.708675)
St. Paul & St. Andrew United Methodist Church,263 W 86th St,New York,NY,10024,07/11/2018,2019-5724,08/01/2019,08/31/2020,Active,Renew,1,40.788672,-73.977332,7,6,175,1033195,1012347502,Upper West Side,POINT (-73.977332 40.788672)
Chinese Christian Herald Crusades,156-03 Horace Harding Expy.,Flushing,NY,11367,04/28/2008,2019-5802,09/23/2019,10/31/2020,Active,Renew,4,40.738948,-73.812113,7,20,1215,4146290,4067340001,Queensboro Hill,POINT (-73.812113 40.738948)
International Christian Church the Savior,1696 Weeks Avenue,Bronx,NY,10457,05/13/2008,2019-5620,06/13/2019,06/30/2020,Active,Renew,2,40.84438,-73.907583,4,15,22902,2007367,2027920036,Mount Hope,POINT (-73.907583 40.84438)
Wake-Eden Community Baptist Church,2074 Strang Avenue,Bronx,NY,10466,01/25/2010,2019-5722,08/01/2019,08/31/2020,Active,Renew,2,40.890773,-73.839801,12,12,426,2066715,2049580032,Woodlawn-Wakefield,POINT (-73.839801 40.890773)
Queens Tabernacle,86 03 96th Street,Woodhaven,NY,11421,04/22/2014,2019-5566,05/09/2019,05/31/2020,Active,Renew,4,40.69574,-73.849393,9,32,22,4182675,4088920090,Woodhaven,POINT (-73.849393 40.69574)
The Christian Community,309 West 74th Street,New York,NY,10023,04/29/2008,2019-5853,10/15/2019,10/31/2020,Active,Renew,1,40.781273,-73.983841,7,6,163,1031004,1011840071,Upper West Side,POINT (-73.983841 40.781273)
Christ Apostolic Church WOSEM,442 East 183rd Street,Bronx,NY,10458,04/07/2015,2019-5509,04/16/2019,04/30/2020,Active,Renew,2,40.85566,-73.894152,6,15,385,2011334,2030380016,Claremont-Bathgate,POINT (-73.894152 40.85566)
American Society of Buddhist Studies,214 Centre Street,New York,NY,10013,04/25/2008,2019-5829,09/26/2019,09/30/2020,Active,Renew,1,40.719323,-73.998889,2,1,41,1003061,1002350008,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-73.998889 40.719323)
New Song Community Church,2230 8th Avenue,New York,NY,10027,06/27/2012,2019-5696,07/29/2019,07/31/2020,Active,Renew,1,40.807117,-73.953387,10,9,220,1058460,1019260001,Central Harlem South,POINT (-73.953387 40.807117)
Vineyard International Christian Ministries,1140 Teller Avenue,Bronx,NY,10456,07/21/2011,2019-5518,04/18/2019,04/30/2020,Active,Renew,2,40.830748,-73.912495,4,16,175,2002143,2024290015,East Concourse-Concourse Village,POINT (-73.912495 40.830748)
St. Bartholomew's Church,1227 Pacific Street,Brooklyn,NY,11216,05/23/2008,2019-5556,05/06/2019,05/31/2020,Active,Renew,3,40.677803,-73.95205,8,36,315,3029757,3012000016,Crown Heights North,POINT (-73.95205 40.677803)
"Congregation Ahavas Moishe, Inc.",612 Maple Street,Brooklyn,NY,11203,10/06/2015,2019-5855,10/15/2019,10/31/2020,Active,Renew,3,40.661437,-73.940687,9,41,806,3106824,3047990034,Prospect Lefferts Gardens-Wingate,POINT (-73.940687 40.661437)
German Evangelical Lutheran Church of St Paul's in,315 W 22nd Street/PO Box 1971,New York,NY,10113,01/22/2010,2019-5745,08/27/2019,07/31/2020,Active,Renew,,,,,,,,,,
Nurudeen Islamic Charity Organization of NY,3391 3rd Avenue,Bronx,NY,10456,10/09/2009,2019-5660,07/09/2019,07/31/2020,Active,Renew,2,40.828054,-73.907132,3,16,185,2124689,2023710057,Morrisania-Melrose,POINT (-73.907132 40.828054)
St. Mark's United Methodist Church,2017 Beverly Road,Brooklyn,NY,11226,08/24/2016,2019-5825,09/25/2019,10/31/2020,Active,Renew,3,40.644891,-73.959742,14,40,51001,3117629,3051240057,Flatbush,POINT (-73.959742 40.644891)
First Presbyterian Church of Flushing,150-20 Barclay Ave,Flushing,NY,11355,10/11/2012,2019-5808,09/23/2019,10/31/2020,Active,Renew,4,40.761784,-73.813348,7,20,1167,4438142,4050590016,Murray Hill,POINT (-73.813348 40.761784)
Mesivta Nachlas Yakov of Adas Yereim,185 Wilson Street,Brooklyn,NY,11211,05/28/2015,2019-5917,11/12/2019,11/30/2020,Active,Renew,3,40.70675,-73.960354,1,33,535,3059912,3021780006,Williamsburg,POINT (-73.960354 40.70675)
Congregation Beit Hillel Of Flatlands,2164 Ralph Avenue,Brooklyn,NY,11234,07/11/2011,2019-5612,06/10/2019,06/30/2020,Active,Renew,3,40.625065,-73.917858,18,46,692,3218178,3078390001,Flatlands,POINT (-73.917858 40.625065)
Evangel Temple Inc.,227-10 Merrick Blvd.,Laurelton,NY,11413,06/06/2016,2019-5726,08/01/2019,08/31/2020,Active,Renew,4,40.67692,-73.742887,13,31,632,4281526,4131080027,Laurelton,POINT (-73.742887 40.67692)
Faith Christian Missionary Church of God Inc,968 Clarkson Avenue,Brooklyn,NY,11203,05/07/2008,2019-5583,05/30/2019,05/31/2020,Active,Renew,3,40.656956,-73.925405,17,41,864,3100967,3046420007,Rugby-Remsen Village,POINT (-73.925405 40.656956)
Saints Peter and Paul - Epiphany Church,71 South 3rd Street,Brooklyn,NY,11249,02/28/2018,2019-5554,05/06/2019,05/31/2020,Active,Renew,3,40.71329,-73.964787,1,34,551,3063078,3024160034,North Side-South Side,POINT (-73.964787 40.71329)
The Bethelship Norwegian United Methodist Church,5523 4th Avenue,Brooklyn,NY,11220,08/02/2017,2019-5718,08/01/2019,08/31/2020,Active,Renew,3,40.643492,-74.01566,7,38,76,3014934,3008310001,Sunset Park West,POINT (-74.01566 40.643492)
Christ Temple Of The Apostolic Faith Inc.,13-17 West 128th Street,New York,NY,10027,04/22/2016,2019-5613,06/10/2019,06/30/2020,Active,Renew,1,40.808655,-73.941592,10,9,208,1076429,1017260044,Central Harlem North-Polo Grounds,POINT (-73.941592 40.808655)
Congregation Shomrei Emunah,5202 14th Avenue,Brooklyn,NY,11219,01/22/2010,2019-5645,07/09/2019,07/31/2020,Active,Renew,3,40.631929,-73.991768,12,44,238,3138738,3056630035,Borough Park,POINT (-73.991768 40.631929)
Park Slope Baptist Church,251 12th Street,Brooklyn,NY,11215,10/30/2017,2019-5563,05/07/2019,05/31/2020,Active,New,3,40.667965,-73.988998,6,39,139,3332168,3010220066,Park Slope-Gowanus,POINT (-73.988998 40.667965)
Church of the Good Shepherd,96 - 07 103rd Avenue,Ozone Park,NY,11416,05/02/2008,2019-5806,09/23/2019,10/31/2020,Active,Renew,4,40.682585,-73.843928,9,32,4001,4189351,4091030034,Woodhaven,POINT (-73.843928 40.682585)
House of Grace,31-55 92nd Street,East Elmhurst,NY,11369,06/06/2019,2019-5589,06/06/2019,06/30/2020,Active,New,4,40.759382,-73.876578,3,21,351,4034126,4014040045,Jackson Heights,POINT (-73.876578 40.759382)
United Nations Pentecostal Church,1494 Ocean Ave,Brooklyn,NY,11230,05/17/2018,2019-5697,08/01/2019,06/30/2020,Active,Renew,3,40.625372,-73.956335,14,45,762,3180181,3067217501,Midwood,POINT (-73.956335 40.625372)
"Masjid:""Omar Ben Abdel-Aziz""",88-29 161st Street,Jamaica,NY,11432,05/20/2008,2019-5603,06/10/2019,06/30/2020,Active,Renew,4,40.707567,-73.800677,12,24,44602,4209002,4097670019,Jamaica,POINT (-73.800677 40.707567)
Mt. Olivet Gospel Church,33-27 97th Street,Corona,NY,11368,08/14/2019,2019-5778,09/03/2019,09/30/2020,Active,Renew,4,40.756436,-73.871206,3,21,377,4307613,4017120019,North Corona,POINT (-73.871206 40.756436)
International Revival Tabernacle,2260 Pacific Street,Brooklyn,NY,11233,03/30/2015,2019-5502,04/10/2019,04/30/2020,Active,Renew,3,40.675453,-73.909598,16,37,36501,3038744,3014420032,Ocean Hill,POINT (-73.909598 40.675453)
Fellowship Missionary Baptist Church,509 Van Siclen Ave.,Brooklyn,NY,11207,10/28/2011,2019-5894,11/06/2019,11/30/2020,Active,Renew,3,40.667354,-73.88894,5,42,1160,3090004,3040580041,East New York,POINT (-73.88894 40.667354)
Christian Church of the Valley,843 East 156th Street,Bronx,NY,10455,05/15/2017,2019-5574,05/15/2019,05/31/2020,Active,Renew,2,40.817439,-73.902873,1,17,79,2005001,2026760083,Melrose South-Mott Haven North,POINT (-73.902873 40.817439)
The Church of St. Edward the Martyr,14 East 109th Street,New York,NY,10029,09/11/2018,2019-5784,09/10/2019,09/30/2020,Active,Renew,1,40.795958,-73.949108,11,9,17401,1051593,1016140064,East Harlem South,POINT (-73.949108 40.795958)
Grand Concourse Seventh Day Adventist Church,1275 Grand Concourse,Bronx,NY,10452,05/13/2008,2019-5565,05/09/2019,05/31/2020,Active,Renew,2,40.836092,-73.916181,4,16,22102,2002861,2024660026,West Concourse,POINT (-73.916181 40.836092)
"Church Of God In Christ Jesus ND, Inc.",476 Kosciuszko Street,Brooklyn,NY,11221,04/23/2010,2019-5800,09/23/2019,10/31/2020,Active,Renew,3,40.69248,-73.935163,3,36,289,3043404,3016060028,Stuyvesant Heights,POINT (-73.935163 40.69248)
Sunnyside Congregation of Jehovah's Witnesses,48-18 69th Street,Woodside,NY,11377,12/30/2017,2019-5505,04/10/2019,04/30/2020,Active,Renew,4,40.738157,-73.89592,2,30,243,4056263,4024290054,Elmhurst-Maspeth,POINT (-73.89592 40.738157)
Emmanuel Baptist Church,279 Lafayette Avenue,Brooklyn,NY,11238,09/11/2015,2019-5782,09/05/2019,08/31/2020,Active,Renew,3,40.688279,-73.965287,2,35,197,3055373,3019320042,Clinton Hill,POINT (-73.965287 40.688279)
El Shaddai Ministries Inc.,146-42 Guy R. Brewer Blvd,Jamaica,NY,11434,05/16/2016,2019-5857,10/16/2019,08/31/2020,Active,Renew,4,40.662196,-73.768269,13,31,320,4285469,4133100084,Springfield Gardens South-Brookville,POINT (-73.768269 40.662196)
"Jewish Center Of Kew Gardens Hills, Inc.",71-25 Main Street,Flushing,NY,11367,05/14/2010,2019-5655,07/09/2019,07/31/2020,Active,Renew,4,40.727194,-73.822075,8,24,77906,4144021,4066580003,Kew Gardens Hills,POINT (-73.822075 40.727194)
Holy Archangels Michael & Gab Rom Orth Church,75-27 67th Drive,Middle Village,NY,11379,05/12/2008,2019-5708,08/01/2019,08/31/2020,Active,Renew,4,40.711464,-73.877042,5,30,619,4091478,4037740048,Middle Village,POINT (-73.877042 40.711464)
Elohim Christian Church,87-47 111th Street,Richmond Hill,NY,11418,05/06/2008,2019-5748,08/27/2019,06/30/2020,Active,Renew,4,40.696475,-73.836964,9,28,124,4440557,4093010024,Richmond Hill,POINT (-73.836964 40.696475)
St. George's Church (Episcopal),135-32 38th Avenue,Flushing,NY,11354,05/27/2008,2019-5664,07/09/2019,07/31/2020,Active,Renew,4,40.760399,-73.831899,7,20,871,4112307,4049750001,Flushing,POINT (-73.831899 40.760399)
Jesus the Good Shepherd United Reformed Episcopal,599 Washington Avenue,Brooklyn,NY,11238,05/07/2012,2019-5544,05/03/2019,05/31/2020,Active,Renew,3,40.679779,-73.964134,8,35,203,3027688,3011320004,Prospect Heights,POINT (-73.964134 40.679779)
First Central Baptist Church,117 Wright Street,Staten Island,NY,10304,05/07/2008,2019-5540,05/03/2019,05/31/2020,Active,Renew,5,40.62799,-74.079862,1,49,21,5013690,5005210079,Stapleton-Rosebank,POINT (-74.079862 40.62799)
St. Peter's Episcopal Church,137-28 244th Street,Rosedale,NY,11422,10/25/2018,2019-5909,11/06/2019,11/30/2020,Active,Renew,4,40.667955,-73.733041,13,31,638,4284509,4132410043,Rosedale,POINT (-73.733041 40.667955)
Our Lady Of Lebanon Maronite Catholic Cathedral,113 Remsen Street,Brooklyn,NY,11201,10/19/2015,2019-5486,04/03/2019,04/30/2020,Active,Renew,3,40.693909,-73.993823,2,33,502,3002075,3002490015,Brooklyn Heights-Cobble Hill,POINT (-73.993823 40.693909)
Shore Park Jewish Center,2959 Avenue Y,Brooklyn,NY,11235,05/22/2008,2019-5905,11/06/2019,11/30/2020,Active,Renew,3,40.591847,-73.938808,15,48,596,3203616,3074230038,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.938808 40.591847)
The Good Shepherd Spiritual Baptist Church Inc,2050 Nostrand Avenue,Brooklyn,NY,11210,11/18/2011,2019-5910,11/06/2019,11/30/2020,Active,Renew,3,40.635398,-73.947934,14,45,786,3121733,3052520050,Flatbush,POINT (-73.947934 40.635398)
Jewish Center Inc.,131 West 86th Street,New York,NY,10024,05/14/2008,2019-5654,07/09/2019,07/31/2020,Active,Renew,1,40.786931,-73.973202,7,6,173,1032193,1012170018,Upper West Side,POINT (-73.973202 40.786931)
Grace Chinese Alliance Church Of C& M A,5623 7th Avenue,Brooklyn,NY,11220,07/11/2014,2019-5785,09/10/2019,08/31/2020,Active,Renew,3,40.638909,-74.009577,7,38,104,3015501,3008420001,Sunset Park East,POINT (-74.009577 40.638909)
"New Covenant Faith and Miracle Arena, Inc",1175 Boston Road,Bronx,NY,10456,06/22/2011,2019-5854,10/15/2019,10/31/2020,Active,Renew,2,40.828887,-73.903066,3,16,185,2004287,2026140043,Morrisania-Melrose,POINT (-73.903066 40.828887)
Salvation & Deliverance Church,37 West 116th Street,New York,NY,10026,05/17/2017,2019-5662,07/09/2019,07/31/2020,Active,Renew,1,40.801447,-73.948291,10,9,190,1051428,1016000015,Central Harlem South,POINT (-73.948291 40.801447)
Kingsway Jewish Center,2810 Nostrand Avenue,Brooklyn,NY,11229,05/15/2008,2019-5735,08/07/2019,06/30/2020,Active,Renew,3,40.615724,-73.944776,15,45,642,3211291,3076900051,Madison,POINT (-73.944776 40.615724)
Congregation Yeshuos Chaim,1167 East 13th Street,Brooklyn,NY,11230,05/06/2008,2019-5536,05/03/2019,05/31/2020,Active,Renew,3,40.6211,-73.962501,14,44,534,3180329,3067240060,Midwood,POINT (-73.962501 40.6211)
New Hope Pentecostal Church,659 Ralph Avenue,Brooklyn,NY,11212,05/19/2008,2019-5723,08/01/2019,07/31/2020,Active,Renew,3,40.666764,-73.922659,16,41,900,3080805,3035090022,Brownsville,POINT (-73.922659 40.666764)
"Pentecostal Church ""El Eden""",105 Montrose Ave,Brooklyn,NY,11206,04/24/2014,2019-5869,10/25/2019,06/30/2020,Active,Renew,3,40.70712,-73.945501,1,34,505,3071095,3030510025,East Williamsburg,POINT (-73.945501 40.70712)
Manhattan Beach Jewish Center,60 West End Avenue,Brooklyn,NY,11235,04/05/2017,2019-5484,04/03/2019,04/30/2020,Active,Renew,3,40.580394,-73.953567,15,48,61004,3326901,3087130077,Brighton Beach,POINT (-73.953567 40.580394)
Central Brooklyn Spanish Seventh-Day Adventist Chu,130 Boerum Street,Brooklyn,NY,11206,07/17/2015,2019-5880,11/04/2019,11/30/2020,Active,New,3,40.705818,-73.943677,1,34,505,3071338,3030790016,East Williamsburg,POINT (-73.943677 40.705818)
Bnei Aram Soba,1616 Ocean Parkway,Brooklyn,NY,11223,04/01/2011,2019-5477,04/03/2019,04/30/2020,Active,Renew,3,40.609151,-73.967647,15,44,422,3176091,3066370012,Homecrest,POINT (-73.967647 40.609151)
"The Central Islamic Organization of New York, Inc.",130-08 Rockaway Blvd.,South Ozone Par,NY,11420,03/03/2016,2019-5743,08/27/2019,08/31/2020,Active,Renew,4,40.674969,-73.80831,10,28,818,4254932,4117540052,South Ozone Park,POINT (-73.80831 40.674969)
Netivot Israel,1617 Ocean Parkway,Brooklyn,NY,11223,05/19/2008,2019-5902,11/06/2019,11/30/2020,Active,Renew,3,40.608983,-73.967593,15,44,420,3176157,3066380073,Homecrest,POINT (-73.967593 40.608983)
Redemption Church Of Christ Inc.,1252-54 Bedford Avenue,Brooklyn,NY,11216,05/27/2008,2019-5826,09/26/2019,09/30/2020,Active,Renew,3,40.681122,-73.953476,3,36,227,3057462,3020000031,Clinton Hill,POINT (-73.953476 40.681122)
St. Paul's United Methodist,3714 Avenue D,Brooklyn,NY,11203,05/28/2008,2019-5667,07/09/2019,07/31/2020,Active,Renew,3,40.641373,-73.941548,17,45,832,3112489,3049710005,East Flatbush-Farragut,POINT (-73.941548 40.641373)
Mt. Horeb Holiness Church Of God Inc.,2105 5th Avenue,New York,NY,10035,05/23/2008,2019-5789,09/16/2019,09/30/2020,Active,Renew,1,40.80923,-73.940194,11,9,206,1054219,1017540003,Central Harlem North-Polo Grounds,POINT (-73.940194 40.80923)
Church of the Sacred Heart of Jesus,457 West 51st Street,New York,NY,10019,04/24/2018,2019-5480,04/03/2019,04/30/2020,Active,Renew,1,40.764778,-73.990051,4,3,133,1026715,1010610007,Clinton,POINT (-73.990051 40.764778)
Congregation Emanu -EI of the City of New York,1 East 65th Street,New York,NY,10003,07/30/2018,2019-5689,07/25/2019,07/31/2020,Active,Renew,1,40.767928,-73.970036,8,4,122,1081210,1013800001,Upper East Side-Carnegie Hill,POINT (-73.970036 40.767928)
United Temple of Park Slope,315 8th Street,Brooklyn,NY,11215,07/18/2016,2019-5833,10/01/2019,08/31/2020,Active,Replace,3,40.669243,-73.984658,6,39,137,3021923,3009990059,Park Slope-Gowanus,POINT (-73.984658 40.669243)
Harvest Fields Community Church,2626 East Tremont Avenue,Bronx,NY,10461,01/22/2010,2019-5595,06/10/2019,06/30/2020,Active,Renew,2,40.842975,-73.846291,10,13,200,2042413,2040020051,Van Nest-Morris Park-Westchester Square,POINT (-73.846291 40.842975)
Harvest Christian Fellowship,336 West 37th Street,New York,NY,10018,05/12/2008,2019-5765,09/03/2019,09/30/2020,Active,Renew,1,40.754573,-73.99324,4,3,111,1013604,1007600063,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.99324 40.754573)
St. Rose of Lima Church,510 West 165th Street,New York,NY,10032,01/22/2010,2019-5627,06/24/2019,05/31/2020,Active,Renew,1,40.838186,-73.93912,12,7,24301,1062894,1021210029,Washington Heights South,POINT (-73.93912 40.838186)
Young Israel of Holliswood,86-25 Francis Lewis Blvd,Holliswood,NY,11427,05/30/2008,2019-5560,05/06/2019,05/31/2020,Active,Renew,4,40.724948,-73.765107,8,23,492,4226088,4106000019,Jamaica Estates-Holliswood,POINT (-73.765107 40.724948)
The Evangelical Lutheran Church Of The Resurrectio,189-20 114th Road,St. Albans,NY,11412,05/29/2013,2019-5632,06/26/2019,06/30/2020,Active,Renew,4,40.697533,-73.763645,12,27,400,4221225,4103940007,St. Albans,POINT (-73.763645 40.697533)
Yeshivas Novominsk,1690 60TH ST,Brooklyn,NY,11204,09/06/2018,2019-5912,11/06/2019,11/30/2020,Active,Renew,3,40.623672,-73.990004,12,44,242,3328510,3055170039,Borough Park,POINT (-73.990004 40.623672)
St. Kevin RC Church,4521 194th Street,Flushing,NY,11358,10/23/2013,2019-5819,09/23/2019,10/31/2020,Active,Renew,4,40.755222,-73.787256,11,19,145101,4125018,4055360001,Auburndale,POINT (-73.787256 40.755222)
Congregation Shaare Zion,2030 Ocean Parkway,Brooklyn,NY,11223,05/06/2008,2019-5588,06/06/2019,05/31/2020,Active,Renew,3,40.599264,-73.965762,15,47,394,3191944,3071080018,Homecrest,POINT (-73.965762 40.599264)
"Iglesia Carismatica Casa De Oracion, Inc",4609 8th Avenue,Brooklyn,NY,11220,05/13/2008,2019-5500,04/10/2019,04/30/2020,Active,Renew,3,40.643237,-74.001492,12,38,94,3012099,3007600005,Sunset Park East,POINT (-74.001492 40.643237)
Powerhouse Ministries Inc.,1161 Boston Road,Bronx,NY,10456,03/28/2016,2019-5551,05/06/2019,05/31/2020,Active,Renew,2,40.828701,-73.903283,3,16,185,2004290,2026140052,Morrisania-Melrose,POINT (-73.903283 40.828701)
CityLight Church,121 E 7th Street,New York,NY,10009,08/26/2014,2019-5876,11/01/2019,10/31/2020,Active,Renew,1,40.726441,-73.984436,3,2,32,1066657,1004350042,East Village,POINT (-73.984436 40.726441)
Full Gospel Tabernacle Of Faith Church Inc.,1212 East New York Avenue,Brooklyn,NY,11212,09/16/2015,2019-5856,10/16/2019,10/31/2020,Active,Renew,3,40.667256,-73.922373,16,41,900,3080807,3035090034,Brownsville,POINT (-73.922373 40.667256)
Vishnu Mandir,1216 Noble Avenue,Bronx,NY,10472,05/31/2017,2019-5685,07/22/2019,07/31/2020,Active,Renew,2,40.830049,-73.869816,9,18,68,2024577,2037600018,Soundview-Bruckner,POINT (-73.869816 40.830049)
The Full Gospel First Church of NY,41- 15 150 Street,Flushing,NY,11355,08/28/2019,2019-5913,11/07/2019,08/31/2020,Active,Renew,4,40.762284,-73.813765,7,20,1167,4114915,4050580013,Murray Hill,POINT (-73.813765 40.762284)
"Three Angels Gospel Adventist Ministries, Inc",599 Hageman Avenue,Brooklyn,NY,11208,06/03/2013,2019-5608,06/10/2019,06/30/2020,Active,Renew,,,,,,,,,,
Young Israel Beth-El of Borough Park,4802 15th Avenue,Brooklyn,NY,11219,05/30/2008,2019-5777,09/03/2019,09/30/2020,Active,Renew,3,40.632839,-73.987235,12,44,234,3137508,3056360036,Borough Park,POINT (-73.987235 40.632839)
Congregation Bnei Shlomo,1610 52nd Street,Brooklyn,NY,11204,05/22/2016,2019-5757,08/29/2019,06/30/2020,Active,Renew,3,40.629021,-73.986721,12,44,472,3256723,3054727501,Borough Park,POINT (-73.986721 40.629021)
Congregation Ahavas Yisroel,147-02 73rd Avenue,Kew Gardens,NY,11367,05/05/2008,2019-5861,10/21/2019,10/31/2020,Active,Renew,4,40.725358,-73.818411,8,24,77907,4144466,4066820001,Kew Gardens Hills,POINT (-73.818411 40.725358)
Church Of Christ Hollis,214-11 Jamaica Avenue,Queens Village,NY,11428,11/09/2014,2019-5643,07/09/2019,07/31/2020,Active,Renew,4,40.716479,-73.743442,13,23,542,4226194,4106040030,Queens Village,POINT (-73.743442 40.716479)
St. Mary Magdalen Orthodox Church,70 West 107th Street,New York,NY,10025,05/28/2008,2019-5677,07/15/2019,07/31/2020,Active,Renew,1,40.799622,-73.961704,7,7,193,1087196,1018427503,Morningside Heights,POINT (-73.961704 40.799622)
Ebenezer Gospel Tabernacle Christian Mission USA,223-25 Lenox Avenue,New York,NY,10027,01/26/2015,2019-5843,10/04/2019,09/30/2020,Active,Renew,1,40.805358,-73.947259,10,9,220,1057685,1019060029,Central Harlem South,POINT (-73.947259 40.805358)
Pentecostal Rescue House of Prayer For All Nations,2415 Pitkins Avenue,Brooklyn,NY,11208,05/21/2008,2019-5815,09/23/2019,10/31/2020,Active,Renew,3,40.673785,-73.883164,5,37,1166,3088942,3040020032,East New York,POINT (-73.883164 40.673785)
Yeshivat Or Hatorah,2959 Avenue Y,Brooklyn,NY,11235,08/17/2016,2019-5799,09/20/2019,09/30/2020,Active,Renew,3,40.591847,-73.938808,15,48,596,3203616,3074230038,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.938808 40.591847)
St. George's Episcopal Church,800 Marcy Avenue,Brooklyn,NY,11216,05/27/2008,2019-5906,11/06/2019,11/30/2020,Active,Renew,3,40.68634,-73.947421,3,36,251,3051119,3018130041,Bedford,POINT (-73.947421 40.68634)
Homecrest Presbyterian Church,1413 Avenue T,Brooklyn,NY,11229,05/12/2008,2019-5766,09/03/2019,09/30/2020,Active,Renew,3,40.60102,-73.957543,15,48,556,3196793,3072930043,Homecrest,POINT (-73.957543 40.60102)
Congregation Beth Elohim,274 Garfield Place,Brooklyn,NY,11215,11/22/2013,2019-5871,10/29/2019,10/31/2020,Active,Renew,3,40.670905,-73.974157,6,39,165,3025118,3010750005,Park Slope-Gowanus,POINT (-73.974157 40.670905)
