OBJECTID,Angle,Site_ID,the_geom,Status,Type,Street,XStreet1,XStreet2,Side
1845,299,M23-011,POINT (-73.99343838379892 40.743277561774434),Installed,Type D,W 23 Street,6 Avenue,7 Avenue,N
1846,119,M23-024,POINT (-73.9953972827813 40.743878995342925),Installed,Type D,W 23 Street,7 Avenue,6 Avenue,S
1847,299,M23-012,POINT (-73.99595238154089 40.74432791428889),Installed,Type D,W 23 Street,7 Avenue,8 Avenue,N
1848,119,M23-023,POINT (-73.99810437882708 40.745033234915034),Installed,Type D,W 23 Street,8 Avenue,7 Avenue,S
1849,299,M23-013,POINT (-73.99876067509872 40.74550952177455),Installed,Type D,W 23 Street,8 Avenue,9 Avenue,N
1850,119,M23-022,POINT (-74.00095310335033 40.74624346250866),Installed,Type D,W 23 Street,9 Avenue,8 Avenue,S
1854,119,M23-020,POINT (-74.00679367796025 40.74869358244613),Removed Sign/Footing (Temporary),Type D,W 23 Street,11 Avenue,10 Avenue,S
1859,15.62,LM-184,POINT (-73.99302369621525 40.72257660334797),Installed,Type B,Bowery,Prince Street,Stanton Street,E
1860,173,LM-185,POINT (-73.99251459912924 40.71166493057125),Installed,Type B,Pike Street,Monroe Street,Cherry Street,W
1861,111.4,LM-186,POINT (-73.98405885650477 40.71504608968911),Installed,Type B,Grand Street,Samuel Dickstein Plaza,East Broadway,S
1862,21.4,LM-187,POINT (-73.98698695678692 40.721137516282326),Installed,Type A,Essex Street,Stanton Street,East Houston Street,W
1863,118.5,LM-188,POINT (-73.9967523774368 40.722105885309404),Installed,Type A,Spring Street,Cleveland Place,Mulberry Street,S
1864,111.4,LM-189,POINT (-73.98657415333952 40.71958477766398),Installed,Type B,Rivington Street,Norfolk Street,Suffolk Street,N
1865,21.4,LM-190,POINT (-73.98898146569482 40.71682046589033),Installed,Type B,Essex Street,Grand Street,Broome Street,N
1868,119,MT-221,POINT (-73.97387325943387 40.74382371263966),Installed,Type B,E 34 Street,1 Avenue,2 Avenue,S
1869,79,RD-004,POINT (-73.90584045971464 40.700111597026826),Installed,Type B,Myrtle Avenue,Cornelia Street,Cypress Avenue,S
1870,81.5,RD-005,POINT (-73.90401648057411 40.70042647920045),Installed,Type B,Myrtle Avenue,Seneca Avenue,Catalpa Avenue,N
1899,111.4,LM-191,POINT (-73.99258385384618 40.7200716797344),Installed,Type B,Delancey Street,Chrystie Street,Forsyth Street,N
1904,130.3673,FL-005,POINT (-73.90241086704123 40.645342831291714),Installed,Type B,Rockaway Parkway,Glenwood Road,E 98 Street,E
2101,82,WO-007,POINT (-73.89648835434535 40.74638220251848),Installed,Type B,Roosevelt Avenue,69 Street,39 Avenue,N
2107,157,CO-011,POINT (-73.86946968104847 40.74942082919644),Installed,Type B,Junction Boulevard,Roosevelt Avenue,38 Avenue,E
2112,172.08,FB-010,POINT (-73.97964824111706 40.64326855425521),Installed,Type B,McDonald Avenue,Church Avenue,Albemarle Road,W
2117,58.08,MW-001,POINT (-73.97689434275298 40.63078612316066),Installed,Type B,18 Avenue,McDonald Avenue,Seton Place,S
2118,170.93,MW-002,POINT (-73.97660210285868 40.62850041752029),Installed,Type B,McDonald Avenue,Parkville Avenue,Lawrence Avenue,E
2125,167.12,X6-003,POINT (-73.94558268745816 40.83461213166177),Installed,Type D,Edward M. Morgan Place,W 157 Street,W 158 Street,W
2127,119,X6-005,POINT (-73.9426243775076 40.83126524916279),Installed,Type D,W 155 Street,Amsterdam Avenue,St. Nicholas Avenue,S
2135,110.93,X6-010,POINT (-73.92642574920565 40.82785188294309),Installed,Type D,E 161 Street,River Avenue,Jerome Avenue,S
2137,113.24,X6-012,POINT (-73.91994586398933 40.82600527252043),Installed,Type D,E 161 Street,Sherman Avenue,Concourse Village East,S
2140,111.33,X6-015,POINT (-73.91339641049893 40.82396317317153),Installed,Type D,E 161 Street,Melrose Avenue,Elton Avenue,S
2142,113.25,X6-017,POINT (-73.90918158922283 40.82411530320916),Installed,Type D,E 163 Street,3 Avenue,Elton Avenue,S
2145,107.99,X6-020,POINT (-73.90042393146325 40.821958601986736),Installed,Type D,E 163 Street,Prospect Avenue,Rev. James A. Polite Avenue,S
2147,90.18,X6-022,POINT (-73.89644644593422 40.82089566880401),Installed,Type D,E 163 Street,Intervale Avenue,Kelly Street,S
2149,135.58,X6-024,POINT (-73.8911156032924 40.820426714138826),Installed,Type D,Hunts Point Avenue,Bruckner Boulevard,Southern Boulevard,W
2165,321.93,X6-039,POINT (-73.88601250401722 40.814868271066246),Installed,Type D,Hunts Point Avenue,Spofford Avenue,Faile Street,E
2168,332.4,X6-042,POINT (-73.88911886715545 40.81877352310639),Installed,Type D,Hunts Point Avenue,Seneca Avenue,Garrison Avenue,E
2171,270.39,X6-045,POINT (-73.8964117742428 40.82109498602663),Installed,Type D,E 163 Street,Kelly Street,Intervale Avenue,N
2173,287.59,X6-047,POINT (-73.90101608708464 40.822311124011875),Installed,Type D,E 163 Street,Prospect Avenue,Union Avenue,N
2178,291.33,X6-052,POINT (-73.91407459144261 40.82436704691482),Installed,Type D,E 161 Street,Melrose Avenue,Courtlandt Avenue,N
2181,293.24,X6-055,POINT (-73.92078232937172 40.826352474374175),Installed,Type D,E 161 Street,Sherman Avenue,Sheridan Avenue,N
