impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K20-127201,A612890,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612890,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 WEEKS,Male,Chihuahua - Smooth Coated,Black / Brown,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612890,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Black / Brown Male Chihuahua - Smooth Coated Dog<p/> Age: 2 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126711,A611653,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,White / Org Tabby,04/22/2020 12:00:00 AM,Received on,20600 SE 424TH ST,ENUMCLAW,WA,98022,KING COUNTY,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-22<p/> Found Near: 20600 SE 424TH ST, ENUMCLAW WA 98022<p/> Description: White / Org Tabby Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K20-126567,A611182,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2107586,In Public Home,,Cat,,Female,Domestic Mediumhair,Black / Black,04/06/2020 12:00:00 AM,Date Found,1408 N 47TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2107586,Image Copyright HLP Inc. 2020,,
K20-127199,A612887,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612887,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,2 WEEKS,Male,Chihuahua - Smooth Coated,Black / Brown,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612887,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Black / Brown Male Chihuahua - Smooth Coated Dog<p/> Age: 2 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126932,A612276,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2116173,In Public Home,,Dog,,Female,Siberian Husky,Unknown,04/30/2020 12:00:00 AM,Date Found,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2116173,Image Copyright HLP Inc. 2020,,
K20-127063,A612657,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Male,Domestic Shorthair,Crm Tabby,05/07/2020 12:00:00 AM,Received on,4800 S 145TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612657,Image Copyright HLP Inc. 2020,"Received on: 2020-05-07<p/> Found Near: 4800 S 145TH ST, TUKWILA WA 98168<p/> Description: Crm Tabby Male Domestic Shorthair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-127192,A612873,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612873,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,4 WEEKS,Male,Chihuahua - Smooth Coated,Black / Brown,05/08/2020 12:00:00 AM,Received on,100 REITEN RD,KENT,WA,98030,KENT,47.382264,-122.22592,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612873,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 100 REITEN RD, KENT WA 98030<p/> Description: Black / Brown Male Chihuahua - Smooth Coated Dog<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K20-126925,A612267,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2116074,LOST,Braxton,Dog,,Male,Labrador Retriever,Black,04/30/2020 12:00:00 AM,Date Lost,,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2116074,Image Copyright HLP Inc. 2020,,
K20-127006,A612493,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A612493,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ferb,Dog,5 YEARS,Neutered Male,Terrier / Mix,Tan,05/06/2020 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612493,Image Copyright HLP Inc. 2020,"Received on: 2020-05-06<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Tan Neutered Male Terrier / Mix Dog<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K20-126827,A612021,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Queenie,Dead Cat,2 YEARS,Spayed Female,Domestic Longhair,Brn Tabby,04/27/2020 12:00:00 AM,Received on,14400 MILITARY RD S,TUKWILA,WA,98168,TUKWILA,47.474224,-122.290835,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-27<p/> Found Near: 14400 MILITARY RD S, TUKWILA WA 98168<p/> Description: Brn Tabby Spayed Female Domestic Longhair Cat<p/> Age: 2 YEARS<p/>",
K20-126303,A552246,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A552246,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tucker,Dog,3 YEARS 2 MONTHS,Neutered Male,Doberman Pinscher / Mix,Black / Tan,03/27/2020 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552246,Image Copyright HLP Inc. 2020,"Received on: 2020-03-27<p/> Description: Black / Tan<p/>  Neutered Male Doberman Pinscher / Mix Dog<p/> Age: 3 YEARS 2 MONTHS<p/> Adoption Fee: $175.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Tucker and I am available for adoption. I am a 3 year old neutered male Doberman who weighs about 80 pounds.<p/><p/>I was brought in by my previous owner on March 27, 2020 because their yard was not secure enough to contain me. My previous owner has had me since I was 5 months old. They said I am like a shadow! I constantly wants to be with my people and will stick by your side anywhere you go in the house. I am potty trained but not crate trained. I have never been around kids before and would probably do better with older children. I was raised with cats, and can be picky about my dog friends.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. <p/><p/>I am looking for a family that will be devoted to working with me especially when it comes to potential separation anxiety and my impressive escape artist skills. If these are situations you have not dealt with before, I may not be the best fit for you.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>",BLUE
K20-127184,A612844,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,1 WEEK,Male,Domestic Mediumhair,Brn Tabby,05/08/2020 12:00:00 AM,Received on,25400 98TH AVE S,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A612844,Image Copyright HLP Inc. 2020,"Received on: 2020-05-08<p/> Found Near: 25400 98TH AVE S, KENT WA 98030<p/> Description: Brn Tabby Male Domestic Mediumhair Cat<p/> Age: 1 WEEK<p/> Current Location: In RASKC Foster Home <p/>",
K20-126565,A611166,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2107505,LOST,Saffron,Cat,,Female,Domestic Mediumhair,Unknown,04/13/2020 12:00:00 AM,Date Lost,132ND AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2107505,Image Copyright HLP Inc. 2020,,
K20-126374,A610431,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2102454,LOST,Allye,Dog,,Female,Cavalier King Charles Spaniel,Unknown,04/01/2020 12:00:00 AM,Date Lost,258TH AND MARINE VIEW DR S; DES MOINES,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2102454,Image Copyright HLP Inc. 2020,,
K20-126682,A611552,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2110610,LOST,Chance,Cat,,Male,American Shorthair,Unknown,04/09/2020 12:00:00 AM,Date Lost,1ST STREET N.E. & D STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2110610,Image Copyright HLP Inc. 2020,,
K20-126731,A611695,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Shorthair,Black / White,04/23/2020 12:00:00 AM,Received on,1700 W MEEKER ST,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2020,"Received on: 2020-04-23<p/> Found Near: 1700 W MEEKER ST, KENT WA 98032<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K20-127047,A612613,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2117737,LOST,Shayera/shy,Cat,,Female,Domestic Shorthair,Unknown,05/04/2020 12:00:00 AM,Date Lost,6500 BLOCK NE 202ND ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2117737,Image Copyright HLP Inc. 2020,,
