Area,Sub Area,Collection Sequence,Date Sign Posted (Round 1),Planned Start (Round 1),Date Area Started (Round 1),Date Area Ended (Round 1),Date Sign Posted (Round 2),Planned Start (Round 2),Date Area Started (Round 2),Date Area Ended (Round 2)
8,G,4,10/30/2019 12:00:00 AM,11/18/2019,11/18/2019,11/18/2019,11/20/2019,12/02/2019,12/06/2016,12/09/2019
5,H,2,10/28/2019 12:00:00 AM,11/12/2019,11/12/2019,11/13/2019,11/19/2019,11/29/2019,12/04/2019,12/05/2019
2,G,6,11/06/2019 12:00:00 AM,11/16/2019,11/16/2019,11/18/2019,11/21/2019,12/06/2019,12/07/2019,12/12/2019
3,E,3,10/29/2019 12:00:00 AM,11/12/2019,11/13/2019,11/15/2019,11/19/2019,11/30/2019,12/03/2019,12/06/2019
13,A,3,10/30/2019 12:00:00 AM,11/12/2019,11/16/2019,11/20/2019,11/25/2019,12/03/2019,12/07/2019,12/11/2019
8,B,2,10/29/2019 12:00:00 AM,11/12/2019,11/13/2019,11/14/2019,11/19/2019,11/29/2019,12/02/2019,12/04/2019
13,J,1,10/28/2019 12:00:00 AM,11/11/2019,11/11/2019,11/12/2019,11/20/2019,11/29/2019,12/03/2019,12/04/2019
7,E,3,10/29/2019 12:00:00 AM,11/14/2019,11/14/2019,11/15/2019,11/19/2019,12/02/2019,12/02/2019,12/05/2019
1,E,3,10/29/2019 12:00:00 AM,11/13/2019,11/13/2019,11/14/2019,11/20/2019,11/30/2019,11/30/2019,12/02/2019
2,D,3,10/29/2019 12:00:00 AM,11/12/2019,11/12/2019,11/13/2019,11/18/2019,11/30/2019,12/03/2019,12/04/2019
5,A,1,10/28/2019 12:00:00 AM,11/11/2019,11/11/2019,11/12/2019,11/19/2019,11/29/2019,12/02/2019,12/04/2019
4,E,4,10/31/2019 12:00:00 AM,11/16/2019,11/16/2019,11/19/2019,11/20/2019,12/05/2019,12/05/2019,12/05/2019
5,B,4,10/29/2019 12:00:00 AM,11/16/2019,11/16/2019,11/18/2019,11/20/2019,12/02/2019,12/06/2019,12/12/2019
7,H,5,10/29/2019 12:00:00 AM,11/19/2019,11/19/2019,11/20/2019,11/20/2019,12/04/2019,12/07/2019,12/12/2019
2,E,4,10/29/2019 12:00:00 AM,11/13/2019,11/13/2019,11/15/2019,11/20/2019,12/02/2019,12/04/2019,12/06/2019
8,A,3,10/30/2019 12:00:00 AM,11/14/2019,11/14/2019,11/16/2019,11/19/2019,11/30/2019,12/05/2019,12/06/2019
