ENUMBER,CEQR_NUM,the_geom,ULURP_NUM,BOROCODE,TAXBLOCK,TAXLOT,BBL
E-216,07DCP078M,POINT (-73.97957843771438 40.725381213818366),080397ZMM,1,391,51,1003910051
E-216,07DCP078M,POINT (-73.97913550055047 40.7263053349333),080397ZMM,1,392,16,1003920016
E-216,07DCP078M,POINT (-73.97791474992931 40.72582574559831),080397ZMM,1,392,32,1003920032
E-216,07DCP078M,POINT (-73.97803752055535 40.7256574927562),080397ZMM,1,392,35,1003920035
E-216,07DCP078M,POINT (-73.97827614875865 40.72564342344647),080397ZMM,1,392,39,1003920039
E-216,07DCP078M,POINT (-73.97835513150451 40.72567666710535),080397ZMM,1,392,40,1003920040
E-216,07DCP078M,POINT (-73.97860158014133 40.725780847136),080397ZMM,1,392,43,1003920043
E-216,07DCP078M,POINT (-73.9791715150407 40.727105320266816),080397ZMM,1,393,9,1003930009
E-216,07DCP078M,POINT (-73.97922440257044 40.72682087977278),080397ZMM,1,393,59,1003930059
E-216,07DCP078M,POINT (-73.97934246408752 40.7268706073051),080397ZMM,1,393,61,1003930061
E-216,07DCP078M,POINT (-73.97768553148079 40.72729899257894),080397ZMM,1,394,28,1003940028
E-216,07DCP078M,POINT (-73.97741329170286 40.727184513637745),080397ZMM,1,394,32,1003940032
E-216,07DCP078M,POINT (-73.97725392470356 40.72711749881372),080397ZMM,1,394,34,1003940034
E-216,07DCP078M,POINT (-73.98481126855667 40.72234151471081),080397ZMM,1,397,19,1003970019
E-216,07DCP078M,POINT (-73.98424323673754 40.72210260885666),080397ZMM,1,397,27,1003970027
E-216,07DCP078M,POINT (-73.98325131963226 40.72266504050153),080397ZMM,1,398,29,1003980029
E-216,07DCP078M,POINT (-73.98342404861685 40.72242757504765),080397ZMM,1,398,34,1003980034
E-216,07DCP078M,POINT (-73.98405940273669 40.72253543053027),080397ZMM,1,398,45,1003980045
E-216,07DCP078M,POINT (-73.98459379973366 40.72393887324359),080397ZMM,1,399,8,1003990008
E-216,07DCP078M,POINT (-73.98416357671775 40.72362001387836),080397ZMM,1,399,11,1003990011
E-216,07DCP078M,POINT (-73.98328344063106 40.72304750051269),080397ZMM,1,399,40,1003990040
E-216,07DCP078M,POINT (-73.98408484966073 40.723475709014224),080397ZMM,1,399,51,1003990051
E-216,07DCP078M,POINT (-73.98463415981581 40.72361944998685),080397ZMM,1,399,58,1003990058
E-216,07DCP078M,POINT (-73.98170398723404 40.72479063278877),080397ZMM,1,402,41,1004020041
E-216,07DCP078M,POINT (-73.98172954517962 40.724724323352504),080397ZMM,1,402,42,1004020042
E-216,07DCP078M,POINT (-73.98127596618201 40.728017833206415),080397ZMM,1,404,9,1004040009
E-216,07DCP078M,POINT (-73.98112804270146 40.72794897776932),080397ZMM,1,404,11,1004040011
