State,Year,Month,Period,Indicator,Data Value
MAINE,2018,July,Monthly,Number of Deaths,1168
MARYLAND,2018,July,Monthly,Number of Deaths,4064
MASSACHUSETTS,2018,July,Monthly,Number of Deaths,4665
MICHIGAN,2018,July,Monthly,Number of Deaths,7872
MINNESOTA,2018,July,Monthly,Number of Deaths,3596
MISSISSIPPI,2018,July,Monthly,Number of Deaths,2551
MISSOURI,2018,July,Monthly,Number of Deaths,4876
MONTANA,2018,July,Monthly,Number of Deaths,860
NEBRASKA,2018,July,Monthly,Number of Deaths,1330
NEVADA,2018,July,Monthly,Number of Deaths,2068
NEW HAMPSHIRE,2018,July,Monthly,Number of Deaths,1039
NEW JERSEY,2018,July,Monthly,Number of Deaths,6149
NEW MEXICO,2018,July,Monthly,Number of Deaths,1497
NEW YORK,2018,July,Monthly,Number of Deaths,12479
NORTH CAROLINA,2018,July,Monthly,Number of Deaths,7410
NORTH DAKOTA,2018,July,Monthly,Number of Deaths,512
OHIO,2018,July,Monthly,Number of Deaths,9817
OKLAHOMA,2018,July,Monthly,Number of Deaths,3141
OREGON,2018,July,Monthly,Number of Deaths,2863
PENNSYLVANIA,2018,July,Monthly,Number of Deaths,10463
RHODE ISLAND,2018,July,Monthly,Number of Deaths,808
SOUTH CAROLINA,2018,July,Monthly,Number of Deaths,4000
SOUTH DAKOTA,2018,July,Monthly,Number of Deaths,673
TENNESSEE,2018,July,Monthly,Number of Deaths,5795
TEXAS,2018,July,Monthly,Number of Deaths,15894
UTAH,2018,July,Monthly,Number of Deaths,1535
VERMONT,2018,July,Monthly,Number of Deaths,461
VIRGINIA,2018,July,Monthly,Number of Deaths,5490
WASHINGTON,2018,July,Monthly,Number of Deaths,4697
WEST VIRGINIA,2018,July,Monthly,Number of Deaths,1831
WISCONSIN,2018,July,Monthly,Number of Deaths,4330
WYOMING,2018,July,Monthly,Number of Deaths,429
PUERTO RICO,2018,July,Monthly,Number of Deaths,2389
ALABAMA,2018,August,Monthly,Number of Deaths,4271
ALASKA,2018,August,Monthly,Number of Deaths,400
ARIZONA,2018,August,Monthly,Number of Deaths,4619
ARKANSAS,2018,August,Monthly,Number of Deaths,2515
CALIFORNIA,2018,August,Monthly,Number of Deaths,21056
COLORADO,2018,August,Monthly,Number of Deaths,3170
CONNECTICUT,2018,August,Monthly,Number of Deaths,2465
DELAWARE,2018,August,Monthly,Number of Deaths,752
DISTRICT OF COLUMBIA,2018,August,Monthly,Number of Deaths,426
FLORIDA,2018,August,Monthly,Number of Deaths,16008
GEORGIA,2018,August,Monthly,Number of Deaths,6905
HAWAII,2018,August,Monthly,Number of Deaths,900
