the_geom,OBJECTID,TILE_NAME
"MULTIPOLYGON (((-97.375282383027 30.508019816858, -97.375282560984 30.496302307137, -97.396117449786 30.496301901304, -97.39611742559 30.508019356402, -97.375282383027 30.508019816858)))",519,EB42
"MULTIPOLYGON (((-97.916960962106 30.414269221847, -97.916961190249 30.402550353372, -97.937797162666 30.40255050476, -97.93779794953 30.414266594489, -97.916960962106 30.414269221847)))",1003,WZ34
"MULTIPOLYGON (((-98.021125620435 30.308801068953, -98.021125081456 30.297082471562, -98.041961646073 30.297082631839, -98.041962338624 30.308801186462, -98.021125620435 30.308801068953)))",1228,WU25
"MULTIPOLYGON (((-98.021136976222 30.636914820756, -98.021136434006 30.625196192367, -98.041970158752 30.625195029213, -98.041970854717 30.636913614834, -98.021136976222 30.636914820756)))",429,WU53
"MULTIPOLYGON (((-97.81279683906 30.496296156937, -97.812795382736 30.484579749451, -97.833624124086 30.484579824737, -97.833630494487 30.496296278117, -97.81279683906 30.496296156937)))",671,E41
"MULTIPOLYGON (((-97.64611840814 30.3791155536, -97.646117386308 30.36739876805, -97.666954849423 30.367399077399, -97.666954439626 30.379115780202, -97.64611840814 30.3791155536)))",938,N31
"MULTIPOLYGON (((-97.312778598715 30.261935578768, -97.3127784438 30.250217984699, -97.333607281482 30.250217819947, -97.333607589108 30.261935358181, -97.312778598715 30.261935578768)))",1794,EE21
"MULTIPOLYGON (((-97.521112864202 30.250216262382, -97.521112840958 30.238496506602, -97.541949157466 30.238498450533, -97.541948622605 30.250215388393, -97.521112864202 30.250216262382)))",1491,U20
"MULTIPOLYGON (((-97.875298109468 30.51973260171, -97.875297850936 30.508013615632, -97.896132170842 30.508014564819, -97.896131789351 30.519733490411, -97.875298109468 30.51973260171)))",514,B43
"MULTIPOLYGON (((-98.021123877564 30.203336835135, -98.021123339389 30.191618329199, -98.041960106369 30.191618903102, -98.041960006755 30.203337352112, -98.021123877564 30.203336835135)))",2072,WU16
"MULTIPOLYGON (((-98.187792961224 30.226772793454, -98.187791990221 30.215054609062, -98.208629225157 30.215055486824, -98.208628766671 30.226773605211, -98.187792961224 30.226772793454)))",1549,WL18
"MULTIPOLYGON (((-97.958636044974 30.672068195481, -97.958635896108 30.660352205064, -97.979470350103 30.660350036479, -97.979469789954 30.672068717474, -97.958636044974 30.672068195481)))",359,WX56
"MULTIPOLYGON (((-97.375282206521 30.425991729591, -97.375282383312 30.414274229319, -97.396118574162 30.414274260513, -97.396118551159 30.425991706163, -97.375282206521 30.425991729591)))",826,EB35
"MULTIPOLYGON (((-97.500283536689 30.226779781022, -97.50028366756 30.215059994745, -97.521112715473 30.215059777117, -97.521112737683 30.22677951018, -97.500283536689 30.226779781022)))",1662,V18
"MULTIPOLYGON (((-97.354449664967 30.613483269531, -97.354449995741 30.601765727906, -97.37528397258 30.601765402152, -97.375283711123 30.613485637428, -97.354449664967 30.613483269531)))",29,EC51
"MULTIPOLYGON (((-97.500286525844 30.472864233042, -97.500285782603 30.461147046755, -97.521123598714 30.461145851398, -97.521122909185 30.472862950478, -97.500286525844 30.472864233042)))",569,V39
"MULTIPOLYGON (((-97.500289322614 30.63692104376, -97.500288657679 30.625201141245, -97.521122992467 30.625201839846, -97.521123096394 30.636918923795, -97.500289322614 30.63692104376)))",5,V53
