PRE DIR,PRE TYPE,STREET NAME,STREET TYPE,STATUS
,,GAYLOR,ST,ACTIVE
,,GAULT,ST,ACTIVE
,,GARWOOD,ST,ACTIVE
,,GARRETT,ST,ACTIVE
,,HARMONY HILL,ST,ACTIVE
,,HARGRAVE,ST,ACTIVE
,,HARDEMAN,ST,ACTIVE
,,HAMPTON,ST,ACTIVE
,,HALL,ST,ACTIVE
,,HALL,ST,ACTIVE
,,HALL,ST,ACTIVE
,,HACKBERRY,ST,ACTIVE
,,GUNTER,ST,ACTIVE
,,GARNETT,ST,ACTIVE
,,GARDEN,ST,ACTIVE
,,GALWAY,ST,ACTIVE
,,GALLANT,ST,ACTIVE
,,GALINDO,ST,ACTIVE
,,FUNSTON,ST,ACTIVE
,,FRUTH,ST,ACTIVE
,,FORT FRONT,ST,ACTIVE
,,GRANT,ST,ACTIVE
,,GRANDVIEW,ST,ACTIVE
,,GRAND,ST,ACTIVE
,,GRAHAM,ST,ACTIVE
,,GOWER,ST,ACTIVE
,,GORHAM,ST,ACTIVE
,,GONZALES,ST,ACTIVE
,,ZENNIA,ST,ACTIVE
,,ZARAGOSA,ST,ACTIVE
,,YORKSHIRE,ST,ACTIVE
,,YELLOW OAK,ST,ACTIVE
,,YALE,ST,ACTIVE
,,WRIGHT,ST,ACTIVE
,,WOODWARD,ST,ACTIVE
,,WOOTEN,ST,ACTIVE
,,ABRAHAM LINCOLN,ST,ACTIVE
,,ACANTHUS,ST,ACTIVE
,,ADINA,ST,ACTIVE
,,3RD,ST,ACTIVE
,,4TH,ST,ACTIVE
,,5TH,ST,ACTIVE
,,6TH,ST,ACTIVE
,,6TH,ST,ACTIVE
,,7TH,ST,ACTIVE
,,7TH,ST,ACTIVE
,,8TH,ST,ACTIVE
S,,9TH,ST,ACTIVE
S,,10TH,ST,ACTIVE
S,,11TH,ST,ACTIVE
S,,12TH,ST,ACTIVE
,,1ST,ST,ACTIVE
,,1ST,ST,ACTIVE
,,1ST,ST,ACTIVE
,,2ND,ST,ACTIVE
,,2ND,ST,ACTIVE
,,FLORES,ST,ACTIVE
,,GOLDEN EAGLE,ST,ACTIVE
,,FREDERICK,ST,ACTIVE
,,HARVEY,ST,ACTIVE
,,HARVARD,ST,ACTIVE
,,HARTHAN,ST,ACTIVE
,,GULLETT,ST,ACTIVE
,,GUADALUPE,ST,ACTIVE
,,GROOMS,ST,ACTIVE
,,GRIFFITH,ST,ACTIVE
,,GREGORY,ST,ACTIVE
,,GREGG,ST,ACTIVE
,,GREENOCK,ST,ACTIVE
,,FRANCISCO,ST,ACTIVE
,,CRUZ,ST,ACTIVE
,,CROSS,ST,ACTIVE
,,CROCKETT,ST,ACTIVE
,,CHROMITE,ST,ACTIVE
,,CHINA,ST,ACTIVE
,,CHICO,ST,ACTIVE
,,CHEYENNE,ST,ACTIVE
,,BRIARWOOD,ST,ACTIVE
,,BRIGHTSIDE,ST,ACTIVE
,,BROADVIEW,ST,ACTIVE
,,BROCKMAN,ST,ACTIVE
,,ALFRED,ST,ACTIVE
,,ALGREG,ST,ACTIVE
,,ALLEN,ST,ACTIVE
,,AMBER,ST,ACTIVE
,,ANGELINA,ST,ACTIVE
,,ANNA,ST,ACTIVE
,,BRAES VALLEY,ST,ACTIVE
,,BRANCH,ST,ACTIVE
,,BRASSIE,ST,ACTIVE
,,CANION,ST,ACTIVE
,,CALLE,ST,ACTIVE
,,CANEY,ST,ACTIVE
,,CLOVIS,ST,ACTIVE
,,COGBILL,ST,ACTIVE
,,COLE,ST,ACTIVE
,,COLE,ST,ACTIVE
,,COLEBROOK,ST,ACTIVE
,,COLEMAN,ST,ACTIVE
,,COLETO,ST,ACTIVE
,,COLLEGE,ST,ACTIVE
,,COLLIER,ST,ACTIVE
