Item Number,Product Name,CityStore Exclusive,Unit Price,Color,Size,Style,Category Name,Description
22140,NYC Skyline Necklace,No,47.00,,,,Jewelry,"Take home a piece of the Big Apple. NYC Skyline, created by Michele Benjamin, was commissioned by New York CityStore and featured at New York Fashion Week. The design depicts from left to right, Brooklyn Bridge, Statue of Liberty, Freedom Tower, Empire State Building, Chrysler Building and Citicorp.  The design appears on front and back.  It measures 1 1/2 inches high by 1 inch wide by 1/8 inch deep. Showcased on an 18 inch long White Brass 2.3mm Rolo link chain attached via rings, (festoon style) with lobster clasp closure.  Bag & gift box included.    Care Instructions: Store jewelry in the velveteen pouch provided with your order. Remove jewelry prior to bathing, exercising, cleaning, swimming, gardening, and applying hair and body products. Do not use abrasives to clean. Jewelry can be cleaned with soft cloth and silver cleaner only.  Made in New York."
04252,NYC Frenchie Tote,No,22.00,,,,Accessories,"Canvas tote, graphic of Frenchie Dog drawn by hand and hand-printed with eco-friendly ink.     Dimensions 14.5x 15 inches.     ."
04252,NYC Frenchie Tote,No,22.00,,,,Reusable,"Canvas tote, graphic of Frenchie Dog drawn by hand and hand-printed with eco-friendly ink.     Dimensions 14.5x 15 inches.     ."
08164,Kid Pizza Socks,No,9.00,,10-1,,NYC Kids,"Kid pizza socks! Fits kid  ages 4-7 years old, shoe size 10 - 1. 65% cotton, 15% nylon, 15% polyester and 5% spandex."
08164,Kid Pizza Socks,No,9.00,,10-1,,New York Socks,"Kid pizza socks! Fits kid  ages 4-7 years old, shoe size 10 - 1. 65% cotton, 15% nylon, 15% polyester and 5% spandex."
08165,Kid Popcorn Socks,No,9.00,,10-1,,NYC Kids,"Kid popcorn socks! Fits kid  ages 4-7 years old, shoe size 10 - 1. 65% cotton, 15% nylon, 15% polyester and 5% spandex."
08165,Kid Popcorn Socks,No,9.00,,10-1,,New York Socks,"Kid popcorn socks! Fits kid  ages 4-7 years old, shoe size 10 - 1. 65% cotton, 15% nylon, 15% polyester and 5% spandex."
09747,Civic Pioneers,No,17.00,,,,History,"At the turn of the 20th century, when industrialization, urbanization, and immigration were radically changing the face of America, an activist government was taking root across the nation.  Innovative public servants fought to meet the needs of ordinary people who didn t have access to the benefits afforded by wealth and power. From a lonely champion of Native American children in Oklahoma to a postal clerk turned police chief in Berkeley, Civic Pioneers: Local Stories from a Changing America, 1895-1915 tells the dramatic tales of how these individuals, both heroic and flawed, shaped the country for generations to come.  Paperback, 256 pages & published April 2019."
04253,Grand Central Clock Socks,No,18.00,,Mens (9 - 13),,25 for under $25,"New York s Most Famous Clock, atop the information booth in Grand Central Terminal is not just a clock it is a beautiful work of art.   75% Cotton / 24% Nylon / 1% Spandex.  Men size 9-13."
04253,Grand Central Clock Socks,No,18.00,,Mens (9 - 13),,New York Socks,"New York s Most Famous Clock, atop the information booth in Grand Central Terminal is not just a clock it is a beautiful work of art.   75% Cotton / 24% Nylon / 1% Spandex.  Men size 9-13."
09728,Freddie Ramos Rules New York,No,5.00,,,,City Kids,"Freddie and his mom are visiting Uncle Jorge in New York City! Just before they leave, Mr. Vaslov gives Freddie a new pair of zapatos to replace the ones that were getting too small. But Freddie worries if his new zapatos will work as well as his old ones. Will Freddie be able to save the day when Uncle Jorge misplaces an engagement ring in the middle of a New York City traffic jam?  Paperback, 96 pages and published October 2017.  Recommended for Children 6   10 years old."
08162,Kid Subway Map Socks,No,9.00,,Kids (3 - 7),,NYC Kids,"Massimo Vignelli s subway diagram is a hallmark of modernist elegance, distilling New York s huge, complicated transit system into a sequence of straight lines, rainbow colors and black dots. New York City s official subway map from 1972 to 1979, the diagram remains iconic in the design world.    70% Cotton/29% Nylon/1% Spandex.  Fit kid Sizes 3   7."
08162,Kid Subway Map Socks,No,9.00,,Kids (3 - 7),,New York Socks,"Massimo Vignelli s subway diagram is a hallmark of modernist elegance, distilling New York s huge, complicated transit system into a sequence of straight lines, rainbow colors and black dots. New York City s official subway map from 1972 to 1979, the diagram remains iconic in the design world.    70% Cotton/29% Nylon/1% Spandex.  Fit kid Sizes 3   7."
08163,Kid Subway Line Socks,No,9.00,,Kids (3 - 7),,NYC Kids,"Before 1967, the New York City subway map was color-coded according to the three divisions: Brooklyn Rapid Transit (BRT), Interborough Rapid Transit (IRT), and the Independent Subway (IND). In 1967, each line was given its own color, and in 1979, the current color code was introduced, grouping trains into logical families by main line.  70% Cotton/29% Nylon/1% Spandex.  Fit kid Sizes 3   7."
08163,Kid Subway Line Socks,No,9.00,,Kids (3 - 7),,New York Socks,"Before 1967, the New York City subway map was color-coded according to the three divisions: Brooklyn Rapid Transit (BRT), Interborough Rapid Transit (IRT), and the Independent Subway (IND). In 1967, each line was given its own color, and in 1979, the current color code was introduced, grouping trains into logical families by main line.  70% Cotton/29% Nylon/1% Spandex.  Fit kid Sizes 3   7."
08166,Assorted Baby Rattle Socks,No,24.00,,,Taxi,NYC Kids,"Two pairs of baby socks in a gift box. Featuring a rattle attachment that aids in developing sensory skills for infants with sound and touch. The perfect baby shower gift for a baby.  Features non-slip gripper on bottom, machine wash cold, tumble dry low and cotton Blend."
08166,Assorted Baby Rattle Socks,No,24.00,,,Taxi,New York Socks,"Two pairs of baby socks in a gift box. Featuring a rattle attachment that aids in developing sensory skills for infants with sound and touch. The perfect baby shower gift for a baby.  Features non-slip gripper on bottom, machine wash cold, tumble dry low and cotton Blend."
08166,Assorted Baby Rattle Socks,No,24.00,,,FDNY,NYC Kids,"Two pairs of baby socks in a gift box. Featuring a rattle attachment that aids in developing sensory skills for infants with sound and touch. The perfect baby shower gift for a baby.  Features non-slip gripper on bottom, machine wash cold, tumble dry low and cotton Blend."
08166,Assorted Baby Rattle Socks,No,24.00,,,FDNY,New York Socks,"Two pairs of baby socks in a gift box. Featuring a rattle attachment that aids in developing sensory skills for infants with sound and touch. The perfect baby shower gift for a baby.  Features non-slip gripper on bottom, machine wash cold, tumble dry low and cotton Blend."
19015,FDNY Dog Toy,No,15.00,,,,NYPD . FDNY . DSNY,"FDNY Dog toy made for dogs.  The plush body is detail with an FDNY patch and 8 inches with ball.  Squeaks for extra fun!  Material content 49% polyester, 49% rubber and 2% plastic."
