rank,name,revenue
875,Teradyne,1441
751,Terex,1813
335,Tesoro Petroleum,5218
955,Texas Industries,1252
236,Texas Instruments,8201
164,Textron,12321
522,Thermo Electron,2847
825,Thomas & Betts,1555
80,TIAA-CREF,24231
809,Tiffany,1607
997,Timberland,1184
598,Timken,2447
179,TJX,10709
870,TMP Worldwide,1448
644,Toll Brothers,2230
543,Torchmark,2707
911,Toro,1353
589,Tower Automotive,2467
175,Toys `R` Us,11019
897,Trans World Entertnmnt.,1388
334,TransMontaigne,5223
525,Transocean Sedco Forex,2820
713,TravelCenters of America,1935
548,Triad Hospitals,2670
333,Tribune,5253
267,Tricon Global Restrnts.,6953
510,Trigon Healthcare,2975
724,Trinity Industries,1904
984,Trump Hotels & Casino Resorts,1203
513,TruServ,2909
122,TRW,16383
58,TXU,27927
177,Tyson Foods,10751
121,U.S. Bancorp,16443
594,U.S. Industries,2453
125,UAL,16138
588,UGI,2468
511,Unified Western Grocers,2930
959,Union Central Life,1241
168,Union Pacific,11973
489,Union Planters Corp.,3144
872,Unisource Energy,1445
300,Unisys,6018
292,United Auto Group,6221
925,United Defense Industries,1319
55,United Parcel Service,30646
517,United Rentals,2887
422,United Stationers,3926
59,United Technologies,27897
84,UnitedHealth Group,23454
572,Unitrin,2534
503,Universal,3018
842,Universal Forest Prods.,1530
523,Universal Health Svcs.,2841
278,Unocal,6752
844,Unova,1529
205,UnumProvident,9435
626,URS,2319
234,US Airways Group,8288
854,US Oncology,1505
450,USA Education,3515
329,USA Networks,5285
215,USAA,8971
592,USFreightways,2459
472,USG,3296
804,UST,1633
138,Valero Energy,14988
721,Valspar,1921
628,Value City,2314
945,Varco International,1268
655,Vectren,2170
858,Veritas Software,1492
11,Verizon Communications,67190
320,VF,5519
85,Viacom,23223
794,Viad,1659
980,Viasystems Group,1207
798,Vishay Intertechnology,1655
114,Visteon,17843
697,Volt Info. Sciences,2001
502,Vulcan Materials,3019
710,W.R. Berkley,1942
767,W.R. Grace,1757
350,W.W. Grainger,4754
90,Wachovia Corp.,22396
529,Wackenhut,2809
1,Wal-Mart Stores,219812
78,Walgreen,24623
787,Wallace Computer Svcs.,1693
73,Walt Disney,25269
720,Walter Industries,1922
116,Washington Mutual,17692
606,Washington Post,2417
172,Waste Management,11322
961,Watsco,1239
623,Weatherford Intl.,2329
700,Weis Markets,1988
162,WellPoint Health Netwks.,12429
64,Wells Fargo,26891
611,Wendy's International,2391
943,Werner Enterprises,1271
444,Wesco International,3658
707,Western Digital,1954
467,Western Gas Resources,3355
651,Western Resources,2186
764,WestPoint Stevens,1765
140,Weyerhaeuser,14545
712,WGL Holdings,1940
186,Whirlpool,10343
633,Whole Foods Market,2272
369,Willamette Industries,4454
174,Williams,11055
676,Williams-Sonoma,2096
160,Winn-Dixie Stores,12903
420,Wisconsin Energy,3929
602,Wm. Wrigley Jr.,2430
843,World Fuel Services,1529
42,WorldCom,35179
745,Worthington Industries,1826
546,WPS Resources,2676
145,Wyeth,14129
671,Wyndham International,2105
137,Xcel Energy,15028
120,Xerox,16502
795,Xilinx,1659
951,XO Communications,1259
473,Yellow,3277
419,York International,3931
683,Zale,2068
692,Zions Bancorp,2011
