Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,07/08/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway,Racing,Harness,partly cloudy  70 degrees,PRECIOUS REVENGE,CARL M. CUMMINGS, ,Precious Revenge-Tr. Carl Cummings-hind lameness-scratched-rested & ok to race,Lameness
2009,07/09/2009,EQUINE DEATH,Belmont Park (NYRA),Training track,Training,Thoroughbred,Clear,Graceful Pose,PHILIP M. SERPE, ,Graceful Pose-Tr. Philip Serpe-RF cannon bone fx-euthanized,Euthanasia
2009,07/09/2009,FALL OF RIDER,Belmont Park (NYRA),Post parade,Racing,Thoroughbred,Clear,Orthodontist,SCOTT D. EVERETT, ,Orthodontist-Tr. Scott Everett-threw jockey in post parade-scratched-horse & rider ok,Accident
2009,07/10/2009,FALL OF RIDER,Belmont Park (NYRA),Main Track,Racing,Thoroughbred,Clear,Raceland,NEAL J. TERRACCIANO, ,Raceland-Neal Terracciano-Jockey Rudy Rodriguez-horse & rider appear ok, 
2009,07/10/2009,RACING INCIDENT,Belmont Park (NYRA),3/8 pole,Racing,Thoroughbred,Clear,Daredevil's Joy,DAVID P. HENRIQUES, ,Daredevil's Joy-Tr. David Henriques-taken off track by ambulance-both horse & rider ok,Steward's List
2009,07/10/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Finish,Racing,Thoroughbred,Clear,Slick Wheelie,BRUCE R. BROWN, ,Slick Wheelie-Tr. Bruce Brown-torn LF suspensory-stall/farm rest,Lameness
2009,07/10/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway,Racing,Harness,clear and 80 degrees,SCOOTERSLASTCHAMP,NEAL RUSSO, ,Scooterslastchamp-Tr. Neal Russo-lame-front foot-scratched-rested,Lameness
2009,07/11/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct barn 12A,Other,Thoroughbred,Clear,Buea Walnut,OSVALDO ROJAS, ,Buea Walnut-Tr. Osvaldo Rojas-Internal bleeding,Equine Death
2009,07/12/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,ALIE'S GALAXY,JAMES T. WRIGHT, ,Alie's Galaxy-Tr. James Wright-flipped in paddock-severe head trauma-euthanized,Euthanasia
2009,07/12/2009,FALL OF RIDER,Belmont Park (NYRA),Track,Racing,Thoroughbred,Clear,Niki All,GARY J. SCIACCA, ,Niki All-Tr. Gary Sciacca-Unseated Rider-Both horse & rider OK  no injuries,Accident
2009,07/12/2009,RACING INCIDENT,Belmont Park (NYRA),Turf Track,Racing,Thoroughbred,Sunny,Intrepid,RICHARD E. DUTROW JR, ,Intrepid-Tr. Richard Dutrow- Pulled up-ambulanced off-no injury to horse, 
2009,07/13/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES RACE TRACK,Racing,Thoroughbred,Sunny,TOP OF THE SEVENS,CHRISTOPHER J. ENGLEHART, ,Top of the Sevens-Tr. C. Englehart-fx LF leg-euthanized,Euthanasia
2009,07/14/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 Pole,Other,Thoroughbred,Clear,Coris Star,DAVID JACOBSON, ,Coris Star-Tr. David Jacobson-got loose-fx R humerus-euthanized,Equine Death
2009,07/14/2009,EQUINE DEATH,Saratoga Racecourse (NYRA),Saratoga Training Track,Training,Thoroughbred,Clear,Aqueous,WILLIAM T. PHIPPS, ,Aqueous-Tr. William Phipps-Fx LFM sesamoid-Euthanized,Euthanasia
2009,07/16/2009,ACCIDENT - ON TRACK,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness,Overcast/Hot,J Grayson, , ,J Grayson-Tr. Carl Wellman-jumped shadow-interference-several riders unseated-no injuries to any horses, 
2009,07/16/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,MR,Racing,Harness, ,Super Precious,BRIAN A. O'NEILL, ,Super Precious-Tr. Brian O'Neill-LF Lameness-Scratched,Lameness
2009,07/17/2009,EQUINE DEATH,Belmont Park (NYRA),Main track,Training,Thoroughbred,Clear,Iron Curtain,STEVE N. KLESARIS, ,Iron Curtain-Tr. Steve Klesaris-Fx both F sesamoids-Euthanized,Euthanasia
2009,07/17/2009,RACING INCIDENT,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,CLEVER MUSE,RAMON A. VAZQUEZ SR, ,Clever Muse-Tr. Ramon Vazquez- reared at start-pulled up-horse ok, 
2009,07/17/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello,Racing,Harness,Cloudy,Match That,BRIAN A. O'NEILL, ,Match-Tr. Brian O'Neill- That scratched,Lameness
2009,07/18/2009,STEWARDS/VETS LIST,Buffalo Raceway,Buffalo Raceway,Racing,Harness,partly cloudy and 68 degrees,Pro Bono Frank,CLINTON G. GALBRAITH, ,Pro Bono Frank-Tr. Clinton Galbraith-lame LF fetlock-infected cut-farm for treatment & recovery,Lameness
2009,07/19/2009,RACING INJURY,Belmont Park (NYRA),After finish of 9th.race.,Racing,Thoroughbred,Cloudy,Hello Broadway,BARCLAY TAGG, ,Hello Broadway-Tr. Barclay Tagg- fx left front foot-retired to stud,Injury
2009,07/20/2009,STEWARDS/VETS LIST,Tioga Downs,Tioga Downs Paddock,Racing,Harness,Clear,Western Mac,DEAN M. ECKLEY, ,Western Mac-Tr. Dean Eckley-LF leg lameness-scratched-turned out to pasture,Lameness
2009,07/21/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Stable area,Other,Thoroughbred,Sunny,Snipe,RICHARD A. VIOLETTE JR, ,Snipe-Tr. Richard Violette-died of bleeding as result of pelvic fx-accident after running loose,Equine Death
2009,07/21/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,FIRE WAGON,GLENROY B. BROWN, ,Fire Wagon-Tr. Glenroy Brown-Fx L 3rd carpal bone-euthanized,Euthanasia
2009,07/21/2009,FALL OF HORSE,Yonkers Raceway,After entering track ramp,Racing,Harness,Rainy 70 degrees,DEMPSEY,LAURIE A. WHITTEMORE, ,Dempsey-Tr. Laurie Whittemore-fell in warm-up-scratched,Injury
2009,07/22/2009,EQUINE DEATH,Belmont Park (NYRA),Stall / Barn,Other,Thoroughbred, ,Daimons Glory,HARRY A. JERKENS, ,Daimons Glory-Tr. Harry Jerkens-R Hock infection-euthanized,Euthanasia
2009,07/22/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,EVALUATOR,OSCAR S. BARRERA JR, ,Evaluator-Tr.Oscar Barrera  Jr.-LM sesamoid fx-euthanized,Euthanasia
2009,07/23/2009,EQUINE DEATH,Saratoga Gaming & Raceway,Saratoga Gaming Raceway,Other,Harness, ,Chelemark Porter,CYNTHIA A. MILANO, ,Chelemark Porter-Tr. Cynthia Milano-Horse died-high fever-reason unknown-owner waived autopsy,Equine Death
2009,07/23/2009,FALL OF RIDER,Belmont Park (NYRA),Start,Racing,Thoroughbred,Light rain,Il Senatore,DOMINICK L. SCHETTINO, ,Il Senatore-Tr. Dominick Schettino-Stumbled after start-unseated rider-horse & rider ok,Accident
2009,07/23/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),1/2/ mi. pole,Racing,Thoroughbred,Showers,Ship of Fools,LUIS A. CHIARI, ,Ship of Fools-Tr. Luis Chiari-pulled up-ambulanced off-no injury found,Lameness
2009,07/24/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Training,Thoroughbred, ,THAT'S A GIVEN,CHRISTOPHER J. ENGLEHART, ,That's a Given-Tr. Christopher Englehart-Fx RFM sesamoid-euthanized,Euthanasia
2009,07/24/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),After the finish,Racing,Thoroughbred,Clear,Royal Straight Flush,PATRICK J. KELLY, ,Royal Straight Flush-Tr. Patrick Kelly-suffered heat frustration-cooled down-no injury, 
2009,07/24/2009,STEWARDS/VETS LIST,Belmont Park (NYRA),Paddock,Racing,Thoroughbred,Clear,Boxitup,THOMAS M. BUSH, ,Boxitup-Tr. Thomas Bush-flipped in Paddock-scratched-minor lacerations-horse doing fine,Injury
2009,07/24/2009,STEWARDS/VETS LIST,Yonkers Raceway,Main Track,Racing,Harness,cloudy 77,Tawny Reserve N,CHRISTOPHER S. CARRUBBA, ,Tawny Reserve N-Tr. Chris Carrubba-RF lameness-scratched,Lameness
2009,07/25/2009,EQUINE DEATH,Belmont Park (NYRA),Sixteength Pole,Training,Thoroughbred,Clear,Ramblin Boy,NICHOLAS P. ZITO, ,Ramblin Boy-Tr. Nick Zito-LF leg fx-euthanized,Equine Death
