the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.691604669033 30.462203907987),300,302,,,,,,,15429 FM 1325 RD,80
POINT (-97.781555622986 30.244344055051),5,201,,,,,,,2800 S LAMAR BLVD,0
POINT (-97.729188304455 30.277245988924),260,263,,,,,,BP-00-4188Q,1617 N IH 35 SVRD NB,0
POINT (-97.749553885561 30.396249319811),484,372,,,,,,BP-02-3135A,10201 JOLLYVILLE RD,80
POINT (-97.821218086487 30.174067164102),399,519,,,,,,SP-01-0342CS,9615 1/2 MANCHACA RD,120
POINT (-97.567355217385 30.459231276111),348,91,,,,,,,3701 KELLY LN,0
POINT (-97.72886535436 30.388742661779),137,495,,,,,,,3309  W BRAKER LN,0
POINT (-97.708383397922 30.330872919863),529,58,,,,,,,505 E HUNTLAND DR,0
POINT (-97.711368092482 30.216691998323),4,527,,,,,,,2706 MONTOPOLIS DR,0
POINT (-97.739729716475 30.311394156447),28,521,,,,,,SPX 5/24/99,4300 N LAMAR BLVD,100
POINT (-97.683432233519 30.43193907813),333,333,,,,,,,13804 DRAGLINE DR,120
POINT (-97.793608607664 30.308970979563),70,426,,,,,,SPX 11/1/96,1800 MOUNT LARSON RD,0
POINT (-97.705295037526 30.319197880597),2,199,,,,,,,5901 N IH 35 SBRD NB,0
POINT (-97.802415087869 30.274444794563),243,246,,,,,,SPX-04-0612,3345 BEE CAVES RD,0
POINT (-97.744355556983 30.401303459336),154,510,,,,,,,4601 HAMILTON LN,0
POINT (-97.729190463082 30.413928878048),121,35,,,,,,,11988 DORSETT RD,0
POINT (-98.055168869979 30.357962417727),153,509,,,,,,,4501 BOB WIRE RD,0
POINT (-97.765134131725 30.478351326744),510,398,,,,,,SP-03-0359CS,9234 1/2 W PARMER LN,120
POINT (-97.739744637376 30.270628607836),377,117,,,,,,,206 E 9TH ST,0
POINT (-97.8327541847 30.233579496471),317,317,,,,,,SP-99-2184CS,4400 STAGGERBRUSH RD,160
POINT (-97.711606439406 30.309918097584),521,51,,,,,,SP-01-0184CS,5012 1/2 N IH 35 SVRD SB,50
POINT (-97.734756341853 30.269715309992),257,260,,,,,,,625 E 10TH ST,0
POINT (-97.753378655452 30.271739867932),181,18,,,,,,SPX 9/28/95,601 N LAMAR BLVD,100
POINT (-97.806597749418 30.208513526452),229,232,,,,,,,6400 MANCHACA RD,100
POINT (-97.843294384193 30.399627149122),109,471,,,,,,SPX 10/29/99,7319 RIVER PLACE BLVD,120
POINT (-97.843812556556 30.390402101368),507,396,,,,,,SP-01-0441CS,6600 SITIO DEL RIO BLVD,0
POINT (-97.738984733521 30.372675466002),150,39,,,,,,,8611 N MOPAC EXPY,0
POINT (-97.755717106498 30.319486233865),385,136,,,,,,,4331 N MOPAC EXPY NB,0
POINT (-97.614192384633 30.310459243122),537,65,,,,,,SP-01-0436CS,8501 1/2 DECKER LN,420
POINT (-97.712691720082 30.306655829377),296,299,,,,,,BP-00-6693Q,4812 N IH 35 SVRD SB,75
POINT (-97.866502792042 30.292499062659),100,456,03/19/2010 12:00:00 AM +0000,Oneillt,03/19/2010 12:00:00 AM +0000,Oneillt,,,8634 1/2 Chalk Knoll Dr,
POINT (-97.764082143732 30.224913049025),98,454,,,,,,C14P-74-052,3813 WADFORD ST,0
POINT (-97.744371963657 30.368588727073),271,274,,,,,,,8176  N MOPAC EXPY SB,75
POINT (-97.724476340879 30.368024373165),187,24,,,,,,SPX 6/5/97,2100 POLARIS AVE,60
POINT (-97.714526574759 30.355907657034),495,385,,,,,,,8222 JAMESTOWN DR,100
