Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2019†","Hemolytic uremic snydrome post-diarrheal, Cum 2019†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis A, acute, Cum 2019†","Hepatitis A, acute, Cum 2019†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag","Hepatitis B, acute, Cum 2019†","Hepatitis B, acute, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WASHINGTON,2020,12,,N,,NC,,N,,N,,-,17,,104,,11,,,-,3,,3,,7,,WASHINGTON,,20201262,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,12,,-,1,,,-,,-,,-,19,,42,,182,,,-,5,,15,,31,,,NEW ENGLAND,20201202,
RHODE ISLAND,2020,12,,-,0,,,-,,-,,-,2,,2,,3,,,U,,NC,,U,,U,RHODE ISLAND,,20201207,POINT (-71.534637 41.572574)
OREGON,2020,12,,-,2,,,-,1,,,-,2,,4,,5,,,-,2,,4,,3,,OREGON,,20201261,POINT (-120.605279 43.940449)
DELAWARE,2020,12,,-,0,,,-,,-,,-,4,,5,,3,,,-,2,,1,,6,,DELAWARE,,20201229,POINT (-75.452394 38.994926)
ALABAMA,2020,12,,-,2,,,-,1,,6,,20,,131,,31,,,-,4,,9,,21,,ALABAMA,,20201239,POINT (-86.844516 32.756889)
KANSAS,2020,12,,-,1,,,-,1,,,-,2,,,-,2,,,-,1,,,-,5,,KANSAS,,20201222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,12,,-,1,,,-,1,,,-,10,,33,,26,,,-,7,,14,,53,,NORTH CAROLINA,,20201234,POINT (-79.130883 35.52603)
GUAM,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201266,POINT (144.653198 13.3532)
NEW JERSEY,2020,12,,-,0,,,-,,-,,-,23,,36,,100,,,-,5,,,-,15,,NEW JERSEY,,20201210,POINT (-74.655514 40.110253)
NEW MEXICO,2020,12,,-,1,,,-,,-,,-,8,,2,,45,,,-,1,,,-,2,,NEW MEXICO,,20201254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,12,,-,4,,,-,3,,1,,145,,141,,1271,,,-,41,,39,,117,,,EAST NORTH CENTRAL,20201214,
TENNESSEE,2020,12,,-,2,,3,,1,,5,,83,,143,,426,,2,,9,,35,,50,,TENNESSEE,,20201242,POINT (-86.343226 35.842998)
CONNECTICUT,2020,12,,-,1,,,-,,-,,-,3,,6,,6,,,-,0,,,-,3,,CONNECTICUT,,20201203,POINT (-72.738288 41.575155)
MARYLAND,2020,12,,-,1,,2,,,-,2,,7,,47,,23,,1,,3,,9,,3,,MARYLAND,,20201233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,12,,-,0,,,-,,-,2,,32,,127,,34,,,-,4,,13,,9,,SOUTH CAROLINA,,20201235,POINT (-80.864614 33.878572)
OKLAHOMA,2020,12,,-,3,,,-,,-,,-,5,,2,,,-,,-,5,,1,,,-,OKLAHOMA,,20201246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201265,POINT (145.725693 15.1834)
OHIO,2020,12,,-,1,,,-,1,,1,,68,,83,,800,,,-,29,,28,,65,,OHIO,,20201218,POINT (-82.70936 40.415534)
MINNESOTA,2020,12,,-,0,,,-,,-,,-,6,,25,,7,,,-,2,,,-,2,,MINNESOTA,,20201223,POINT (-94.198308 46.349153)
LOUISIANA,2020,12,,-,1,,,-,1,,,-,39,,87,,53,,,-,4,,11,,14,,LOUISIANA,,20201245,POINT (-91.840238 30.921314)
HAWAII,2020,12,,-,0,,,-,,-,,-,1,,1,,1,,,-,1,,3,,,-,HAWAII,,20201260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,12,,-,4,,5,,2,,13,,151,,679,,1111,,1,,37,,104,,265,,,SOUTH ATLANTIC,20201228,
PENNSYLVANIA,2020,12,,-,4,,1,,,-,2,,43,,67,,47,,,-,5,,10,,15,,PENNSYLVANIA,,20201213,POINT (-77.838886 40.896694)
UTAH,2020,12,,-,2,,,-,1,,,-,2,,3,,6,,,-,3,,,-,5,,UTAH,,20201255,POINT (-111.678222 39.323779)
COLORADO,2020,12,,-,3,,,-,,-,1,,18,,34,,26,,,-,1,,1,,5,,COLORADO,,20201250,POINT (-105.547832 38.998552)
VERMONT,2020,12,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,2,,VERMONT,,20201208,POINT (-72.662695 44.075252)
KENTUCKY,2020,12,,-,2,,,-,1,,,-,48,,15,,766,,,-,7,,35,,50,,KENTUCKY,,20201240,POINT (-85.290484 37.526683)
PUERTO RICO,2020,12,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201267,POINT (-66.414655 18.215692)
MAINE,2020,12,,-,1,,,-,,-,,-,6,,9,,5,,,-,4,,9,,16,,MAINE,,20201204,POINT (-69.06137 45.117911)
VIRGINIA,2020,12,,-,2,,,-,,-,2,,16,,63,,36,,,-,5,,4,,6,,VIRGINIA,,20201236,POINT (-78.666382 37.510861)
ARIZONA,2020,12,,-,2,,1,,1,,,-,30,,23,,147,,,-,2,,6,,6,,ARIZONA,,20201249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,12,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201264,
WISCONSIN,2020,12,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,,-,4,,WISCONSIN,,20201219,POINT (-89.732969 44.639954)
IDAHO,2020,12,,-,1,,,-,,-,,-,8,,3,,12,,,-,1,,,-,2,,IDAHO,,20201251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201268,POINT (-64.840836 18.060868)
MICHIGAN,2020,12,,-,2,,,-,1,,,-,4,,3,,21,,,-,3,,3,,15,,MICHIGAN,,20201217,POINT (-85.730977 44.874798)
GEORGIA,2020,12,,-,2,,1,,,-,6,,30,,131,,125,,,-,5,,7,,27,,GEORGIA,,20201232,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,12,,-,1,,,-,,-,1,,5,,16,,23,,,-,4,,13,,9,,,NEW YORK CITY,20201212,
ARKANSAS,2020,12,,-,2,,,-,1,,,-,9,,32,,55,,,-,5,,10,,6,,ARKANSAS,,20201244,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,12,,-,0,,,-,,-,3,,9,,70,,3,,1,,4,,13,,7,,MISSISSIPPI,,20201241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,12,,-,2,,,-,,-,,-,1,,1,,2,,,-,1,,,-,1,,SOUTH DAKOTA,,20201227,POINT (-100.230491 44.43614)
WYOMING,2020,12,,-,0,,,-,,-,,-,3,,1,,1,,,-,0,,,-,3,,WYOMING,,20201256,POINT (-107.55145 42.999627)
MISSOURI,2020,12,,-,2,,,-,,-,3,,16,,75,,36,,,-,4,,2,,7,,MISSOURI,,20201224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,12,,-,4,,1,,,-,7,,76,,168,,199,,,-,10,,26,,52,,,MIDDLE ATLANTIC,20201209,
CALIFORNIA,2020,12,,-,3,,,-,3,,,-,15,,67,,59,,,-,4,,5,,28,,CALIFORNIA,,20201259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,12,,-,1,,,-,,-,,-,19,,26,,234,,,-,3,,8,,17,,WEST VIRGINIA,,20201237,POINT (-80.613729 38.642579)
FLORIDA,2020,12,,-,1,,2,,1,,1,,99,,247,,627,,,-,23,,48,,144,,FLORIDA,,20201231,POINT (-82.420978 28.260731)
MONTANA,2020,12,,-,0,,,-,,-,,-,4,,3,,1,,,-,1,,,-,,-,MONTANA,,20201252,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,12,,-,4,,,-,4,,3,,21,,108,,51,,,-,5,,6,,21,,,WEST NORTH CENTRAL,20201220,
MASSACHUSETTS,2020,12,,-,1,,,-,,-,,-,9,,10,,101,,,-,2,,6,,10,,MASSACHUSETTS,,20201205,POINT (-71.481104 42.151077)
MOUNTAIN,2020,12,,-,3,,1,,2,,1,,46,,74,,255,,,-,6,,7,,28,,,MOUNTAIN,20201248,
INDIANA,2020,12,,-,0,,,-,,-,,-,71,,38,,399,,,-,10,,1,,30,,INDIANA,,20201216,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,12,,-,0,,,-,,-,,-,3,,1,,16,,,-,1,,1,,,-,,NON-US RESIDENTS,20201269,
US TERRITORIES,2020,12,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201263,
TOTAL,2020,13,2,,13,,14,,22,,18,,469,,1970,,4897,,4,,101,,356,,749,,,TOTAL,20201370,
US RESIDENTS,2020,13,2,,13,,14,,22,,18,,469,,1969,,4881,,4,,101,,355,,749,,,US RESIDENTS,20201301,
NEW HAMPSHIRE,2020,13,,-,1,,,-,,-,,-,14,,17,,71,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201306,POINT (-71.57139 43.680429)
NEW YORK,2020,13,,-,2,,,-,,-,3,,14,,52,,29,,,-,4,,3,,13,,NEW YORK,,20201311,POINT (-75.59655 42.921241)
PACIFIC,2020,13,,-,3,,,-,4,,,-,33,,186,,80,,,-,5,,18,,46,,,PACIFIC,20201357,
WEST SOUTH CENTRAL,2020,13,,-,7,,1,,3,,2,,44,,155,,152,,1,,10,,33,,29,,,WEST SOUTH CENTRAL,20201343,
NEBRASKA,2020,13,,-,1,,,-,,-,,-,3,,3,,1,,,-,1,,,-,,-,NEBRASKA,,20201325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,13,2,,3,,5,,3,,4,,113,,376,,1297,,1,,17,,97,,133,,,EAST SOUTH CENTRAL,20201338,
NORTH DAKOTA,2020,13,,-,1,,,-,2,,,-,1,,,-,1,,,-,1,,1,,1,,NORTH DAKOTA,,20201326,POINT (-100.46931 47.446305)
NEVADA,2020,13,,-,0,,,-,,-,,-,7,,5,,19,,,-,2,,,-,6,,NEVADA,,20201353,POINT (-114.916992 39.283294)
ILLINOIS,2020,13,,-,1,,,-,1,,,-,8,,19,,56,,,-,3,,7,,3,,ILLINOIS,,20201315,POINT (-89.148632 40.124144)
IOWA,2020,13,,-,2,,,-,1,,,-,2,,4,,2,,,-,3,,4,,5,,IOWA,,20201321,POINT (-93.500061 42.074659)
TEXAS,2020,13,,-,4,,1,,1,,,-,13,,28,,29,,,-,6,,6,,6,,TEXAS,,20201347,POINT (-99.317341 31.447238)
ALASKA,2020,13,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,1,,5,,ALASKA,,20201358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,13,,-,0,,,-,,-,,-,2,,,-,4,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20201330,POINT (-77.016275 38.904785)
WASHINGTON,2020,13,,N,,NC,,N,,N,,-,18,,113,,11,,,-,3,,3,,8,,WASHINGTON,,20201362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,13,,-,1,,,-,,-,,-,19,,45,,192,,,-,5,,15,,34,,,NEW ENGLAND,20201302,
RHODE ISLAND,2020,13,,-,0,,,-,,-,,-,2,,2,,3,,,U,,NC,,U,,U,RHODE ISLAND,,20201307,POINT (-71.534637 41.572574)
OREGON,2020,13,,-,2,,,-,1,,,-,2,,4,,7,,,-,2,,4,,3,,OREGON,,20201361,POINT (-120.605279 43.940449)
DELAWARE,2020,13,,-,0,,,-,,-,,-,4,,10,,3,,,-,2,,1,,7,,DELAWARE,,20201329,POINT (-75.452394 38.994926)
ALABAMA,2020,13,,-,2,,,-,1,,4,,20,,145,,34,,,-,4,,10,,23,,ALABAMA,,20201339,POINT (-86.844516 32.756889)
KANSAS,2020,13,,-,1,,1,,2,,,-,2,,,-,4,,,-,1,,,-,5,,KANSAS,,20201322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,13,,-,1,,,-,1,,,-,10,,34,,26,,,-,7,,14,,55,,NORTH CAROLINA,,20201334,POINT (-79.130883 35.52603)
GUAM,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201366,POINT (144.653198 13.3532)
NEW JERSEY,2020,13,,-,0,,,-,,-,,-,23,,36,,115,,,-,5,,,-,18,,NEW JERSEY,,20201310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,13,,-,1,,,-,,-,,-,8,,4,,46,,,-,1,,,-,2,,NEW MEXICO,,20201354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,13,,-,4,,,-,3,,2,,145,,149,,1382,,2,,41,,45,,118,,,EAST NORTH CENTRAL,20201314,
TENNESSEE,2020,13,2,,2,,5,,1,,,-,83,,145,,451,,,-,9,,35,,52,,TENNESSEE,,20201342,POINT (-86.343226 35.842998)
TOTAL,2020,14,,-,13,,15,,24,,30,,469,,2104,,5285,,7,,101,,385,,817,,,TOTAL,20201470,
CONNECTICUT,2020,13,,-,1,,,-,,-,,-,3,,7,,6,,,-,0,,,-,3,,CONNECTICUT,,20201303,POINT (-72.738288 41.575155)
MARYLAND,2020,13,,-,1,,2,,,-,3,,7,,50,,24,,,-,3,,8,,3,,MARYLAND,,20201333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,13,,-,0,,,-,,-,,-,32,,127,,37,,,-,4,,13,,9,,SOUTH CAROLINA,,20201335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,13,,-,3,,,-,,-,,-,5,,2,,,-,1,,5,,2,,,-,OKLAHOMA,,20201346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201365,POINT (145.725693 15.1834)
OHIO,2020,13,,-,1,,,-,1,,2,,68,,85,,862,,2,,29,,30,,65,,OHIO,,20201318,POINT (-82.70936 40.415534)
MINNESOTA,2020,13,,-,2,,,-,,-,,-,6,,28,,7,,,-,2,,,-,2,,MINNESOTA,,20201323,POINT (-94.198308 46.349153)
LOUISIANA,2020,13,,-,1,,,-,1,,,-,39,,88,,62,,,-,4,,11,,15,,LOUISIANA,,20201345,POINT (-91.840238 30.921314)
HAWAII,2020,13,,-,0,,,-,,-,,-,1,,1,,1,,,-,1,,3,,,-,HAWAII,,20201360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,13,,-,4,,5,,2,,6,,151,,696,,1218,,,-,37,,105,,277,,,SOUTH ATLANTIC,20201328,
PENNSYLVANIA,2020,13,,-,4,,1,,,-,,-,43,,67,,55,,,-,5,,11,,18,,PENNSYLVANIA,,20201313,POINT (-77.838886 40.896694)
UTAH,2020,13,,-,2,,,-,1,,,-,2,,4,,7,,,-,3,,,-,6,,UTAH,,20201355,POINT (-111.678222 39.323779)
COLORADO,2020,13,,-,3,,,-,,-,,-,18,,35,,31,,,-,1,,2,,6,,COLORADO,,20201350,POINT (-105.547832 38.998552)
VERMONT,2020,13,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,2,,VERMONT,,20201308,POINT (-72.662695 44.075252)
KENTUCKY,2020,13,,-,2,,,-,1,,,-,48,,16,,809,,1,,7,,39,,50,,KENTUCKY,,20201340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,13,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201367,POINT (-66.414655 18.215692)
MAINE,2020,13,,-,1,,,-,,-,,-,6,,9,,5,,,-,4,,9,,19,,MAINE,,20201304,POINT (-69.06137 45.117911)
VIRGINIA,2020,13,,-,2,,,-,,-,2,,16,,65,,41,,,-,5,,5,,6,,VIRGINIA,,20201336,POINT (-78.666382 37.510861)
ARIZONA,2020,13,,-,2,,1,,1,,1,,30,,25,,163,,,-,2,,6,,7,,ARIZONA,,20201349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,13,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201364,
WISCONSIN,2020,13,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,1,,4,,WISCONSIN,,20201319,POINT (-89.732969 44.639954)
IDAHO,2020,13,,-,1,,,-,,-,,-,8,,3,,12,,,-,1,,,-,2,,IDAHO,,20201351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201368,POINT (-64.840836 18.060868)
MICHIGAN,2020,13,,-,2,,,-,1,,,-,4,,6,,21,,,-,3,,6,,15,,MICHIGAN,,20201317,POINT (-85.730977 44.874798)
GEORGIA,2020,13,,-,2,,1,,,-,1,,30,,135,,144,,,-,5,,8,,31,,GEORGIA,,20201332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,13,,-,1,,,-,,-,,-,5,,16,,25,,,-,4,,13,,9,,,NEW YORK CITY,20201312,
ARKANSAS,2020,13,,-,2,,,-,1,,2,,9,,37,,61,,,-,5,,14,,8,,ARKANSAS,,20201344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,13,,-,0,,,-,,-,,-,9,,70,,3,,,-,4,,13,,8,,MISSISSIPPI,,20201341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,13,,-,2,,,-,,-,,-,1,,1,,2,,,-,1,,,-,1,,SOUTH DAKOTA,,20201327,POINT (-100.230491 44.43614)
WYOMING,2020,13,,-,0,,,-,,-,,-,3,,1,,2,,,-,0,,,-,3,,WYOMING,,20201356,POINT (-107.55145 42.999627)
MISSOURI,2020,13,,-,2,,,-,,-,,-,16,,75,,38,,,-,4,,2,,8,,MISSOURI,,20201324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,13,,-,4,,1,,,-,3,,76,,171,,224,,,-,10,,27,,58,,,MIDDLE ATLANTIC,20201309,
CALIFORNIA,2020,13,,-,3,,,-,3,,,-,15,,68,,61,,,-,4,,7,,30,,CALIFORNIA,,20201359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,13,,-,1,,,-,,-,,-,13,,28,,240,,,-,3,,8,,18,,WEST VIRGINIA,,20201337,POINT (-80.613729 38.642579)
FLORIDA,2020,13,,-,1,,2,,1,,,-,99,,247,,699,,,-,23,,48,,148,,FLORIDA,,20201331,POINT (-82.420978 28.260731)
MONTANA,2020,13,,-,0,,,-,,-,,-,4,,3,,1,,,-,1,,,-,,-,MONTANA,,20201352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,13,,-,4,,1,,5,,,-,21,,111,,55,,,-,5,,7,,22,,,WEST NORTH CENTRAL,20201320,
MASSACHUSETTS,2020,13,,-,1,,,-,,-,,-,9,,10,,104,,,-,2,,6,,10,,MASSACHUSETTS,,20201305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,13,,-,3,,1,,2,,1,,46,,80,,281,,,-,6,,8,,32,,,MOUNTAIN,20201348,
INDIANA,2020,13,,-,0,,,-,,-,,-,71,,39,,443,,,-,10,,1,,31,,INDIANA,,20201316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,13,,-,0,,,-,,-,,-,3,,1,,16,,,-,1,,1,,,-,,NON-US RESIDENTS,20201369,
US TERRITORIES,2020,13,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201363,
US RESIDENTS,2020,14,,-,13,,15,,24,,30,,469,,2103,,5269,,7,,101,,384,,817,,,US RESIDENTS,20201401,
NEW HAMPSHIRE,2020,14,,-,1,,,-,,-,,-,14,,17,,77,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201406,POINT (-71.57139 43.680429)
NEW YORK,2020,14,,-,2,,,-,,-,2,,14,,56,,32,,1,,4,,4,,15,,NEW YORK,,20201411,POINT (-75.59655 42.921241)
PACIFIC,2020,14,,-,3,,,-,4,,,-,33,,193,,85,,,-,5,,18,,47,,,PACIFIC,20201457,
WEST SOUTH CENTRAL,2020,14,,-,7,,1,,3,,2,,44,,162,,170,,,-,10,,33,,35,,,WEST SOUTH CENTRAL,20201443,
NEBRASKA,2020,14,,-,1,,,-,,-,,-,3,,3,,1,,,-,1,,,-,,-,NEBRASKA,,20201425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,14,,-,3,,6,,4,,7,,113,,407,,1388,,2,,17,,109,,143,,,EAST SOUTH CENTRAL,20201438,
NORTH DAKOTA,2020,14,,-,1,,,-,3,,,-,1,,,-,1,,,-,1,,1,,1,,NORTH DAKOTA,,20201426,POINT (-100.46931 47.446305)
NEVADA,2020,14,,-,0,,,-,,-,,-,7,,5,,22,,,-,2,,,-,7,,NEVADA,,20201453,POINT (-114.916992 39.283294)
ILLINOIS,2020,14,,-,1,,,-,1,,,-,8,,19,,59,,,-,3,,7,,3,,ILLINOIS,,20201415,POINT (-89.148632 40.124144)
IOWA,2020,14,,-,2,,,-,1,,,-,2,,4,,2,,,-,3,,4,,5,,IOWA,,20201421,POINT (-93.500061 42.074659)
TEXAS,2020,14,,-,4,,1,,1,,,-,13,,29,,32,,,-,6,,6,,9,,TEXAS,,20201447,POINT (-99.317341 31.447238)
ALASKA,2020,14,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,1,,5,,ALASKA,,20201458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,14,,-,0,,,-,,-,,-,2,,,-,4,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20201430,POINT (-77.016275 38.904785)
WASHINGTON,2020,14,,N,,NC,,N,,N,,-,18,,118,,13,,,-,3,,3,,8,,WASHINGTON,,20201462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,14,,-,1,,,-,,-,1,,19,,50,,200,,1,,5,,19,,34,,,NEW ENGLAND,20201402,
RHODE ISLAND,2020,14,,-,0,,,-,,-,,-,2,,2,,3,,,U,,NC,,U,,U,RHODE ISLAND,,20201407,POINT (-71.534637 41.572574)
OREGON,2020,14,,-,2,,,-,1,,,-,2,,4,,8,,,-,2,,4,,3,,OREGON,,20201461,POINT (-120.605279 43.940449)
DELAWARE,2020,14,,-,0,,,-,,-,,-,4,,12,,6,,,-,2,,1,,9,,DELAWARE,,20201429,POINT (-75.452394 38.994926)
ALABAMA,2020,14,,-,2,,,-,1,,3,,21,,166,,37,,,-,4,,11,,24,,ALABAMA,,20201439,POINT (-86.844516 32.756889)
KANSAS,2020,14,,-,1,,1,,2,,,-,1,,,-,5,,,-,1,,,-,5,,KANSAS,,20201422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,14,,-,1,,,-,1,,,-,10,,39,,27,,,-,7,,16,,62,,NORTH CAROLINA,,20201434,POINT (-79.130883 35.52603)
GUAM,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201466,POINT (144.653198 13.3532)
NEW JERSEY,2020,14,,-,0,,,-,,-,,-,23,,36,,132,,,-,5,,,-,18,,NEW JERSEY,,20201410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,14,,-,1,,,-,,-,,-,8,,4,,54,,,-,1,,,-,2,,NEW MEXICO,,20201454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,14,,-,4,,,-,3,,3,,145,,153,,1476,,,-,41,,47,,131,,,EAST NORTH CENTRAL,20201414,
TENNESSEE,2020,14,,-,2,,5,,1,,4,,83,,155,,488,,1,,9,,44,,55,,TENNESSEE,,20201442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,14,,-,1,,,-,,-,1,,3,,9,,6,,,-,0,,,-,3,,CONNECTICUT,,20201403,POINT (-72.738288 41.575155)
MARYLAND,2020,14,,-,1,,2,,,-,2,,7,,53,,25,,1,,3,,11,,3,,MARYLAND,,20201433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,14,,-,0,,,-,,-,4,,32,,168,,44,,,-,4,,13,,9,,SOUTH CAROLINA,,20201435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,14,,-,3,,,-,,-,,-,5,,2,,,-,,-,5,,2,,,-,OKLAHOMA,,20201446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201465,POINT (145.725693 15.1834)
OHIO,2020,14,,-,1,,,-,1,,3,,68,,88,,907,,,-,29,,30,,69,,OHIO,,20201418,POINT (-82.70936 40.415534)
MINNESOTA,2020,14,,-,2,,,-,,-,,-,6,,30,,8,,,-,2,,,-,3,,MINNESOTA,,20201423,POINT (-94.198308 46.349153)
LOUISIANA,2020,14,,-,1,,,-,1,,,-,39,,88,,70,,,-,4,,11,,16,,LOUISIANA,,20201445,POINT (-91.840238 30.921314)
HAWAII,2020,14,,-,0,,,-,,-,,-,1,,1,,1,,,-,1,,3,,,-,HAWAII,,20201460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,14,,-,4,,5,,2,,13,,151,,765,,1324,,2,,37,,112,,306,,,SOUTH ATLANTIC,20201428,
PENNSYLVANIA,2020,14,,-,4,,1,,,-,1,,43,,68,,58,,1,,5,,14,,19,,PENNSYLVANIA,,20201413,POINT (-77.838886 40.896694)
UTAH,2020,14,,-,2,,,-,1,,,-,2,,4,,7,,,-,3,,,-,6,,UTAH,,20201455,POINT (-111.678222 39.323779)
COLORADO,2020,14,,-,3,,,-,,-,1,,18,,38,,36,,,-,1,,2,,6,,COLORADO,,20201450,POINT (-105.547832 38.998552)
VERMONT,2020,14,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,2,,VERMONT,,20201408,POINT (-72.662695 44.075252)
KENTUCKY,2020,14,,-,2,,1,,2,,,-,48,,16,,857,,1,,7,,41,,54,,KENTUCKY,,20201440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,14,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201467,POINT (-66.414655 18.215692)
MAINE,2020,14,,-,1,,,-,,-,,-,6,,9,,6,,1,,4,,12,,19,,MAINE,,20201404,POINT (-69.06137 45.117911)
VIRGINIA,2020,14,,-,2,,,-,,-,2,,17,,71,,48,,1,,6,,6,,7,,VIRGINIA,,20201436,POINT (-78.666382 37.510861)
ARIZONA,2020,14,,-,2,,1,,1,,,-,30,,26,,182,,,-,2,,6,,7,,ARIZONA,,20201449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,14,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201464,
