Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ALABAMA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,2,,53,,2,,5,,ALABAMA,,20200139,POINT (-86.844516 32.756889)
SOUTH ATLANTIC,2020,1,,-,3,,,-,,-,,-,6,,,-,,-,19,,547,,19,,103,,,SOUTH ATLANTIC,20200128,
MIDDLE ATLANTIC,2020,1,,-,2,,,-,,-,,-,5,,,-,1,,7,,174,,7,,20,,,MIDDLE ATLANTIC,20200109,
PACIFIC,2020,1,,-,1,,,-,1,,,-,2,,,-,,-,6,,46,,6,,10,,,PACIFIC,20200157,
VERMONT,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
MASSACHUSETTS,2020,1,,-,2,,,-,,-,,-,2,,,-,,-,5,,50,,5,,8,,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
DISTRICT OF COLUMBIA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
SOUTH CAROLINA,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,8,,85,,8,,16,,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
TENNESSEE,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,1,,51,,1,,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
EAST SOUTH CENTRAL,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,3,,115,,3,,5,,,EAST SOUTH CENTRAL,20200138,
WISCONSIN,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,7,,30,,7,,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
NEW YORK,2020,1,,-,1,,,-,,-,,-,3,,,-,,-,,-,62,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
NEW YORK CITY,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200112,
KANSAS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
TEXAS,2020,1,,-,1,,,-,,-,,-,6,,,-,,-,,-,207,,,-,4,,TEXAS,,20200147,POINT (-99.317341 31.447238)
KENTUCKY,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,25,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
NEVADA,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,15,,,-,3,,NEVADA,,20200153,POINT (-114.916992 39.283294)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
LOUISIANA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,53,,,-,2,,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200169,
MOUNTAIN,2020,1,,-,1,,,-,,-,,-,2,,,-,,-,12,,101,,12,,58,,,MOUNTAIN,20200148,
MISSOURI,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,5,,36,,5,,7,,MISSOURI,,20200124,POINT (-92.477244 38.3675)
TOTAL,2020,3,2,,5,,2,,1,,,-,12,,1,,8,,134,,1342,,468,,1025,,,TOTAL,20200370,
US RESIDENTS,2020,3,2,,5,,2,,1,,,-,12,,1,,8,,134,,1342,,468,,1025,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,1,,8,,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,2,,,-,,-,,-,3,,,-,1,,18,,62,,29,,28,,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,1,,1,,1,,1,,,-,2,,,-,1,,5,,46,,26,,31,,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,2,,,-,,-,,-,6,,,-,,-,29,,338,,57,,84,,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,6,,18,,10,,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,1,,1,,1,,,-,,-,1,,,-,,-,8,,116,,43,,49,,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,3,,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
