INSPECTION_NO,INSPECTION_DATE,VIOLATIONS,WARNINGS
1091313093443,08/30/2013 07:55:00 AM,0,0
1113016070800,09/16/2016 11:15:00 AM,0,0
1113016100214,09/30/2016 09:30:00 AM,0,0
1082913073446,08/28/2013 07:15:00 AM,0,0
1052214132456,05/20/2014 07:40:00 AM,0,0
1072017084310,07/19/2017 11:45:00 PM,0,0
1060111104826,06/01/2011 01:30:00 AM,0,0
1050211113915,04/29/2011 07:30:00 AM,0,0
1032520065945,03/12/2020 08:20:00 AM,0,0
1070611121447,07/01/2011 04:40:00 PM,0,0
1121318080844,12/12/2018 04:50:00 PM,0,0
1050813103943,05/06/2013 11:10:00 AM,0,0
1100112104332,09/30/2012 10:25:00 AM,0,0
1051118122238,05/10/2018 10:10:00 AM,0,0
1060811065016,06/05/2011 08:20:00 AM,0,0
1021119110615,02/04/2019 02:35:00 AM,0,0
1101216080701,09/25/2016 06:35:00 AM,0,0
1022715130435,02/23/2015 07:30:00 AM,0,0
1060513122728,06/01/2013 07:35:00 AM,0,0
1091310080626,09/13/2010 12:50:00 AM,0,0
1121714075818,12/16/2014 09:05:00 AM,0,0
1020617112411,02/03/2017 06:20:00 PM,0,0
1022916105858,02/29/2016 03:30:00 AM,0,0
1022307135846,02/22/2007 03:31:00 PM,0,0
1102714084255,10/21/2014 08:15:00 AM,0,0
1111814122112,11/07/2014 02:10:00 AM,0,0
1120314090930,11/29/2014 10:30:00 AM,0,0
1040314141644,03/17/2014 04:25:00 PM,0,0
1050820100154,05/04/2020 09:05:00 AM,0,0
1020911103540,02/08/2011 09:35:00 AM,0,0
1082008053511,08/20/2008 01:55:00 AM,0,0
1033115121258,03/21/2015 10:55:00 AM,0,0
1040720120348,04/02/2020 03:25:00 PM,0,0
1031014094126,02/10/2014 09:45:00 PM,0,0
1060811065518,06/05/2011 09:10:00 AM,0,0
1032013111607,03/15/2013 09:45:00 AM,0,0
1052119083510,05/09/2019 11:55:00 PM,0,0
1122917071215,12/19/2017 06:20:00 PM,0,0
1061114105937,06/02/2014 09:05:00 AM,0,0
1042115121808,04/16/2015 11:20:00 AM,0,0
1021115115550,02/06/2015 11:15:00 PM,0,0
1062618120816,06/22/2018 07:35:00 PM,0,0
1011017092750,01/09/2017 11:00:00 AM,0,0
1010219150137,12/20/2018 04:35:00 PM,0,0
1041211104153,04/12/2011 12:40:00 AM,0,0
1010413120045,12/24/2012 09:50:00 AM,0,0
1010617122029,01/05/2017 10:20:00 AM,0,0
1061918090154,06/18/2018 02:40:00 AM,0,0
1021717081737,02/15/2017 10:05:00 AM,0,0
1040908060347,04/08/2008 01:40:00 PM,0,0
1060313133255,05/31/2013 08:45:00 AM,0,0
1052611081418,05/25/2011 01:00:00 PM,0,0
1032818102349,03/19/2018 12:15:00 AM,0,0
1053117083122,05/30/2017 10:00:00 AM,0,0
1042611083430,04/25/2011 09:05:00 AM,0,0
1082208132246,08/22/2008 08:10:00 AM,0,0
1042215101645,04/21/2015 10:40:00 AM,0,0
1052119085918,05/07/2019 02:50:00 AM,0,0
