NCESSCH,School Name,School Year,Number of Applications,lastUpdated,recordId
290636000158,BUTLER HIGH,2018,27,06/29/2018 02:33:00 AM,2906360001582018
02041103,COLLEGE HEIGHTS CHRISTIAN SCHOOL,2018,13,06/29/2018 02:33:00 AM,020411032018
292529001458,PLATTSBURG HIGH,2018,21,06/29/2018 02:33:00 AM,2925290014582018
292327001340,OSCEOLA JR.-SR. HIGH,2018,20,06/29/2018 02:33:00 AM,2923270013402018
291158000413,EVERTON HIGH,2018,9,06/29/2018 02:33:00 AM,2911580004132018
290528000076,BLUE EYE HIGH,2018,26,06/29/2018 02:33:00 AM,2905280000762018
291050000350,DESOTO SR. HIGH,2018,100,06/29/2018 02:33:00 AM,2910500003502018
291629000769,JENNINGS HIGH,2018,59,06/29/2018 02:33:00 AM,2916290007692018
291692000937,LA MONTE HIGH,2018,*,06/29/2018 02:33:00 AM,2916920009372018
02040824,NEW COVENANT ACADEMY,2018,14,06/29/2018 02:33:00 AM,020408242018
291425000639,HERCULANEUM HIGH,2018,49,06/29/2018 02:33:00 AM,2914250006392018
291191000440,FARMINGTON SR. HIGH,2018,134,06/29/2018 02:33:00 AM,2911910004402018
A0902016,ISLAMIC SCHOOL OF GREATER KANSAS CITY,2018,*,06/29/2018 02:33:00 AM,A09020162018
291134000402,ELDON HIGH,2018,55,06/29/2018 02:33:00 AM,2911340004022018
00753189,HELIAS CATHOLIC HIGH SCHOOL,2018,106,06/29/2018 02:33:00 AM,007531892018
292160001189,MT. VERNON HIGH,2018,53,06/29/2018 02:33:00 AM,2921600011892018
292664001573,RITENOUR SR. HIGH,2018,178,06/29/2018 02:33:00 AM,2926640015732018
291376000605,HARRISONVILLE HIGH,2018,97,06/29/2018 02:33:00 AM,2913760006052018
292790001719,SENECA HIGH,2018,50,06/29/2018 02:33:00 AM,2927900017192018
291362000583,HANCOCK SR. HIGH,2018,45,06/29/2018 02:33:00 AM,2913620005832018
290315000022,ARCADIA VALLEY HIGH,2018,41,06/29/2018 02:33:00 AM,2903150000222018
292346001356,PACIFIC HIGH,2018,88,06/29/2018 02:33:00 AM,2923460013562018
292265001248,NORMANDY HIGH,2018,47,06/29/2018 02:33:00 AM,2922650012482018
291545000705,SCOTT CITY HIGH,2018,29,06/29/2018 02:33:00 AM,2915450007052018
292514001445,CLOPTON HIGH,2018,22,06/29/2018 02:33:00 AM,2925140014452018
A9300536,MARY INSTITUTE & ST LOUIS COUNTRY DAY SCHOOL,2018,41,06/29/2018 02:33:00 AM,A93005362018
00753677,NOTRE DAME DE SION SCHOOL,2018,34,06/29/2018 02:33:00 AM,007536772018
290978000282,CLEVER HIGH,2018,56,06/29/2018 02:33:00 AM,2909780002822018
293042002084,EAST NEWTON HIGH,2018,52,06/29/2018 02:33:00 AM,2930420020842018
291674000916,KIRKSVILLE SR. HIGH,2018,91,06/29/2018 02:33:00 AM,2916740009162018
290591000135,BRONAUGH HIGH,2018,*,06/29/2018 02:33:00 AM,2905910001352018
291332000566,GREENFIELD HIGH,2018,25,06/29/2018 02:33:00 AM,2913320005662018
292961002048,MORGAN CO. R-I HIGH,2018,13,06/29/2018 02:33:00 AM,2929610020482018
290837000239,FT. ZUMWALT NORTH HIGH,2018,193,06/29/2018 02:33:00 AM,2908370002392018
292706001660,LAFAYETTE HIGH,2018,80,06/29/2018 02:33:00 AM,2927060016602018
291083000369,DIXON HIGH,2018,28,06/29/2018 02:33:00 AM,2910830003692018
291640000860,NORTHEAST HIGH,2018,61,06/29/2018 02:33:00 AM,2916400008602018
292280001286,OAK PARK HIGH,2018,177,06/29/2018 02:33:00 AM,2922800012862018
290417000042,BALLARD HIGH,2018,*,06/29/2018 02:33:00 AM,2904170000422018
290588000131,BRENTWOOD HIGH,2018,33,06/29/2018 02:33:00 AM,2905880001312018
292262001238,NORBORNE HIGH,2018,11,06/29/2018 02:33:00 AM,2922620012382018
290837002978,FT. ZUMWALT EAST HIGH,2018,158,06/29/2018 02:33:00 AM,2908370029782018
291380000611,HAYTI HIGH,2018,18,06/29/2018 02:33:00 AM,2913800006112018
291110000383,EAST CARTER CO. R-II HIGH,2018,28,06/29/2018 02:33:00 AM,2911100003832018
291923001040,LONE JACK HIGH,2018,26,06/29/2018 02:33:00 AM,2919230010402018
290059303176,DELASALLE CHARTER SCHOOL,2018,11,06/29/2018 02:33:00 AM,2900593031762018
291830001481,LEE'S SUMMIT NORTH HIGH,2018,224,06/29/2018 02:33:00 AM,2918300014812018
290402000031,AURORA HIGH,2018,64,06/29/2018 02:33:00 AM,2904020000312018
292886001786,CENTRAL HIGH,2018,184,06/29/2018 02:33:00 AM,2928860017862018
290059203205,GATEWAY SCIENCE ACADEMY HIGH,2018,35,06/29/2018 02:33:00 AM,2900592032052018
291201002691,MCCLUER SOUTH-BERKELEY HIGH,2018,52,06/29/2018 02:33:00 AM,2912010026912018
291290000540,GLASGOW HIGH,2018,11,06/29/2018 02:33:00 AM,2912900005402018
292247001231,NEWTOWN-HARRIS HIGH,2018,*,06/29/2018 02:33:00 AM,2922470012312018
292256001234,NODAWAY-HOLT JR.-SR. HIGH,2018,9,06/29/2018 02:33:00 AM,2922560012342018
290537000092,BOLIVAR HIGH,2018,107,06/29/2018 02:33:00 AM,2905370000922018
291443000675,HILLSBORO HIGH,2018,177,06/29/2018 02:33:00 AM,2914430006752018
AA890522,CHRISTIAN OUTREACH SCHOOL,2018,*,06/29/2018 02:33:00 AM,AA8905222018
290285000002,ADRIAN SR. HIGH,2018,24,06/29/2018 02:33:00 AM,2902850000022018
291614000745,JASPER HIGH,2018,10,06/29/2018 02:33:00 AM,2916140007452018
292814001731,NORTH SHELBY HIGH,2018,12,06/29/2018 02:33:00 AM,2928140017312018
02041646,CHRISTIAN ACADEMY OF GREATER ST LOUIS,2018,9,06/29/2018 02:33:00 AM,020416462018
291128000397,KNOX CO. HIGH,2018,31,06/29/2018 02:33:00 AM,2911280003972018
291155000411,EUGENE HIGH,2018,34,06/29/2018 02:33:00 AM,2911550004112018
291623003144,JEFFERSON HIGH SCHOOL,2018,48,06/29/2018 02:33:00 AM,2916230031442018
292081001137,MEXICO HIGH,2018,73,06/29/2018 02:33:00 AM,2920810011372018
A9300533,HEARTLAND CHRISTIAN SCHOOL,2018,6,06/29/2018 02:33:00 AM,A93005332018
292667001586,RIVERVIEW GARDENS SR. HIGH,2018,69,06/29/2018 02:33:00 AM,2926670015862018
291638000797,CLARK CO. HIGH,2018,34,06/29/2018 02:33:00 AM,2916380007972018
291059000355,DEKALB JR.-SR. HIGH,2018,11,06/29/2018 02:33:00 AM,2910590003552018
290975000277,CLEARWATER HIGH,2018,33,06/29/2018 02:33:00 AM,2909750002772018
290600000143,LINN CO. HIGH,2018,14,06/29/2018 02:33:00 AM,2906000001432018
292553001500,PRAIRIE HOME HIGH,2018,*,06/29/2018 02:33:00 AM,2925530015002018
292184001214,NEVADA HIGH,2018,90,06/29/2018 02:33:00 AM,2921840012142018
291854003148,LIBERTY NORTH HIGH SCHOOL,2018,262,06/29/2018 02:33:00 AM,2918540031482018
A9902672,CENTER PLACE RESTORATION SCHOOL,2018,12,06/29/2018 02:33:00 AM,A99026722018
290000901199,BISSELL HALL,2018,*,06/29/2018 02:33:00 AM,2900009011992018
290705000180,CAMPBELL HIGH,2018,24,06/29/2018 02:33:00 AM,2907050001802018
292631001544,RICH HILL HIGH,2018,14,06/29/2018 02:33:00 AM,2926310015442018
A0902013,HERITAGE ACADEMY,2018,*,06/29/2018 02:33:00 AM,A09020132018
291353000576,HALFWAY SECONDARY,2018,10,06/29/2018 02:33:00 AM,2913530005762018
291095000375,DORA HIGH,2018,9,06/29/2018 02:33:00 AM,2910950003752018
292541001465,POLO HIGH,2018,14,06/29/2018 02:33:00 AM,2925410014652018
291230000506,FOX SR. HIGH,2018,229,06/29/2018 02:33:00 AM,2912300005062018
290582000127,BRAYMER HIGH,2018,6,06/29/2018 02:33:00 AM,2905820001272018
291941001053,MACON SR. HIGH,2018,57,06/29/2018 02:33:00 AM,2919410010532018
290566000115,BOWLING GREEN HIGH,2018,32,06/29/2018 02:33:00 AM,2905660001152018
292760001695,NORTHEAST VERNON CO. R-I HIGH,2018,*,06/29/2018 02:33:00 AM,2927600016952018
291640000880,EAST HIGH SCHOOL,2018,69,06/29/2018 02:33:00 AM,2916400008802018
292616001536,REEDS SPRING HIGH,2018,64,06/29/2018 02:33:00 AM,2926160015362018
292787001716,SENATH-HORNERSVILLE HIGH SCHOO,2018,18,06/29/2018 02:33:00 AM,2927870017162018
