Reporting Area,MMWR Year,MMWR Week,"Pertussis§, Current week","Pertussis§, Current week, flag","Pertussis§, Previous 52 weeks Max†","Pertussis§, Previous 52 weeks Max†, flag","Pertussis§, Cum 2020†","Pertussis§, Cum 2020†, flag","Pertussis§, Cum 2019†","Pertussis§, Cum 2019†, flag","Plague, Current week","Plague, Current week, flag","Plague, Previous 52 weeks Max†","Plague, Previous 52 weeks Max†, flag","Plague, Cum 2020†","Plague, Cum 2020†, flag","Plague, Cum 2019†","Plague, Cum 2019†, flag","Poliomyelitis, paralytic, Current week","Poliomyelitis, paralytic, Current week, flag","Poliomyelitis, paralytic, Previous 52 weeks Max†","Poliomyelitis, paralytic, Previous 52 weeks Max†, flag","Poliomyelitis, paralytic, Cum 2020†","Poliomyelitis, paralytic, Cum 2020†, flag","Poliomyelitis, paralytic, Cum 2019†","Poliomyelitis, paralytic, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
EAST NORTH CENTRAL,2020,1,30,,106,,30,,65,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200114,
MISSISSIPPI,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
GUAM,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
NORTH DAKOTA,2020,1,,-,7,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
MISSOURI,2020,1,4,,19,,4,,1,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675)
HAWAII,2020,1,,-,4,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
SOUTH CAROLINA,2020,1,,-,11,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
MICHIGAN,2020,1,,-,18,,,-,16,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
DELAWARE,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
PACIFIC,2020,1,,-,692,,,-,85,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200157,
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,-,627,,,-,18,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,7,,15,,7,,5,,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
TOTAL,2020,16,52,,469,,3567,,4206,,,-,1,,,-,,-,,-,0,,,-,,-,,TOTAL,20201670,
US RESIDENTS,2020,16,52,,469,,3567,,4206,,,-,1,,,-,,-,,-,0,,,-,,-,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,5,,3,,21,,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,5,,30,,117,,161,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,3,,87,,621,,925,,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,,-,122,,187,,207,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,1,,11,,40,,46,,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,2,,28,,193,,187,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,7,,13,,2,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,6,,7,,29,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,46,,278,,148,,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,17,,15,,59,,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,117,,144,,150,,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,4,,7,,8,,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,4,,7,,6,,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,1,,32,,190,,151,,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,26,,85,,291,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,8,,3,,3,,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,1,,20,,137,,58,,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,3,,11,,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,14,,80,,67,,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20201639,POINT (-86.844516 32.756889)
MASSACHUSETTS,2020,2,,-,13,,,-,12,,,-,0,,,-,,-,,-,0,,,-,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
MIDDLE ATLANTIC,2020,2,22,,80,,40,,48,,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200209,
NEW YORK CITY,2020,2,,-,15,,,-,14,,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200212,
INDIANA,2020,2,,-,11,,,-,7,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,18,,,-,25,,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
WISCONSIN,2020,2,,-,42,,,-,27,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,8,,43,,18,,51,,,-,0,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200220,
MISSOURI,2020,2,5,,19,,10,,7,,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200224,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,2,,-,11,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
FLORIDA,2020,2,8,,15,,15,,13,,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,9,,,-,12,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
