Reporting Area,MMWR Year,MMWR Week,"Syphilis, Congenital, Current week","Syphilis, Congenital, Current week, flag","Syphilis, Congenital, Previous 52 weeks Max†","Syphilis, Congenital, Previous 52 weeks Max†, flag","Syphilis, Congenital, Cum 2020†","Syphilis, Congenital, Cum 2020†, flag","Syphilis, Congenital, Cum 2019†","Syphilis, Congenital, Cum 2019†, flag","Syphilis, Primary and secondary, Current week","Syphilis, Primary and secondary, Current week, flag","Syphilis, Primary and secondary, Previous 52 weeks Max†","Syphilis, Primary and secondary, Previous 52 weeks Max†, flag","Syphilis, Primary and secondary, Cum 2020†","Syphilis, Primary and secondary, Cum 2020†, flag","Syphilis, Primary and secondary, Cum 2019†","Syphilis, Primary and secondary, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
U.S. VIRGIN ISLANDS,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201468,POINT (-64.840836 18.060868)
MICHIGAN,2020,14,,-,2,,,-,6,,,-,24,,83,,188,,MICHIGAN,,20201417,POINT (-85.730977 44.874798)
GEORGIA,2020,14,,-,2,,3,,6,,2,,48,,289,,529,,GEORGIA,,20201432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,14,,-,0,,,-,,-,,-,45,,27,,494,,,NEW YORK CITY,20201412,
ARKANSAS,2020,14,,-,2,,4,,6,,,-,14,,71,,97,,ARKANSAS,,20201444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,14,,-,0,,,-,1,,,-,24,,129,,127,,MISSISSIPPI,,20201441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,14,,-,0,,,-,1,,,-,3,,,-,10,,SOUTH DAKOTA,,20201427,POINT (-100.230491 44.43614)
WYOMING,2020,14,,-,0,,,-,,-,1,,2,,4,,4,,WYOMING,,20201456,POINT (-107.55145 42.999627)
MISSOURI,2020,14,,-,1,,1,,2,,,-,22,,136,,242,,MISSOURI,,20201424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,14,,-,4,,7,,15,,7,,128,,472,,1101,,,MIDDLE ATLANTIC,20201409,
CALIFORNIA,2020,14,,-,15,,89,,125,,12,,183,,1541,,2247,,CALIFORNIA,,20201459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,14,,-,1,,,-,1,,,-,3,,5,,23,,WEST VIRGINIA,,20201437,POINT (-80.613729 38.642579)
FLORIDA,2020,14,,-,7,,21,,32,,6,,86,,738,,797,,FLORIDA,,20201431,POINT (-82.420978 28.260731)
MONTANA,2020,14,,-,1,,,-,,-,1,,5,,12,,13,,MONTANA,,20201452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,14,,-,6,,4,,5,,1,,43,,302,,468,,,WEST NORTH CENTRAL,20201420,
TOTAL,2020,9,,-,40,,98,,251,,75,,799,,3355,,6574,,,TOTAL,20200970,
US RESIDENTS,2020,9,,-,40,,98,,247,,75,,796,,3353,,6508,,,US RESIDENTS,20200901,
NEW HAMPSHIRE,2020,9,,-,1,,,-,,-,,-,3,,4,,8,,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429)
NEW YORK,2020,9,,-,2,,,-,8,,8,,82,,92,,105,,NEW YORK,,20200911,POINT (-75.59655 42.921241)
PACIFIC,2020,9,,-,15,,46,,88,,20,,215,,1052,,1672,,,PACIFIC,20200957,
WEST SOUTH CENTRAL,2020,9,,-,12,,24,,64,,10,,85,,312,,616,,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,,-,0,,,-,,-,,-,8,,11,,22,,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,,-,3,,,-,7,,,-,60,,104,,356,,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,,-,0,,,-,,-,,-,3,,3,,3,,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,,-,3,,1,,4,,2,,43,,70,,222,,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,-,3,,1,,2,,,-,36,,31,,234,,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,-,1,,,-,,-,,-,6,,14,,9,,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,,-,11,,20,,50,,10,,56,,251,,337,,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,0,,,-,,-,,-,7,,3,,9,,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,1,,1,,1,,,-,11,,27,,61,,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,-,3,,,-,2,,8,,26,,74,,153,,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,,-,1,,,-,,-,,-,29,,46,,151,,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,0,,,-,,-,,-,13,,1,,15,,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,-,2,,1,,2,,9,,14,,88,,69,,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,1,,,-,1,,,-,6,,5,,15,,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,2,,,-,1,,,-,28,,26,,103,,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,2,,1,,,-,,-,11,,,-,31,,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,-,3,,,-,6,,,-,34,,,-,188,,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532)
NEW JERSEY,2020,9,,-,3,,4,,,-,,-,20,,41,,110,,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,,-,3,,,-,1,,,-,20,,52,,85,,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,,-,3,,1,,7,,4,,79,,224,,546,,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,,-,3,,,-,,-,,-,18,,18,,113,,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,1,,,-,,-,,-,7,,,-,14,,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,,-,2,,,-,5,,1,,24,,68,,176,,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,0,,,-,,-,,-,27,,,-,86,,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,,-,4,,1,,1,,,-,19,,1,,96,,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,,-,3,,,-,1,,,-,28,,60,,110,,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,4,,2,,1,,2,,15,,55,,70,,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,2,,,-,7,,,-,20,,21,,125,,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,0,,,-,,-,,-,5,,,-,10,,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,,-,9,,14,,39,,23,,199,,772,,1548,,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,,-,1,,,-,3,,5,,28,,105,,160,,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,,-,1,,,-,1,,,-,5,,4,,9,,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,,-,1,,,-,1,,,-,19,,52,,90,,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,,-,0,,,-,,-,,-,2,,1,,,-,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,2,,,-,5,,,-,15,,,-,62,,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,1,,,-,4,,,-,14,,2,,66,,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,,-,0,,,-,,-,,-,3,,2,,15,,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,0,,,-,1,,14,,30,,121,,142,,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,,-,5,,4,,20,,,-,33,,83,,195,,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,,-,0,,,-,,-,2,,10,,33,,24,,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,-,1,,,-,,-,,-,4,,2,,8,,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,,-,2,,,-,4,,,-,19,,36,,126,,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
GEORGIA,2020,9,,-,3,,,-,3,,4,,48,,148,,371,,GEORGIA,,20200932,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,9,,-,0,,,-,,-,,-,53,,187,,321,,,NEW YORK CITY,20200912,
ARKANSAS,2020,9,,-,2,,3,,6,,,-,14,,39,,58,,ARKANSAS,,20200944,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,9,,-,0,,,-,1,,,-,24,,60,,78,,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,9,,-,0,,,-,1,,,-,3,,,-,3,,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614)
WYOMING,2020,9,,-,0,,,-,,-,,-,1,,,-,4,,WYOMING,,20200956,POINT (-107.55145 42.999627)
MISSOURI,2020,9,,-,1,,1,,2,,,-,21,,65,,164,,MISSOURI,,20200924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,9,,-,4,,4,,11,,13,,108,,425,,696,,,MIDDLE ATLANTIC,20200909,
CALIFORNIA,2020,9,,-,14,,45,,84,,3,,184,,887,,1431,,CALIFORNIA,,20200959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,9,,-,0,,,-,,-,,-,4,,2,,12,,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579)
FLORIDA,2020,9,,-,7,,13,,22,,4,,86,,401,,497,,FLORIDA,,20200931,POINT (-82.420978 28.260731)
MONTANA,2020,9,,-,1,,,-,,-,1,,5,,7,,8,,MONTANA,,20200952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,9,,-,6,,4,,4,,2,,43,,148,,302,,,WEST NORTH CENTRAL,20200920,
MASSACHUSETTS,2020,9,,-,0,,,-,,-,,-,23,,38,,99,,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077)
MOUNTAIN,2020,9,,-,6,,5,,27,,3,,92,,270,,621,,,MOUNTAIN,20200948,
INDIANA,2020,9,,-,0,,,-,,-,2,,13,,64,,52,,INDIANA,,20200916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200969,
US TERRITORIES,2020,9,,-,1,,,-,4,,,-,14,,2,,66,,,US TERRITORIES,20200963,
TOTAL,2020,17,,-,44,,263,,505,,59,,800,,7926,,12446,,,TOTAL,20201770,
TOTAL,2020,10,,-,40,,119,,284,,86,,804,,3938,,7329,,,TOTAL,20201070,
US RESIDENTS,2020,10,,-,40,,119,,279,,86,,801,,3936,,7251,,,US RESIDENTS,20201001,
NEW HAMPSHIRE,2020,10,,-,1,,,-,,-,,-,3,,4,,10,,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429)
NEW YORK,2020,10,,-,2,,,-,9,,10,,88,,102,,120,,NEW YORK,,20201011,POINT (-75.59655 42.921241)
PACIFIC,2020,10,,-,15,,54,,102,,26,,215,,1231,,1859,,,PACIFIC,20201057,
WEST SOUTH CENTRAL,2020,10,,-,12,,29,,67,,10,,87,,356,,673,,,WEST SOUTH CENTRAL,20201043,
NEBRASKA,2020,10,,-,0,,,-,,-,,-,8,,11,,23,,NEBRASKA,,20201025,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,10,,-,3,,,-,7,,1,,61,,148,,391,,,EAST SOUTH CENTRAL,20201038,
NORTH DAKOTA,2020,10,,-,0,,,-,,-,,-,3,,4,,3,,NORTH DAKOTA,,20201026,POINT (-100.46931 47.446305)
NEVADA,2020,10,,-,3,,4,,4,,,-,43,,75,,252,,NEVADA,,20201053,POINT (-114.916992 39.283294)
ILLINOIS,2020,10,,-,3,,1,,3,,,-,37,,48,,259,,ILLINOIS,,20201015,POINT (-89.148632 40.124144)
IOWA,2020,10,,-,1,,,-,,-,,-,6,,14,,9,,IOWA,,20201021,POINT (-93.500061 42.074659)
TEXAS,2020,10,,-,11,,25,,52,,10,,56,,286,,358,,TEXAS,,20201047,POINT (-99.317341 31.447238)
ALASKA,2020,10,,-,0,,,-,,-,,-,7,,3,,11,,ALASKA,,20201058,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,10,,-,1,,,-,1,,,-,11,,29,,65,,DISTRICT OF COLUMBIA,,20201030,POINT (-77.016275 38.904785)
WASHINGTON,2020,10,,-,3,,,-,2,,8,,26,,82,,170,,WASHINGTON,,20201062,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,10,,-,1,,,-,,-,1,,29,,49,,175,,,NEW ENGLAND,20201002,
RHODE ISLAND,2020,10,,-,0,,,-,,-,1,,13,,4,,15,,RHODE ISLAND,,20201007,POINT (-71.534637 41.572574)
OREGON,2020,10,,-,2,,1,,2,,14,,17,,115,,78,,OREGON,,20201061,POINT (-120.605279 43.940449)
DELAWARE,2020,10,,-,1,,,-,1,,,-,6,,6,,18,,DELAWARE,,20201029,POINT (-75.452394 38.994926)
ALABAMA,2020,10,,-,2,,,-,1,,,-,28,,26,,109,,ALABAMA,,20201039,POINT (-86.844516 32.756889)
KANSAS,2020,10,,-,2,,1,,,-,,-,11,,,-,32,,KANSAS,,20201022,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,10,,-,3,,,-,7,,,-,34,,,-,210,,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603)
GUAM,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532)
NEW JERSEY,2020,10,,-,3,,4,,,-,,-,19,,51,,123,,NEW JERSEY,,20201010,POINT (-74.655514 40.110253)
NEW MEXICO,2020,10,,-,3,,1,,2,,,-,20,,58,,96,,NEW MEXICO,,20201054,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,10,,-,3,,2,,10,,3,,82,,265,,609,,,EAST NORTH CENTRAL,20201014,
TENNESSEE,2020,10,,-,3,,,-,,-,1,,18,,19,,129,,TENNESSEE,,20201042,POINT (-86.343226 35.842998)
CONNECTICUT,2020,10,,-,1,,,-,,-,,-,7,,,-,17,,CONNECTICUT,,20201003,POINT (-72.738288 41.575155)
MARYLAND,2020,10,,-,2,,,-,5,,,-,24,,76,,197,,MARYLAND,,20201033,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,10,,-,0,,,-,,-,,-,27,,,-,94,,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572)
OKLAHOMA,2020,10,,-,4,,1,,1,,,-,19,,1,,115,,OKLAHOMA,,20201046,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834)
OHIO,2020,10,,-,3,,1,,2,,,-,28,,60,,123,,OHIO,,20201018,POINT (-82.70936 40.415534)
MINNESOTA,2020,10,,-,4,,2,,2,,1,,15,,72,,77,,MINNESOTA,,20201023,POINT (-94.198308 46.349153)
LOUISIANA,2020,10,,-,2,,,-,8,,,-,20,,21,,134,,LOUISIANA,,20201045,POINT (-91.840238 30.921314)
HAWAII,2020,10,,-,0,,,-,,-,,-,5,,,-,12,,HAWAII,,20201060,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,10,,-,9,,16,,45,,23,,199,,839,,1719,,,SOUTH ATLANTIC,20201028,
PENNSYLVANIA,2020,10,,-,1,,1,,4,,4,,28,,119,,181,,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694)
UTAH,2020,10,,-,1,,,-,1,,1,,5,,6,,18,,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,,-,1,,,-,1,,,-,19,,73,,105,,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,0,,,-,,-,,-,2,,1,,,-,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,,-,2,,,-,5,,,-,15,,,-,69,,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,-,1,,,-,5,,,-,14,,2,,78,,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,,-,0,,,-,,-,,-,3,,2,,18,,MAINE,,20201004,POINT (-69.06137 45.117911)
VIRGINIA,2020,10,,-,0,,,-,1,,21,,30,,149,,162,,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
ARIZONA,2020,10,,-,5,,4,,22,,,-,34,,95,,216,,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,,-,0,,,-,,-,1,,10,,37,,29,,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,,-,1,,,-,,-,,-,5,,11,,8,,IDAHO,,20201051,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
MICHIGAN,2020,10,,-,2,,,-,5,,,-,23,,49,,137,,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,,-,3,,1,,6,,2,,48,,176,,405,,GEORGIA,,20201032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,10,,-,0,,,-,,-,5,,53,,249,,362,,,NEW YORK CITY,20201012,
ARKANSAS,2020,10,,-,2,,3,,6,,,-,14,,48,,66,,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,,-,0,,,-,1,,,-,24,,103,,84,,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,,-,0,,,-,1,,,-,3,,,-,4,,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,,-,0,,,-,,-,,-,2,,,-,4,,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,,-,1,,1,,2,,1,,21,,100,,180,,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,,-,4,,5,,13,,19,,109,,521,,786,,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,,-,14,,53,,98,,4,,183,,1031,,1588,,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,10,,-,1,,,-,1,,,-,4,,2,,14,,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,,-,7,,15,,23,,,-,86,,401,,554,,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,,-,1,,,-,,-,,-,5,,8,,12,,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,,-,6,,4,,5,,2,,43,,201,,328,,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,0,,,-,,-,,-,23,,38,,115,,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,,-,6,,9,,30,,1,,93,,326,,711,,,MOUNTAIN,20201048,
INDIANA,2020,10,,-,0,,,-,,-,2,,13,,71,,61,,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,1,,,-,5,,,-,14,,2,,78,,,US TERRITORIES,20201063,
TOTAL,2020,11,,-,40,,136,,302,,64,,809,,4539,,8105,,,TOTAL,20201170,
US RESIDENTS,2020,11,,-,40,,136,,297,,64,,806,,4537,,8016,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,,-,1,,,-,,-,,-,3,,4,,11,,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW YORK,2020,11,,-,2,,1,,9,,11,,98,,113,,134,,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,,-,15,,64,,106,,26,,215,,1369,,2059,,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,,-,12,,30,,76,,,-,87,,378,,727,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,,-,0,,,-,,-,,-,8,,11,,24,,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,,-,3,,,-,7,,,-,63,,197,,428,,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,,-,0,,,-,,-,,-,3,,5,,4,,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,,-,3,,4,,4,,,-,43,,77,,277,,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,-,3,,1,,3,,,-,38,,54,,293,,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,-,1,,,-,,-,,-,6,,17,,9,,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,,-,11,,26,,61,,,-,56,,286,,388,,TEXAS,,20201147,POINT (-99.317341 31.447238)
MIDDLE ATLANTIC,2020,11,,-,4,,6,,13,,13,,124,,587,,878,,,MIDDLE ATLANTIC,20201109,
ALASKA,2020,11,,-,0,,,-,,-,,-,7,,3,,13,,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,1,,,-,1,,,-,11,,29,,73,,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,-,3,,,-,2,,8,,26,,90,,186,,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,,-,1,,,-,,-,1,,32,,81,,202,,,NEW ENGLAND,20201102,
RHODE ISLAND,2020,11,,-,0,,,-,,-,1,,13,,5,,16,,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,-,2,,1,,2,,13,,19,,130,,88,,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,1,,,-,1,,,-,6,,6,,21,,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,,-,2,,,-,1,,,-,28,,43,,119,,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,2,,1,,,-,,-,11,,,-,37,,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,-,3,,,-,7,,,-,34,,,-,232,,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,,-,3,,4,,,-,,-,19,,64,,132,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,,-,3,,1,,2,,,-,20,,72,,101,,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,,-,3,,2,,11,,1,,85,,302,,680,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,,-,3,,,-,,-,,-,20,,51,,141,,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,1,,,-,,-,,-,8,,31,,27,,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,,-,2,,,-,5,,,-,24,,80,,217,,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,0,,,-,,-,,-,27,,,-,102,,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,-,4,,1,,1,,,-,14,,1,,119,,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,,-,3,,1,,3,,,-,28,,65,,138,,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,4,,2,,2,,,-,15,,80,,87,,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,,-,2,,,-,8,,,-,20,,33,,141,,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,0,,,-,,-,,-,5,,,-,15,,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,,-,10,,16,,46,,18,,199,,1006,,1894,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,1,,1,,4,,1,,28,,132,,206,,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,,-,1,,,-,1,,,-,5,,7,,23,,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,,-,1,,1,,1,,2,,19,,85,,113,,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,0,,,-,,-,,-,2,,1,,,-,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,2,,,-,5,,,-,15,,,-,72,,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,1,,,-,5,,,-,14,,2,,89,,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,,-,0,,,-,,-,,-,3,,2,,20,,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,,-,3,,,-,2,,11,,30,,160,,182,,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,,-,5,,7,,25,,1,,35,,124,,248,,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201164,
WISCONSIN,2020,11,,-,0,,,-,,-,1,,10,,44,,32,,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,,-,1,,1,,,-,,-,5,,12,,8,,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,,-,2,,,-,5,,,-,23,,68,,153,,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
