Business Name,Zip Code,License Number,License Type,City
HOPEWELL VIEWS HUNTING CLUB INC.,623703308,207186,22S,ROCKPORT
HORST VINEYARDS LLC,655480000,184835,DOMW,MOUNTAIN VIEW
"HOTALING & CO., LLC",941116508,262740,LS,SAN FRANCISCO
HOURGLASS WINE COMPANY INC.,945159649,219180,22S,CALISTOGA
"HOUSE OF BURGUNDY INC., THE",10036,216819,LS,NEW YORK
HPSEPICUREAN LLC,920651889,264057,LS,RAMONA
HQ WINERY LLC,94558,269551,22S,NAPA
HUMMINGBIRD VINEYARD & WINERY LLC,652656834,244181,DOMW,MEXICO
HUNEEUS WINES LLC,945730505,269850,22S,RUTHERFORD
HUNGRY HOLLOW BREWING COMPANY LLC,656258355,245624,22MS,CASSVILLE
HUNTER VALLEY WINERY LLC,637017801,195404,22MS,CAPE GIRARDEAU
HUTSON IMPORTS LLC,630422428,249434,22S,HAZELWOOD
IDEAL WINE & SPIRITS COMPANY INC.,021556903,142927,22S,MEDFORD
IDEALINE MARKETING AND PRODUCTS INC.,641163502,259566,22MS,NORTH KANSAS CITY
ILLYRIAN IMPORT INC.,483061527,248285,LS,ROCHESTER
INDIAN HILLS VINES & WINES LLC,639608007,175436,DOMW,PUXICO
INDIAN PEAKS BREWING CO.,805015809,172001,22S,LONGMONT
INDIAN SPRINGS BREWING COMPANY LLC,648501810,246662,22MS,NEOSHO
INDIAN SPRINGS BREWING COMPANY LLC,648507936,246664,22MS,NEOSHO
INDIGENOUS SELECTIONS LLC,333061905,175171,22S,FORT LAUDERDALE
INDIGO WINE GROUP LLC,342855532,169750,22S,VENICE
"INFINITE MONKEY THEOREM, THE",802052314,236136,22S,DENVER
INFINIUM SPIRITS INC.,926562654,242177,LS,ALISO VIEJO
INNOVINO INTERNATIONAL INC.,333212954,246706,22S,TAMARAC
INTERACTIONS AND TRANSACTIONS INC.,945591927,238990,LS,NAPA
INTERNATIONAL CELLARS LLC,201669578,248989,22S,STERLING
INTERNATIONAL DISTILLERS & VINTERS LTD.,982036030,246986,LS,EVERETT
INTERTRADE USA COMPANY,600893621,184993,LS,BUFFALO GROVE
INVOER EKKE LLC,109681214,236692,22S,PIERMONT
