MAKE,MODEL,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
AUTOCAR,ACX64,53,3433731.575088,360307.9,17511.934418366014814,928132.524173398785118
KAWASAKI,CONCOURS 14P,12,86687.337754,No-DATA,12332.747334425028081,147992.968013100336976
FREIGHTLIN,108SD,1,250.968756,25.5,20.199604753209886,20.199604753209886
IHC,4900,5,32440.150394,1180.4,2878.632604255198646,14393.163021275993228
SOUTHWEST,SWG08-3096,1,88.68,No-DATA,0,0
PJ TRAILER,DL142,1,273.876775,No-DATA,0,0
BIG TEX,12' UTILITY,6,545.170533,No-DATA,0,0
BOBCAT,FC200,2,214.135767,No-DATA,0,0
DODGE,2500,14,45482.905856,8863.9,8332.351840347234172,116652.925764861278404
INTERSTATE,50DLA,1,3391.86453,No-DATA,0,0
PARKER,HD7212,1,,No-DATA,0,0
MAGNUM,DOUBLE WATER,2,57.195,No-DATA,0,0
PLANET AIR,HD50 PTO,1,,No-DATA,0,0
HALE,FA50,1,0,No-DATA,0,0
BOBCAT,DROP HAMMER,2,69.301778,No-DATA,0,0
SUZUKI,DF40ATL1,1,797.78,99.5,9.457410120307059,9.457410120307059
KOHLER,100R07J81,1,460.44,No-DATA,0,0
MULTIQUIP,V305EH,5,8962.85788,1.5,1551.017560117096359,7755.087800585481794
MAGNUM,TRLR TANDEM,4,739.449476,No-DATA,0,0
ALUMACRAFT,17',2,304.951661,No-DATA,1.661476179478204,3.322952358956407
BOBCAT,E50 T4,4,30955.249941,1642.3,13193.084824245880713,52772.339296983522853
WELLS CARG,MISC,3,1240.011501,No-DATA,0,0
BOBCAT,15C,4,531.934903,No-DATA,0,0
HAMM/WIRTG,HD 13VT,2,2138.614395,45.9,1957.573810018372453,3915.147620036744906
FORD,AX413A,3,,1.1,140.814924365545518,422.444773096636554
JOHN DEERE,JD325,1,12976.934731,No-DATA,2096.761532773986476,2096.761532773986476
HONDA,EB6500SXA,6,,No-DATA,0,0
EPOKE,EN-TKB9-280,5,0,No-DATA,0,0
COWBOYS CU,7X14 TC,1,199.61055,No-DATA,0,0
JOHN DEERE,60G,1,6093.240272,105,2936.938120000478256,2936.938120000478256
JACOBSEN,R-311T,1,2056.793245,30,1155.886300996951281,1155.886300996951281
JOHN DEERE,1123V,1,1935.549823,70.1,2410.378637359374094,2410.378637359374094
JOHN DEERE,MH60C,1,100.549667,No-DATA,0,0
HAMM/WIRTG,HD 110IVV,1,3180.076961,351.68,325.8586024077039,325.8586024077039
WHITEMAN,MLTDA7,1,315.442025,No-DATA,19.040779698111159,19.040779698111159
DODGE,RAM 250,1,3096.874206,175,7625.499861716469596,7625.499861716469596
GENERAC,MGG280-STD,1,200.550525,No-DATA,20.187384540485214,20.187384540485214
TORO,74933,4,3375.54952,274.8,2053.555471972307009,8214.221887889228035
JOHN DEERE,544K,8,58173.132892,4952.1,1319.938809567937786,10559.510476543502289
TPHT,SIMULATOR,1,0,No-DATA,0.484700851659481,0.484700851659481
BOSTON WHA,240JC,4,8302.928282,46.7,815.432623679464497,3261.730494717857988
FORD,F250 SD,7,12768.267583,2866.7,6662.84688073592344,46639.928165151464078
MITSUBISHI,FE145,2,10990.901282,1422.3,10715.037321122305957,21430.074642244611913
TRIVAN,REFRIG TRLR,1,391.05485,No-DATA,0,0
WELLS CARG,RF6121,1,4377.059761,No-DATA,0,0
IHC,4700 4X2,1,2125.548711,38,4808.010774316374001,4808.010774316374001
STERLING,LT9500,2,19230.508808,1149.5,6599.224555502490259,13198.449111004980518
DEWALT,DG6300G,1,,No-DATA,112.663951434997129,112.663951434997129
AMIDA,5002MH,1,542.601325,No-DATA,464.721082136090014,464.721082136090014
DODGE,1500,5,21949.966409,1278.2,7833.668553789391798,39168.342768946958992
BOATMASTER,BCG24JT-100,1,471.410845,No-DATA,0,0
CARGO,TXAM8.520TA3,1,106.944489,No-DATA,0,0
SAUBER MFG,MISC,2,5432.729817,No-DATA,463.513760132440343,927.027520264880686
HONDA,TRX250TE5,1,802.7236,No-DATA,1818.412054487279721,1818.412054487279721
MAGNUM,T-SERIES,3,1242.763643,No-DATA,0,0
