the_geom,OBJECTID,School Name,Site Address,Open or Closed,CMO,Enrollment,PublicVsPrivate
POINT (-90.133915894222 29.947812704898),145,St. Joan Of Arc School,919 Cambronne St,OPEN,,,PRIVATE
POINT (-89.989001979413 30.027213656585),152,The Upperroom Bible Church Academy,8600 Lake Forest Blvd,OPEN,,,PRIVATE
POINT (-89.949483674003 30.029379748434),32,Fannie C. Williams Charter School,11755 Dwyer Rd,OPEN,Non-Network,574,PUBLIC
POINT (-89.997510790779 30.018059590718),57,KIPP Morial (McDonogh 15),7701 Grant St,OPEN,KIPP,933,PUBLIC
POINT (-90.051300647217 30.027430535),96,The NET Charter High School: Gentilly,6601 Franklin Ave,OPEN,Educators for Quality Alternatives,135,PUBLIC
POINT (-90.11397334321 29.93548009149),66,Lusher Middle and High Charter School,5624 Freret St,OPEN,Non-Network,1095,PUBLIC
POINT (-90.107581676192 30.004200384365),135,St. Paul's Episcopal School,6249 Canal Blvd,OPEN,,,PRIVATE
POINT (-89.971978506024 30.028904618594),12,Abramson Sci Academy,5552 Read Blvd,OPEN,Collegiate Academies,591,PUBLIC
POINT (-90.114000428831 29.972623853738),42,International School of Louisiana,4040 Eagle St,OPEN,,,PUBLIC
POINT (-90.084081505611 29.995367667647),98,Travis Hill School: Youth Study Center,1100 Milton St,OPEN,,,PUBLIC
POINT (-90.052110568086 29.940788316427),105,All Saints Catholic School,1415 Teche St,OPEN,,,PRIVATE
POINT (-90.03743367443 29.99390433197),83,Opportunities Academy,3059 Higgins Blvd,OPEN,Collegiate Academies,,PUBLIC
POINT (-90.130299201337 29.956339130463),68,LFNO (Upper),1800 Monroe St,OPEN,,398,PUBLIC
POINT (-90.100756804135 29.921629198481),130,St. Georges Episcopal School,923 Napoleon Ave,OPEN,,,PRIVATE
POINT (-89.986587040085 30.016722196106),126,New Orleans Adventist Academy,4500 Gawain Dr,OPEN,,,PRIVATE
POINT (-90.123918537981 29.970592268046),50,KIPP Believe,9330 Forshey St,OPEN,KIPP,414,PUBLIC
POINT (-90.07461277944 29.923947325829),157,Waldorf School Of New Orleans,517 Soraparu St Suite 101,OPEN,,,PRIVATE
