Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0199ZZA,2001.03,8204,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2002.03,8740,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2003.03,9574,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2004.03,10271,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2005.03,11115,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2006.03,11785,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2007.03,13229,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2008.03,14131,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2009.03,14075,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2010.03,14231,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2011.03,15993,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2012.03,17896,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2013.03,18482,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2014.03,19292,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2015.03,20269,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2016.03,21576,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2017.03,23560,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZA,2018.03,24781,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0199ZZB,2000.03,113229,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2001.03,119839,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2002.03,128712,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2003.03,135181,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2004.03,144502,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2005.03,154559,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2006.03,162937,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2007.03,172113,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2008.03,186851,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2009.03,189632,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2010.03,194282,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2011.03,203482,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2012.03,213300,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
