Inventory ID,Prop ID,Feature,Type,Category,Sub-Category
12579,M085,Paved Surfaces,Brick,Structural Features,
10249,M019,Paved Surfaces,Plaque,Structural Features,
13505,M132,Fences,Wrought-Iron,Structural Features,
50823,X146,Benches,Bleachers,Structural Features,
13195,M108N,Paved Surfaces,Stone/Slate/Granite,Structural Features,
32308,X222,Sidewalks,Concrete Curbs,Structural Features,
56694,Q020-ZN06,Lawns,Lawn,Landscape Features,
339,B022,Play Equipment,Swings,Structural Features,
20366,Q205A,Paved Surfaces,Color Seal,Structural Features,
12808,M097,Paved Surfaces,Monument,Structural Features,
7126,B366,Sidewalks,Concrete Curbs,Structural Features,
25791,R029,Fences,Wrought-Iron,Structural Features,
62460,B125-ZN01,Benches,Bleachers,Structural Features,
24703,QZ465,Horticultural Areas,Tree Lines,Landscape Features,
25980,R038A,Play Equipment,BBCT,Structural Features,
2991,B128,Sidewalks,Concrete Flags,Structural Features,
37904,M283-03,Play Equipment,Rockers,Structural Features,
39046,B012-03,Fences,Wire,Structural Features,
38394,R006-01,Paved Surfaces,Cribbing,Structural Features,
16208,MZ73,Paved Surfaces,Concrete,Structural Features,
3757,B169-ZN05,Benches,Picnic Tables,Structural Features,
49395,B089,Horticultural Areas,Bushes,Landscape Features,
24846,QZ519,Trees,>10,Landscape Features,
14292,M207,Sidewalks,Concrete Curbs,Structural Features,
52326,B062,Sidewalks,Concrete Curbs,Structural Features,
50790,BT02,Lawns,Lawn,Landscape Features,
21926,Q351,Safety Surface,Spectraturf New Sectional,Structural Features,
8444,BZ359,Paved Surfaces,Stone/Slate/Granite,Structural Features,
30263,X092-ZN21,Horticultural Areas,Bushes,Landscape Features,
3716,B169-ZN03,Sidewalks,Concrete Flags,Structural Features,
2400,B088,Paved Surfaces,Concrete,Structural Features,
9003,M010-031,Safety Surface,Poured-in-Place,Structural Features,
30036,X092-ZN05,Paved Surfaces,Gravel,Structural Features,
22748,Q397,Play Equipment,Swings,Structural Features,
49216,MT05,Play Equipment,BBCT,Structural Features,
31573,X169,Paved Surfaces,Concrete,Structural Features,
17863,Q024-02,Paved Surfaces,Asphalt,Structural Features,
18377,Q053,Paved Surfaces,Color Seal,Structural Features,
22190,Q360M,Play Equipment,BBCT,Structural Features,
52157,R120-ZN03,Fences,Wood Guardrails,Structural Features,
55469,QZ656,Paved Surfaces,Asphalt,Structural Features,
6059,B292,Trees,>10,Landscape Features,
60914,B025,Benches,Metal Benches,Structural Features,
57830,BT12,Benches,Wood Benches,Structural Features,
51725,X348-02,Fences,Wrought-Iron,Structural Features,
2039,B073-ZN24,Horticultural Areas,Wild Flowers,Landscape Features,
35081,M204,Paved Surfaces,Asphalt,Structural Features,
11139,M045,Fences,Wire,Structural Features,
9402,M010-ZN08,Trails,Bridle Paths,Landscape Features,
61619,M257,Horticultural Areas,Bushes,Landscape Features,
11164,M047,Lawns,Tree Lines,Landscape Features,
24695,QZ463,Horticultural Areas,Bushes,Landscape Features,
52055,BZ98,Fences,Wrought-Iron,Structural Features,
35029,M067,Trees,6-10,Landscape Features,
13442,M125A,Paved Surfaces,Plaque,Structural Features,
59384,B330,Play Equipment,Painted Games,Structural Features,
3285,B149B,Benches,Plastic Benches,Structural Features,
4627,B223PA,Paved Surfaces,Belgian Blocks,Structural Features,
3747,B169-ZN05,Horticultural Areas,Bushes,Landscape Features,
52208,Q453-01,Trees,>10,Landscape Features,
60586,X003-ZN03,Lawns,Tree Lines,Landscape Features,
9982,M010-ZN45,Paved Surfaces,Concrete,Structural Features,
10283,M022,Lawns,Lawn,Landscape Features,
5999,B288,Fences,Wrought-Iron,Structural Features,
17610,Q020-ZN04,Trees,>10,Landscape Features,
55824,M255,Paved Surfaces,Hex Blocks,Structural Features,
7135,B366,Paved Surfaces,Concrete,Structural Features,
2040,B073-ZN24,Paved Surfaces,Cribbing,Structural Features,
251,B017,Paved Surfaces,Stone/Slate/Granite,Structural Features,
54142,B028-G01,Greens,Turf,Landscape Features,
60775,M104-ZN04,Sidewalks,Asphalt,Structural Features,
32519,X266,Play Equipment,Miracle Adventure,Structural Features,
14353,M208F,Sidewalks,Concrete Flags,Structural Features,
7906,BZ207,Trees,1-5,Landscape Features,
48555,QZ608,Horticultural Areas,Bushes,Landscape Features,
54743,X039-G02,Fences,Errant Ball Netting,Structural Features,
59221,B343,Fences,Bollards,Structural Features,
9465,M010-ZN14,Paved Surfaces,Concrete,Structural Features,
6852,B347,Paved Surfaces,Concrete,Structural Features,
31266,X151,Paved Surfaces,Concrete,Structural Features,
30670,X121,Benches,Wood Benches,Structural Features,
50312,R046-ZN03,Water Bodies,Ocean,Landscape Features,
16403,Q001-ZN07,Water Bodies,Creek,Landscape Features,
31213,X150E,Sidewalks,Concrete Flags,Structural Features,
23748,QZ117,Trees,6-10,Landscape Features,
21477,Q321,Trees,>10,Landscape Features,
16439,Q001-ZN09,Fences,Chain-Link,Structural Features,
5622,B262,Paved Surfaces,Asphalt,Structural Features,
1616,B073-ZN01,Paved Surfaces,Concrete,Structural Features,
22029,Q357B,Benches,Wood Benches,Structural Features,
14438,M215,Fences,Chain-Link,Structural Features,
57655,B369-01,Paved Surfaces,Concrete,Structural Features,
28587,X013-01,Fences,Wrought-Iron,Structural Features,
31545,X168,Fences,Chain-Link,Structural Features,
1581,B073-09,Paved Surfaces,Monument,Structural Features,
34444,Q483,Paved Surfaces,Brick,Structural Features,
10285,M022,Horticultural Areas,Bushes,Landscape Features,
7916,BZ217,Trees,1-5,Landscape Features,
13967,M184,Sidewalks,Concrete Flags,Structural Features,
34974,M108H,Horticultural Areas,Bushes,Landscape Features,
19008,Q099-ZN05,Fences,Wire,Structural Features,
2267,B082-ZN01,Sidewalks,Hex Blocks,Structural Features,
60242,X092-ZN14,Paved Surfaces,Gravel,Structural Features,
27790,RZ94,Sidewalks,Concrete Curbs,Structural Features,
14828,M242,Sidewalks,Concrete Curbs,Structural Features,
61047,X147A-01,Safety Surface,Mitchell New Sectional,Structural Features,
62432,X088-ZN02,Paved Surfaces,Concrete Pavers,Structural Features,
50981,Q021-ZN01,Horticultural Areas,Bushes,Landscape Features,
32684,X285,Fences,Wrought-Iron,Structural Features,
54759,X039-G02,Horticultural Areas,Wild Flowers,Landscape Features,
27237,RZ161,Trees,1-5,Landscape Features,
16828,Q008-01,Paved Surfaces,Belgian Blocks,Structural Features,
55536,MZ07,Sidewalks,Concrete Curbs,Structural Features,
38223,Q051,Benches,Bleachers,Structural Features,
24775,QZ502,Paved Surfaces,Belgian Blocks,Structural Features,
38588,X256,Benches,Wood Benches,Structural Features,
50934,R073,Sidewalks,Concrete Flags,Structural Features,
20714,Q226-01,Play Equipment,BBCT,Structural Features,
47631,Q268,Paved Surfaces,Brick,Structural Features,
20257,Q164-ZN10,Sidewalks,Concrete Curbs,Structural Features,
35345,X136-01,Paved Surfaces,Concrete,Structural Features,
36382,Q162-ZN01A,Paved Surfaces,Concrete,Structural Features,
9213,M010-193,Trees,1-5,Landscape Features,
17131,Q015-02,Paved Surfaces,Concrete,Structural Features,
9518,M010-ZN16,Play Equipment,Sandbox,Structural Features,
38748,B395,Paved Surfaces,Plaque,Structural Features,
14564,M223,Paved Surfaces,Asphalt,Structural Features,
33922,M081-02,Fences,Pipe-Rail,Structural Features,
30467,X110A,Fences,Wire,Structural Features,
16459,Q001-ZN09,Trails,Foot Bridge,Landscape Features,
14593,M225,Paved Surfaces,Monument,Structural Features,
22636,Q391,Paved Surfaces,Concrete,Structural Features,
30294,X093,Trees,>10,Landscape Features,
13276,M108Q,Play Equipment,BBCT,Structural Features,
16708,Q005-ZN04,Benches,Wood Benches,Structural Features,
49692,B251-04,Paved Surfaces,Plaque,Structural Features,
9671,M010-ZN27,Paved Surfaces,Brick,Structural Features,
47759,Q162-ZN02A,Trees,>10,Landscape Features,
35145,Q358,Sidewalks,Concrete Curbs,Structural Features,
27484,RZ26,Horticultural Areas,Bushes,Landscape Features,
10099,M013,Benches,Wood Benches,Structural Features,
30169,X092-ZN12,Benches,Wood Benches,Structural Features,
943,B054-ZN01,Horticultural Areas,Bushes,Landscape Features,
22558,Q385,Play Equipment,Swings,Structural Features,
